case,component,r_kpc,sigma_hi_msun_pc2,newton_gbar,log_extra_gbar,newton_plus_log_gbar,newton_radial_rms_deviation,log_radial_rms_deviation,newton_tangential_rms,log_tangential_rms
f4-stars-h0p1,stellar_luminosity,2.4250000000000003,1.5345159920200138,1518.4993665132024,473.1082759376158,1991.6076424508183,160.4041754280387,21.177159909881293,125.21516128847595,26.6457662217829
f4-stars-h0p1,stellar_luminosity,2.45,1.5742849377403583,1477.0312406666512,467.21064538105304,1944.2418860477042,151.4461187622901,21.14873324291326,117.04554299855117,24.851443558668652
f4-stars-h0p1,stellar_luminosity,2.475,1.659593047722323,1442.5758878394793,461.8923031275019,1904.4681909669812,141.3907846137367,21.111402178461123,109.95916118586233,23.4270554007778
f4-stars-h0p1,stellar_luminosity,2.5,1.7359103029592078,1417.3308468075063,457.50748834084976,1874.838335148356,136.6692246712182,21.108343384667787,102.93354903306692,22.199437352026045
f4-stars-h0p1,stellar_luminosity,2.5250000000000004,1.7259569669884602,1396.5544930559274,453.7814116673429,1850.3359047232702,138.05642108978807,21.175908573827748,95.84305837880986,21.062707216422442
f4-stars-h0p1,stellar_luminosity,2.5500000000000003,1.605732090676882,1372.907978882515,449.9961485487188,1822.9041274312337,140.49905192455918,20.83167922547853,88.45508112445962,20.050705102799885
f4-stars-h0p1,stellar_luminosity,2.575,1.4536269827021133,1348.741533247931,446.431882962198,1795.173416210129,140.2076211201996,19.83887544299741,80.58842723621004,18.914904384496676
f4-stars-h0p1,stellar_luminosity,2.6,1.3513080774690036,1326.7606867760403,443.2511989138321,1770.0118856898725,136.51796526818237,18.345627509531337,74.11684461447092,17.887028228280325
f4-stars-h0p1,stellar_luminosity,2.625,1.3077762055726865,1304.1385942542613,439.6035372275185,1743.7421314817798,133.15014381739712,16.97527663248608,74.17404623046596,17.573430630230895
f4-stars-h0p1,stellar_luminosity,2.6500000000000004,1.2866817210906087,1279.1801050690021,435.2480116940889,1714.428116763091,132.2397572910083,15.982394839381403,81.59084165346374,18.346184893099107
f4-stars-h0p1,stellar_luminosity,2.6750000000000003,1.2771571301149338,1251.814746997919,430.46462176913286,1682.279368767052,134.03432233783076,15.194003905782335,94.98529594407208,19.836932324485883
f4-stars-h0p1,stellar_luminosity,2.7,1.2473766562241309,1227.4490976761451,425.73779701926946,1653.1868946954146,126.81208401492383,14.208025269748566,112.2239455444667,21.56068316648765
f4-stars-h0p1,stellar_luminosity,2.725,1.2156951235643318,1216.3921188646932,422.0879447598372,1638.4800636245304,102.30499795815962,13.278182709365622,124.35528289402698,22.75002411359448
f4-stars-h0p1,stellar_luminosity,2.75,1.1907134349097033,1215.0842822001543,419.7089557948832,1634.7932379950375,77.95330365356672,12.643675344213074,119.35783540065638,23.163638448191765
f4-stars-h0p1,stellar_luminosity,2.7750000000000004,1.1651437203311348,1212.2718676173638,417.97902464273363,1630.2508922600973,73.36787808735973,12.342585696758986,103.14945989441395,22.83282965933858
f4-stars-h0p1,stellar_luminosity,2.8000000000000003,1.1063113987292412,1204.8316979863653,415.8830971156601,1620.7147951020254,75.7991048174198,12.2633558686594,92.2461304990599,22.263626002010334
f4-stars-h0p1,stellar_luminosity,2.825,1.0223453378129923,1191.962598067788,413.05817570474875,1605.0207737725366,74.73931816407166,12.332966604996422,88.92584731763657,21.91224203186485
f4-stars-h0p1,stellar_luminosity,2.85,0.9549753548787192,1171.9741857827505,409.4044601620269,1581.3786459447774,72.93001765572504,12.387738038039583,90.18720214367144,22.00667621390332
f4-stars-h0p1,stellar_luminosity,2.875,0.9213816545708569,1145.210724397616,404.9667001304322,1550.1774245280483,71.85369713363302,12.283937345258492,93.71151373822092,22.544750638526573
f4-stars-h0p1,stellar_luminosity,2.9000000000000004,0.9214687230179535,1114.4758287080654,399.96319747274043,1514.4390261808057,71.70027249079841,12.323799122957091,97.2120559240459,22.933201974014892
f4-stars-h0p1,stellar_luminosity,2.9250000000000003,0.9477032139410437,1083.294004566062,394.6978658865247,1477.9918704525867,75.63590672118792,12.656898991847394,98.41309291797026,22.571159659122028
f4-stars-h0p1,stellar_luminosity,2.95,0.9818139689549645,1051.7309704522354,389.45920592166533,1441.1901763739006,87.10071274662388,12.963287038692702,97.9399421975161,21.388120321770987
f4-stars-h0p1,stellar_luminosity,2.975,1.0331852701083937,1022.3246382461076,384.7455736463937,1407.0702118925014,105.60978728637333,13.099707094151178,98.23334996793226,19.551369702169627
f4-stars-h0p1,stellar_luminosity,3.0,1.0786441320645102,993.5161985587516,380.5441315609054,1374.060330119657,132.50911220648433,12.873974886062285,104.96949538154604,17.70033115489626
f4-stars-h0p1,stellar_luminosity,3.0250000000000004,1.0763069101037825,972.7820141807595,376.8809723952736,1349.662986576033,142.9176854904082,12.625461223639975,121.20223518856615,16.14194055104005
f4-stars-h0p1,stellar_luminosity,3.0500000000000003,1.0127178204216736,969.2478854618678,373.74520911831974,1342.9930945801875,103.0205074806583,12.590165707130367,135.45141164495402,14.974855177819654
f4-stars-h0p1,stellar_luminosity,3.075,0.9183329947366132,971.5089720543965,370.9674387728657,1342.4764108272623,81.80899909842978,12.795293774068753,127.9721935678423,14.297010516232378
