group	richness_bin	members	metadata_redshift	lr195	d10	log10_member_luminosity	log10_rms_radius_kpc	log10_richness	projected_axis_ratio	projected_ellipticity	quadrupole	m3	m4	inner_outer_axis_ratio_difference	inner_outer_quadrupole_difference	centroid_shift_profile	axis_twist_inner_outer_sin2	outer_multipole_energy	mst_length_per_rms_radius	mst_diameter_efficiency	projected_linearity	angular_gap_entropy	luminosity_half_radius_kpc	rms_radius_kpc	sigma_gap_km_s	sigma_mad_km_s	unique_member_redshifts	log10_eta_lum	log10_sigma_gap	log10_eta_half_radius	log10_eta_mad
5441	2	40	5.277326000000e-02	5.037370600000e+01	6.593155330000e+00	1.718319629010e+00	2.674870204247e+00	1.602059991328e+00	7.385149184070e-01	2.614850815930e-01	2.941597352796e-01	1.568994784293e-01	3.386903258606e-01	-1.252301844651e-01	1.603940284288e-01	1.530042020471e-01	9.835538005253e-01	3.445746562158e-01	2.327716684139e+00	5.826937474665e-01	2.614850815930e-01	9.200318787007e-01	3.189573240287e+02	4.730098713771e+02	4.668185240754e+02	4.749812499854e+02	40	6.294846737611e+00	2.669148081187e+00	6.123709112413e+00	6.309903507377e+00
5742	2	43	3.345735500000e-02	4.083166800000e+01	4.481712000000e+00	1.661842772871e+00	2.586021573369e+00	1.633468455580e+00	6.760462339265e-01	3.239537660735e-01	3.726473155761e-01	3.893621521903e-01	2.762294056867e-01	-1.641355297721e-02	2.082328699013e-02	4.357208567631e-01	7.136366262789e-01	4.027473480029e-01	2.370151984138e+00	6.553241298649e-01	3.239537660735e-01	8.558176050462e-01	2.190988467792e+02	3.854975065929e+02	4.295291407371e+02	4.992122322134e+02	43	6.190164066900e+00	2.632992633201e+00	5.944782585201e+00	6.320749237171e+00
5906	2	39	3.570745900000e-02	3.866039500000e+01	6.941980190000e+00	1.631682768145e+00	2.670743746690e+00	1.591064607026e+00	5.352632196787e-01	4.647367803213e-01	5.545974052881e-01	2.222653204341e-01	4.321189527369e-01	-3.144332185911e-03	4.066861252570e-03	3.929228497850e-01	5.665346192311e-01	3.978734765289e-01	2.149114012233e+00	5.684718140465e-01	4.647367803213e-01	8.855476207865e-01	3.728258412614e+02	4.685368427224e+02	4.639273169995e+02	5.014394183410e+02	39	6.371960869402e+00	2.666449945429e+00	6.272723129206e+00	6.439497920578e+00
5909	2	40	3.373592800000e-02	3.173955600000e+01	7.599737440000e+00	1.573893777286e+00	2.722172788686e+00	1.602059991328e+00	5.459527508394e-01	4.540472491606e-01	5.407555977390e-01	2.401679104947e-01	3.091959575989e-01	5.330426072340e-02	-6.836853041392e-02	3.968845815279e-01	5.307332543693e-01	3.137279434424e-01	1.788254427170e+00	6.636636889009e-01	4.540472491606e-01	8.454660185442e-01	4.118250513369e+02	5.274396671737e+02	5.618398013964e+02	4.566150262103e+02	40	6.647504015180e+00	2.749612501890e+00	6.540043987733e+00	6.467379409558e+00
5910	1	15	3.391541300000e-02	2.042423400000e+01	6.624182250000e+00	1.344074001993e+00	2.450507623636e+00	1.176091259056e+00	4.602599274841e-01	5.397400725159e-01	6.503839771819e-01	4.280061530601e-01	2.081464504348e-01	-3.673282488523e-01	3.963226170230e-01	8.133699404299e-01	3.100570745427e-01	4.763597639913e-01	1.855882454440e+00	7.010893233131e-01	5.397400725159e-01	7.436270118389e-01	2.227023957071e+02	2.821679114612e+02	3.671723516521e+02	4.307452289334e+02	15	6.236173563776e+00	2.564869971067e+00	6.133390829095e+00	6.374874573178e+00
6007	2	42	5.137693400000e-02	4.798172100000e+01	3.799448860000e+00	1.704896930221e+00	2.588791980104e+00	1.623249290398e+00	7.229950110668e-01	2.770049889332e-01	3.134375684068e-01	1.997061542811e-01	4.333176309081e-01	2.359734653828e-01	-2.774420861512e-01	9.617640821696e-02	7.527457271171e-01	4.480011410991e-01	1.810553717741e+00	5.898012412422e-01	2.770049889332e-01	8.676389087099e-01	3.197538264364e+02	3.879644928838e+02	4.143376667165e+02	4.233911350252e+02	42	6.118603881980e+00	2.617354416049e+00	6.034627652182e+00	6.137378570901e+00
6038	2	44	5.280529300000e-02	5.909999200000e+01	6.790410200000e+00	1.788327135459e+00	2.723355303194e+00	1.643452676486e+00	7.268644348919e-01	2.731355651081e-01	3.086162706008e-01	2.946958868652e-01	2.169084920875e-01	-1.172069683930e-01	1.470375013032e-01	9.723769477988e-01	9.989697514640e-01	3.770603700574e-01	1.891296048856e+00	4.221191947191e-01	2.731355651081e-01	8.595102675757e-01	4.482592314928e+02	5.288777581015e+02	4.668231480000e+02	4.196727461099e+02	44	6.273332933602e+00	2.669152382933e+00	6.201506872636e+00	6.180849701115e+00
6159	2	25	2.548204500000e-02	2.012394500000e+01	5.243748870000e+00	1.364070473084e+00	2.453225781375e+00	1.397940008672e+00	6.760247484456e-01	3.239752515544e-01	3.726746834565e-01	3.820833283853e-01	4.705817741407e-01	-2.298571937550e-01	2.949144356586e-01	4.450374369476e-01	9.861220973205e-01	4.740273771074e-01	2.196953524450e+00	6.560286976939e-01	3.239752515544e-01	8.919873424103e-01	1.629586613702e+02	2.839394791712e+02	3.199293988499e+02	3.410325970164e+02	25	6.099263608225e+00	2.505054149967e+00	5.858115275330e+00	6.154747092832e+00
6161	0	10	2.493162700000e-02	7.892200000000e+00	4.950298280000e+00	1.043726068319e+00	2.322339776935e+00	1.000000000000e+00	2.988929406421e-01	7.011070593579e-01	8.359791491731e-01	1.044431317927e-01	7.327848653017e-01	-3.448860068643e-01	2.570441727544e-01	1.115170558194e+00	2.036209442152e-01	1.078340860287e+00	2.049506383870e+00	7.206538973256e-01	7.011070593579e-01	8.016908022907e-01	2.216483451004e+02	2.100582663911e+02	2.276228334745e+02	2.676465490923e+02	10	5.993045358989e+00	2.357215825186e+00	6.016370075115e+00	6.133737004953e+00
6333	2	96	2.351224600000e-02	8.113693700000e+01	1.169202512000e+01	1.956883389850e+00	2.838322170606e+00	1.982271233040e+00	4.521622525408e-01	5.478377474592e-01	6.605079773251e-01	1.794128024300e-01	4.113874986323e-01	3.810788298692e-01	-4.760711572874e-01	3.556190956256e-01	3.314024090304e-01	4.839708633716e-01	1.842384827671e+00	6.531662937358e-01	5.478377474592e-01	9.047359152263e-01	6.147328956097e+02	6.891633455261e+02	5.673569291288e+02	6.061880389321e+02	96	6.389151507293e+00	2.753856363269e+00	6.339515790412e+00	6.446653506326e+00
6339	1	16	2.700009500000e-02	1.356273400000e+01	3.200101580000e+00	1.180485152528e+00	2.398124291778e+00	1.204119982656e+00	6.913062791600e-01	3.086937208400e-01	3.532675309882e-01	4.550710475197e-01	4.099996005584e-01	-2.524422655910e-01	2.501349695990e-01	5.798172467551e-01	1.797884022830e-01	3.616793963547e-01	2.033180833627e+00	7.863630834971e-01	3.086937208400e-01	8.487873374986e-01	1.753455754206e+02	2.501061043931e+02	3.245984226693e+02	2.494378739722e+02	16	6.240331949480e+00	2.511346405115e+00	6.086102469296e+00	6.011563931747e+00
6672	1	18	4.375473100000e-02	3.196692900000e+01	3.085992850000e+00	1.521314381940e+00	2.447664126579e+00	1.255272505103e+00	8.475458954758e-01	1.524541045242e-01	1.639180436958e-01	6.153526527649e-01	7.064551135841e-01	-2.210261276991e-01	2.833873350591e-01	8.474905953989e-01	7.813055748074e-01	6.805470491171e-01	2.129832607135e+00	5.989557894146e-01	1.524541045242e-01	8.449898791167e-01	1.319679869013e+02	2.803264818496e+02	4.129122910166e+02	3.351586990871e+02	18	6.158065365759e+00	2.615857810560e+00	5.830869831004e+00	5.976850736729e+00
6832	2	32	4.641339600000e-02	6.088401300000e+01	3.652195730000e+00	1.804610764380e+00	2.566253176136e+00	1.505149978320e+00	5.958433918645e-01	4.041566081355e-01	4.759827921809e-01	1.197012350321e-01	1.248479869277e-01	-1.927298905719e-01	2.471516309961e-01	6.611689204951e-01	8.439135221258e-01	3.467864757454e-01	2.307146026588e+00	6.730313158617e-01	4.041566081355e-01	8.817629905092e-01	3.297802153318e+02	3.683436405251e+02	5.645373576668e+02	6.170051559005e+02	32	6.265027784142e+00	2.751692686193e+00	6.216999205252e+00	6.342219998071e+00
6906	2	25	5.164593600000e-02	2.916518600000e+01	6.468821200000e+00	1.480114784157e+00	2.673898187385e+00	1.397940008672e+00	4.145696782526e-01	5.854303217474e-01	7.066768348175e-01	2.643364637268e-01	7.139913146831e-01	1.194937410079e-01	-1.438057113831e-01	3.734610510080e-01	3.251327604855e-01	7.902825776321e-01	1.609052491086e+00	7.138919231758e-01	5.854303217474e-01	8.410731568807e-01	3.661431920538e+02	4.719523874522e+02	3.984133333868e+02	3.128063283360e+02	25	6.394451131604e+00	2.600333864188e+00	6.284203907638e+00	6.184334464469e+00
7427	2	25	5.541275900000e-02	4.315895300000e+01	5.321850480000e+00	1.643600508853e+00	2.757965893981e+00	1.397940008672e+00	4.036093290225e-01	5.963906709775e-01	7.198376098241e-01	4.703572189511e-01	4.309366416769e-01	2.175943545712e-01	-2.694035539674e-01	1.018992169793e+00	9.953295210500e-01	6.957886490631e-01	1.413701247344e+00	5.338382283343e-01	5.963906709775e-01	7.801441255107e-01	4.713538120838e+02	5.727510499276e+02	3.841735096804e+02	3.329863322212e+02	25	6.283420215517e+00	2.584527415194e+00	6.198801345333e+00	6.159218200713e+00
7516	1	17	5.287907400000e-02	3.004932700000e+01	4.809160320000e+00	1.483714357652e+00	2.580093985633e+00	1.230448921378e+00	6.407933539703e-01	3.592066460297e-01	4.178201766659e-01	3.929450876759e-01	6.308740388468e-01	-4.213775743059e-01	5.068936662548e-01	8.242556374035e-01	8.515699160093e-02	4.996122143149e-01	1.625679874967e+00	5.160582340728e-01	3.592066460297e-01	8.454764368511e-01	2.087869184117e+02	3.802716819801e+02	3.856173877029e+02	4.754339724470e+02	17	6.268692844486e+00	2.586156608252e+00	6.008302143223e+00	6.450560050578e+00
7861	1	21	4.333392700000e-02	3.115477100000e+01	4.637297350000e+00	1.520315153676e+00	2.560668945994e+00	1.322219294734e+00	7.201820072981e-01	2.798179927019e-01	3.169486279224e-01	5.226466638029e-01	2.399741147414e-01	-4.503858736733e-01	5.336739222042e-01	2.989149605127e-01	9.688231940944e-01	6.821563394924e-01	2.169012561431e+00	4.921712930779e-01	2.798179927019e-01	8.934440737459e-01	3.230809023166e+02	3.636377366699e+02	3.413109263250e+02	1.684104579725e+02	21	6.106654175302e+00	2.533150191492e+00	6.055296516438e+00	5.493091906060e+00
7995	0	14	3.160270200000e-02	2.100499600000e+01	3.229784790000e+00	1.347092796477e+00	2.339149835174e+00	1.146128035678e+00	3.824087355654e-01	6.175912644346e-01	7.448407051088e-01	3.474503554324e-01	8.535924311306e-01	-3.496129631165e-01	2.946591983275e-01	8.349484662587e-01	1.551281996405e-01	1.100806528819e+00	2.314927047946e+00	5.834551435213e-01	6.175912644346e-01	8.774785614522e-01	1.217820097542e+02	2.183483101564e+02	3.755333638898e+02	2.832995068068e+02	14	6.141354093732e+00	2.574648527517e+00	5.887787395446e+00	5.896548675621e+00
8101	2	29	3.504207300000e-02	2.989333600000e+01	3.584031910000e+00	1.526636331434e+00	2.760485573785e+00	1.462397997899e+00	6.646148722690e-01	3.353851277310e-01	3.872387217631e-01	4.358028058159e-01	2.692117540811e-01	-1.209613578337e-01	1.566373782065e-01	1.965947141322e-01	9.993077430793e-01	3.998978785930e-01	1.703170860248e+00	7.122524250473e-01	3.353851277310e-01	8.558441777689e-01	4.276297699807e+02	5.760836821318e+02	6.744946043557e+02	5.982268065178e+02	29	6.891806202085e+00	2.828978479867e+00	6.762388559842e+00	6.787580982048e+00
8102	2	26	3.328659800000e-02	2.924664900000e+01	3.851500300000e+00	1.496242393722e+00	2.566378465771e+00	1.414973347971e+00	5.110402781545e-01	4.889597218455e-01	5.858388826457e-01	8.397107625533e-02	4.401000629375e-01	5.732667577963e-02	-7.440049706143e-02	1.071831674594e+00	4.052013229509e-01	9.725019724567e-01	1.929865334730e+00	5.145922973560e-01	4.889597218455e-01	9.172367392178e-01	3.444842209610e+02	3.684499193284e+02	4.993764495576e+02	4.469013353582e+02	26	6.466992186652e+00	2.698428057302e+00	6.437783054798e+00	6.370559376750e+00
8371	1	18	4.735678100000e-02	3.387210200000e+01	3.104130390000e+00	1.545915691989e+00	2.692083908153e+00	1.255272505103e+00	8.547200415345e-01	1.452799584655e-01	1.557043824296e-01	5.677941890462e-01	5.394244386123e-02	-5.209817633280e-01	6.364146677586e-01	9.443034856035e-01	4.574415757084e-01	7.159803097721e-01	2.057601320754e+00	4.683411534375e-01	1.452799584655e-01	8.695956874242e-01	4.373068527174e+02	4.921346096901e+02	4.337367477436e+02	4.525075124129e+02	18	6.420620653573e+00	2.637226218704e+00	6.369323028331e+00	6.457419803456e+00
9178	1	21	4.038817900000e-02	4.004674400000e+01	5.877064560000e+00	1.626603225912e+00	2.482183410555e+00	1.322219294734e+00	6.754606064802e-01	3.245393935198e-01	3.733933581000e-01	1.048290255112e-01	2.837244089152e-01	-3.156357930445e-01	3.848585747039e-01	7.176795473833e-01	3.865755050864e-01	3.119168414286e-01	2.285259863052e+00	5.431645491208e-01	3.245393935198e-01	8.996150916362e-01	2.544091220993e+02	3.035172722886e+02	2.860451999845e+02	2.532260593353e+02	21	5.768449513508e+00	2.456434664433e+00	5.691798782282e+00	5.662596977880e+00
9370	2	32	3.789925900000e-02	3.860907100000e+01	3.675298300000e+00	1.605089246244e+00	2.555270477082e+00	1.505149978320e+00	8.061975980018e-01	1.938024019982e-01	2.121545889639e-01	3.679854728845e-01	1.314409520519e-02	-3.983534246557e-01	5.020911355047e-01	5.991293082768e-01	5.809844623004e-01	4.538599321030e-01	2.247377408054e+00	5.527771623487e-01	1.938024019982e-01	8.421126882698e-01	2.717904792609e+02	3.591455395917e+02	3.524853411154e+02	2.907432885548e+02	32	6.044463352046e+00	2.547141060604e+00	5.923427114421e+00	5.877200627581e+00
9715	1	17	4.612191100000e-02	1.977346600000e+01	5.576926040000e+00	1.327354233762e+00	2.445748169182e+00	1.230448921378e+00	7.245623983622e-01	2.754376016378e-01	3.114834342912e-01	2.140842442485e-01	6.754803603336e-01	-4.486804033564e-01	5.487880628397e-01	6.542810531401e-01	3.620197876345e-01	7.615800335505e-01	2.210052576942e+00	8.228874746739e-01	2.754376016378e-01	9.165182550419e-01	9.673977154328e+01	2.790925020885e+02	4.945477039432e+02	3.641528901765e+02	17	6.506810315194e+00	2.694208189887e+00	6.046667203453e+00	6.240961457768e+00
9919	0	10	2.699599900000e-02	1.827340000000e+00	3.350090230000e+00	5.269041389872e-01	2.469987395741e+00	1.000000000000e+00	1.979044391175e-01	8.020955608825e-01	9.246200111872e-01	5.665670275270e-01	9.104406397084e-01	2.917402544643e-01	-3.678059163222e-01	2.040024260506e+00	6.885641927285e-02	1.003620859744e+00	1.253955891300e+00	6.919787281051e-01	8.020955608825e-01	6.925214886598e-01	2.953573147133e+02	2.951123576797e+02	4.398022255828e+02	5.775414179180e+02	10	7.229598102237e+00	2.643257422742e+00	7.229958437404e+00	7.466249526274e+00
10680	2	52	2.389960400000e-02	5.525847800000e+01	1.074712448000e+01	1.779131785696e+00	2.543305977458e+00	1.716003343635e+00	3.372156153117e-01	6.627843846883e-01	7.957925763560e-01	7.040838010347e-01	8.981391429271e-01	3.844592658420e-01	-4.691336448594e-01	3.565558431631e-01	9.737964082444e-01	1.042942962600e+00	1.909150991221e+00	5.790780358680e-01	6.627843846883e-01	8.659151667467e-01	2.015747914210e+02	3.493863851667e+02	5.105464675403e+02	5.364084685668e+02	52	6.180244743091e+00	2.708035275665e+00	5.941374984720e+00	6.223165443107e+00
10681	1	22	2.462736000000e-02	8.252333000000e+00	1.092451312000e+01	1.046007528761e+00	2.638861241587e+00	1.342422680822e+00	4.596867199715e-01	5.403132800285e-01	6.511024387415e-01	6.497011325966e-01	5.744462054140e-01	1.752027086594e-01	-2.054461900952e-01	5.124952989540e-01	7.811236756792e-01	8.417595091462e-01	1.560118801233e+00	5.118236690206e-01	5.403132800285e-01	8.968718967179e-01	3.621090214522e+02	4.353727485387e+02	3.080314223646e+02	3.013485961729e+02	22	6.570043755330e+00	2.488595021252e+00	6.490021858549e+00	6.550992058137e+00
10732	0	10	3.811090700000e-02	2.577201700000e+01	3.217046850000e+00	1.425081431436e+00	2.400299137157e+00	1.000000000000e+00	4.095232079027e-01	5.904767920973e-01	7.127551114473e-01	6.217772446866e-01	5.018180760652e-01	3.480732943425e-01	-4.404138628785e-01	1.237530770359e+00	7.015750193778e-01	3.267091557216e-01	2.379788376872e+00	6.664955434559e-01	5.904767920973e-01	8.581692015286e-01	1.510171403888e+02	2.513617186639e+02	3.140472617694e+02	2.430320819196e+02	10	5.969207727862e+00	2.496995011070e+00	5.747934833056e+00	5.746544920251e+00
10744	0	11	3.267815900000e-02	1.396580000000e+01	6.604108970000e+00	1.180256946914e+00	2.523696160340e+00	1.041392685158e+00	3.522033206271e-01	6.477966793729e-01	7.792847464563e-01	3.579453165580e-01	4.627590503646e-01	-5.184360539292e-01	4.457875371248e-01	1.919587677731e+00	9.826598222276e-01	3.370925959114e-01	1.820802393338e+00	6.573377122630e-01	6.477966793729e-01	7.487373387682e-01	2.213752906783e+02	3.339613133738e+02	6.216071036627e+02	6.114724443082e+02	11	6.930471151215e+00	2.793515968894e+00	6.751904135326e+00	6.916192994537e+00
10842	2	38	4.056564600000e-02	7.117026100000e+01	7.637692980000e+00	1.868708549397e+00	2.653921509025e+00	1.579783596617e+00	7.451974323755e-01	2.548025676245e-01	2.859096595743e-01	3.470761948868e-01	2.752013861304e-01	6.719813861102e-02	-8.327402201830e-02	3.832111657197e-01	9.526534883717e-01	4.269535964293e-01	1.708474070321e+00	5.158829247364e-01	2.548025676245e-01	8.523503146684e-01	4.985767218693e+02	4.507352348321e+02	3.641415283597e+02	3.784554981359e+02	38	5.907753380989e+00	2.561270210681e+00	5.951563869759e+00	5.941242597576e+00
11110	1	18	4.586382300000e-02	2.338311200000e+01	5.928620280000e+00	1.398054299940e+00	2.519402546342e+00	1.255272505103e+00	7.077780870267e-01	2.922219129733e-01	3.324895827409e-01	3.366253015435e-01	7.179840708468e-01	-4.593219178338e-01	5.447044727161e-01	5.163404234103e-01	7.689751800202e-01	7.879079265211e-01	2.195326013153e+00	7.081614982628e-01	2.922219129733e-01	8.942912055349e-01	1.718225129338e+02	3.306759016016e+02	4.459583204351e+02	4.500661862145e+02	18	6.419936788710e+00	2.649294271154e+00	6.135614308746e+00	6.427901017037e+00
11320	2	63	4.692396900000e-02	9.388574400000e+01	8.135515280000e+00	2.002326224224e+00	2.820129587580e+00	1.799340549454e+00	6.525562681754e-01	3.474437318246e-01	4.026920772210e-01	9.422125400869e-02	3.904688076965e-01	-1.222426217609e-01	1.583434546297e-01	2.076714242617e-01	7.675994923219e-01	4.121561595907e-01	1.823072422914e+00	6.044624182582e-01	3.474437318246e-01	8.715019608473e-01	4.709792906504e+02	6.608906193816e+02	5.566260600661e+02	4.182614006087e+02	63	6.308930433819e+00	2.745563535232e+00	6.161802657500e+00	6.060698938196e+00
11648	1	23	2.446269200000e-02	2.074365000000e+01	2.985854540000e+00	1.358998080219e+00	2.473243412360e+00	1.361727836018e+00	6.167714447856e-01	3.832285552144e-01	4.488480412792e-01	5.169809798638e-01	3.096698507667e-01	-3.080233501664e-01	3.862736502892e-01	5.855949898031e-01	2.364529083243e-01	5.055904197677e-01	2.455272076737e+00	6.286270702611e-01	3.832285552144e-01	8.638151359669e-01	1.190612585984e+02	2.973332051036e+02	3.969736230219e+02	4.607464807211e+02	23	6.311768634047e+00	2.598761650953e+00	5.914295690861e+00	6.441169385483e+00
11649	1	15	2.600887800000e-02	1.910946000000e+01	3.440075500000e+00	1.323394682154e+00	2.206196806828e+00	1.176091259056e+00	6.201582441464e-01	3.798417558536e-01	4.444644084532e-01	3.536758729504e-01	3.869109172636e-01	-4.192732477516e-01	5.065012559735e-01	1.355715853710e+00	8.032370614047e-01	5.668606718560e-01	2.547215669785e+00	5.259232896696e-01	3.798417558536e-01	8.990538977157e-01	8.505469454973e+01	1.607669626715e+02	2.327359633829e+02	1.968956254944e+02	15	5.616529119799e+00	2.366863497562e+00	5.340030602240e+00	5.471274259390e+00
11723	2	25	5.743727700000e-02	4.608086100000e+01	5.172704860000e+00	1.663520952646e+00	2.699266223381e+00	1.397940008672e+00	8.289705813565e-01	1.710294186435e-01	1.854013850087e-01	8.127638817700e-02	1.917655806695e-01	-1.426596173799e-01	1.772276667111e-01	2.950913827844e-01	1.264199076816e-01	2.279210983420e-01	2.267568253624e+00	5.206072932336e-01	1.710294186435e-01	8.817365741350e-01	3.485022760027e+02	5.003411511101e+02	4.327410853951e+02	4.415080167229e+02	25	6.308201530803e+00	2.636228130034e+00	6.151140926161e+00	6.325622458190e+00
11844	0	12	3.810019100000e-02	1.646510500000e+01	4.338375140000e+00	1.255806841019e+00	2.344027232557e+00	1.079181246048e+00	8.609710034116e-01	1.390289965884e-01	1.485862459515e-01	5.986510579554e-01	5.633683350225e-01	-4.303683821564e-01	5.264881543067e-01	4.936825598288e-01	7.190614577840e-01	7.673570708116e-01	2.452217690666e+00	6.292673146363e-01	1.390289965884e-01	8.629228693654e-01	1.268645785665e+02	2.208143190917e+02	2.933989070568e+02	3.171986396865e+02	12	6.023137374969e+00	2.467458491716e+00	5.782450523526e+00	6.090883023874e+00
11900	1	17	2.994442300000e-02	3.288591100000e+01	6.210039860000e+00	1.535064503698e+00	2.304381961091e+00	1.230448921378e+00	6.247539918663e-01	3.752460081337e-01	4.385202858817e-01	4.593894867850e-01	6.246617447175e-01	-1.541456753880e-01	1.990850981387e-01	8.060918654162e-01	9.666761279024e-01	6.297327345644e-01	2.266173729505e+00	6.646800877656e-01	3.752460081337e-01	8.720123504077e-01	1.141994299577e+02	2.015496095192e+02	2.521721597476e+02	2.108116402835e+02	17	5.572711733402e+00	2.401697138005e+00	5.325993708385e+00	5.417106632251e+00
12116	1	17	5.153340800000e-02	2.761979800000e+01	1.854080750000e+00	1.464446920695e+00	2.565784057175e+00	1.230448921378e+00	5.318587868387e-01	4.681412131613e-01	5.589998393564e-01	6.179253547798e-01	5.259470791360e-01	2.497333584001e-01	-3.201255407691e-01	3.412761248899e-01	2.232469058538e-01	5.881484083628e-01	1.857577349616e+00	5.962227870539e-01	4.681412131613e-01	8.624490186675e-01	1.838793572779e+02	3.679459755765e+02	4.051397402569e+02	3.824212837518e+02	17	6.316546827132e+00	2.607604845326e+00	6.015295747028e+00	6.266421246569e+00
12284	0	12	3.804047800000e-02	1.853507900000e+01	2.020816080000e+00	1.282925356130e+00	2.373007302688e+00	1.079181246048e+00	3.576734875046e-01	6.423265124954e-01	7.731591730805e-01	5.133616923263e-01	7.900669567929e-01	2.949319601823e-01	-2.939412540036e-01	7.023475525724e-01	6.900005007791e-01	1.152785292172e+00	1.841535744723e+00	8.116856043512e-01	6.423265124954e-01	7.080862136714e-01	2.355559938643e+02	2.360517925096e+02	3.070407690161e+02	3.273890392114e+02	12	6.064474036816e+00	2.487196045129e+00	6.063560893729e+00	6.120210217359e+00
12375	1	17	4.468936100000e-02	2.234539600000e+01	2.370641490000e+00	1.367891282908e+00	2.567261808635e+00	1.230448921378e+00	5.631364156997e-01	4.368635843003e-01	5.184615050646e-01	1.737034759395e-01	2.342170002291e-01	-3.036885354369e-01	3.768773035620e-01	9.748127152191e-01	7.641493709458e-01	5.399897184212e-01	2.197785962748e+00	5.565199259738e-01	4.368635843003e-01	8.292054930282e-01	3.422495647987e+02	3.692000988524e+02	3.165411675311e+02	1.186017503622e+02	17	6.200230925486e+00	2.500430199879e+00	6.167312021413e+00	5.347552722790e+00
12906	1	17	5.109805300000e-02	3.767086400000e+01	2.815294170000e+00	1.583949126000e+00	2.558736206732e+00	1.230448921378e+00	3.827284319245e-01	6.172715680755e-01	7.444684283779e-01	1.689344354330e-01	3.102766853266e-01	6.418796917030e-02	-7.139745290851e-02	5.274239073944e-01	8.322815173711e-01	4.017158090682e-01	1.842077193688e+00	7.450869386126e-01	6.172715680755e-01	7.464759125867e-01	3.080340867979e+02	3.620230364944e+02	3.619192877355e+02	4.083795022070e+02	17	6.092010537824e+00	2.558611728546e+00	6.021873108921e+00	6.196914951569e+00
13430	0	14	3.867542200000e-02	1.755130500000e+01	2.183498930000e+00	1.282218895037e+00	2.487043661008e+00	1.146128035678e+00	5.108384368160e-01	4.891615631840e-01	5.860982818454e-01	1.827021730377e-01	3.339086140864e-01	-1.592307033158e-01	1.815468191592e-01	1.346917923199e+00	9.853416515804e-01	9.713308164215e-01	1.980894593063e+00	6.001241414934e-01	4.891615631840e-01	9.208004419113e-01	2.593792465794e+02	3.069330542457e+02	3.040200212520e+02	3.761748747827e+02	14	6.170629136036e+00	2.482902185033e+00	6.097520699450e+00	6.355604336131e+00
13470	0	14	5.434466000000e-02	2.789855200000e+01	5.241638090000e+00	1.451354227963e+00	2.398626265245e+00	1.146128035678e+00	7.408189719858e-01	2.591810280142e-01	2.913116843615e-01	4.365930775093e-01	6.654569834362e-01	2.035109852654e-02	-2.597301221278e-02	5.150202441735e-01	7.747819311771e-01	8.189587082185e-01	2.305624604626e+00	7.281269512516e-01	2.591810280142e-01	8.448740801840e-01	1.904689804593e+02	2.503953533182e+02	3.310187380609e+02	2.703008939156e+02	14	5.986977194660e+00	2.519852578688e+00	5.868175186527e+00	5.810967001207e+00
14572	1	17	4.670595400000e-02	2.025761300000e+01	3.031075300000e+00	1.340144963395e+00	2.511785713593e+00	1.230448921378e+00	5.654870741008e-01	4.345129258992e-01	5.154090991378e-01	1.751488722303e-01	5.270049550985e-01	7.976650096064e-02	-1.032687553191e-01	4.292097736272e-01	9.377008705132e-01	5.977655048714e-01	1.937026674526e+00	6.439301255139e-01	4.345129258992e-01	8.648840046495e-01	2.210539014848e+02	3.249269347541e+02	3.099534347727e+02	2.798397298196e+02	17	6.154233656961e+00	2.491296453382e+00	5.986946127747e+00	6.065459495859e+00
14789	2	29	5.468427300000e-02	5.976564800000e+01	5.832338330000e+00	1.782433277884e+00	2.755496769103e+00	1.462397997899e+00	8.846033239049e-01	1.153966760951e-01	1.220051322621e-01	6.195978687053e-01	2.072387113679e-01	3.559928053445e-02	-4.253523152003e-02	4.805233909741e-01	8.892559760713e-01	8.017278111756e-01	1.680313459395e+00	5.040885378592e-01	1.153966760951e-01	8.733277346566e-01	5.205781087610e+02	5.695039873358e+02	4.187026787290e+02	3.215428063351e+02	29	6.216874969981e+00	2.621905739381e+00	6.177864102176e+00	5.987541086907e+00
15354	1	15	5.459263600000e-02	3.155234200000e+01	4.297394680000e+00	1.509696906279e+00	2.635844672362e+00	1.176091259056e+00	3.623735241178e-01	6.376264758822e-01	7.678548931486e-01	5.204699476704e-01	5.451125520932e-01	4.564050515087e-01	-5.638372282371e-01	7.729277096101e-01	7.886530390809e-01	4.736425599062e-01	1.646221918682e+00	6.183769321733e-01	6.376264758822e-01	8.605188391448e-01	2.611925087546e+02	4.323591679158e+02	3.987907108164e+02	3.068894868533e+02	15	6.327637833225e+00	2.600745033571e+00	6.108753877673e+00	6.100111788109e+00
15641	1	17	2.702476300000e-02	1.701435100000e+01	2.943580170000e+00	1.262513974815e+00	2.380457348482e+00	1.230448921378e+00	4.637104629194e-01	5.362895370806e-01	6.460534230170e-01	3.016898399511e-01	1.454321407385e-01	8.534538970883e-02	-1.035915130400e-01	8.435102819721e-01	5.074654562007e-01	3.777878504792e-01	1.871904579445e+00	5.626016114919e-01	5.362895370806e-01	8.334638736220e-01	1.044593713699e+02	2.401360421700e+02	2.461588319710e+02	2.257003607969e+02	17	5.900374218682e+00	2.391215422508e+00	5.538864278151e+00	5.825007880320e+00
