group,branch,draw,center,kind,amplitude,peak_selected,true_flux_fraction_retained,reference_flux_jy_kms,post_continuum_flux_over_reference,selected_noisy_flux_over_reference,paired_selected_flux_difference_over_reference,selected_voxel_fraction
gaussian,boxcar_independent,15,10,rotation,10,True,0.923597749344198,0.5189665145020671,0.999999999999415,0.9890456666597662,0.9786879612498357,0.019824939578026
gaussian,boxcar_independent,15,10,warp,5,True,0.6871335459881908,0.2594832572510335,0.999999999999415,0.7989550637998234,0.7782396529799627,0.00837198162301043
gaussian,boxcar_independent,15,10,warp,10,True,0.9235926117711662,0.518966514502067,0.999999999999415,0.9866860293974781,0.9763283239875478,0.01992292115748906
gaussian,boxcar_independent,15,10,streaming,5,True,0.6098375018770803,0.25948325725103305,0.9999999999810905,0.7178024556463342,0.6970870448264733,0.007413939512704945
gaussian,boxcar_independent,15,10,streaming,10,True,0.915550782021603,0.5189665145020661,0.9999999999810905,0.9690880990608923,0.9587303936509618,0.020173318527227993
gaussian,boxcar_independent,15,20,rotation,5,True,0.7824702022983011,0.2594832572510335,1.0000000000000002,0.8885821446714404,0.8678667338515796,0.01065821847714852
gaussian,boxcar_independent,15,20,rotation,10,True,0.914574297427579,0.518966514502067,1.0000000000000002,0.9976182717800403,0.9872605663701097,0.022604713276866913
gaussian,boxcar_independent,15,20,warp,5,True,0.7710506279425269,0.25948325725103355,1.0,0.8711816814045811,0.8504662705847204,0.010498544792097605
gaussian,boxcar_independent,15,20,warp,10,True,0.9113278118529262,0.5189665145020671,1.0,0.9892508404116668,0.9788931350017365,0.02259019748731683
gaussian,boxcar_independent,15,20,streaming,5,True,0.7084978232725875,0.25948325725103355,0.9999999999999997,0.7777041312786733,0.7569887204588125,0.009304621101603268
gaussian,boxcar_independent,15,20,streaming,10,True,0.9061148292496605,0.5189665145020671,0.9999999999999997,0.9638980797405788,0.9535403743306483,0.02180271590422482
gaussian,boxcar_independent,15,30,rotation,5,True,0.6580347865064528,0.2594832572510335,1.0,0.7095868474104661,0.6888714365906053,0.008843744783388131
gaussian,boxcar_independent,15,30,rotation,10,True,0.9277262297271932,0.518966514502067,1.0,0.9676524368105037,0.9572947314005734,0.021962389589275735
gaussian,boxcar_independent,15,30,warp,5,True,0.6412217039748233,0.2594832572510335,1.0,0.6956518510565862,0.6749364402367255,0.009021563205376648
gaussian,boxcar_independent,15,30,warp,10,True,0.9170832195701508,0.518966514502067,1.0,0.9494462890301733,0.939088583620243,0.021878923799362758
gaussian,boxcar_independent,15,30,streaming,5,True,0.531066302113788,0.25948325725103355,0.9999999999999921,0.5919013947699296,0.5711859839500688,0.0079473947786705
gaussian,boxcar_independent,15,30,streaming,10,True,0.9137485072760437,0.5189665145020671,0.9999999999999921,0.945558494118486,0.9352007887085557,0.02236520274929054
noiseless,boxcar_hanning_full,0,10,rotation,5,True,0.7944609097529686,0.2689926263762669,0.9999999997516171,0.7944609097485238,0.7944609097485238,0.010153794790283131
noiseless,boxcar_hanning_full,0,10,rotation,10,True,0.9413037220428394,0.5379852527525338,0.9999999997516171,0.9413037220198229,0.9413037220198229,0.022528505381728976
noiseless,boxcar_hanning_full,0,10,warp,5,True,0.7875300621613962,0.2689926263762669,0.9999999997515774,0.7875300621553983,0.7875300621553983,0.010139279000733047
noiseless,boxcar_hanning_full,0,10,warp,10,True,0.9377811186180585,0.5379852527525338,0.9999999997515774,0.9377811185929692,0.9377811185929692,0.02263374485596708
noiseless,boxcar_hanning_full,0,10,streaming,5,True,0.7689904861485938,0.2689926263758595,0.9999999956298454,0.7689904860649596,0.7689904860649596,0.009946944789194447
noiseless,boxcar_hanning_full,0,10,streaming,10,True,0.9218641212034053,0.537985252751719,0.9999999956298454,0.9218641207290489,0.9218641207290489,0.023087363279407174
noiseless,boxcar_hanning_full,0,20,rotation,5,True,0.6264089312541435,0.26899262637627985,1.0000000000000002,0.6264089312541435,0.6264089312541435,0.005541402660744225
noiseless,boxcar_hanning_full,0,20,rotation,10,True,0.9301336036395529,0.5379852527525597,1.0000000000000002,0.9301336036395529,0.9301336036395529,0.01848585799203083
noiseless,boxcar_hanning_full,0,20,warp,5,True,0.6122095693713681,0.2689926263762799,1.0000000000000002,0.6122095693713681,0.6122095693713681,0.005432534239118601
noiseless,boxcar_hanning_full,0,20,warp,10,True,0.9249977623541961,0.5379852527525598,1.0000000000000002,0.9249977623541961,0.9249977623541961,0.018453197465543143
noiseless,boxcar_hanning_full,0,20,streaming,5,True,0.5846980300292443,0.2689926263762799,1.0000000000000004,0.5846980300292443,0.5846980300292443,0.0052111684484798335
noiseless,boxcar_hanning_full,0,20,streaming,10,True,0.9048410873575073,0.5379852527525598,1.0000000000000004,0.9048410873575073,0.9048410873575073,0.018689079045731995
noiseless,boxcar_hanning_full,0,30,rotation,5,True,0.7801254116737286,0.2689926263762799,0.9999999999997957,0.780125411673727,0.780125411673727,0.009852592157118907
noiseless,boxcar_hanning_full,0,30,rotation,10,True,0.9410257022202987,0.5379852527525598,0.9999999999997957,0.941025702220282,0.941025702220282,0.02232528432802781
noiseless,boxcar_hanning_full,0,30,warp,5,True,0.7724814510240582,0.26899262637627985,0.9999999999997958,0.7724814510240557,0.7724814510240557,0.009885252683606594
noiseless,boxcar_hanning_full,0,30,warp,10,True,0.9373132788603702,0.5379852527525597,0.9999999999997958,0.9373132788603508,0.9373132788603508,0.022383347486228146
noiseless,boxcar_hanning_full,0,30,streaming,5,True,0.7679323448832283,0.2689926263762798,0.9999999999933916,0.7679323448831099,0.7679323448831099,0.009674773735130388
noiseless,boxcar_hanning_full,0,30,streaming,10,True,0.9119119315834626,0.5379852527525596,0.9999999999933916,0.9119119315828745,0.9119119315828745,0.02264826064551716
empirical,boxcar_hanning_full,0,10,rotation,5,True,0.8305619257663561,0.2689926263762669,0.9999999997516171,1.1863724495288557,1.1863724495288557,0.016388326402043824
empirical,boxcar_hanning_full,0,10,rotation,10,True,0.9475515066749818,0.5379852527525338,0.9999999997516171,1.2256684720042599,1.2256684720042599,0.02867594225618917
empirical,boxcar_hanning_full,0,10,warp,5,True,0.8245797039820965,0.2689926263762669,0.9999999997515774,1.1771539299067382,1.1771539299067382,0.01645727640240672
empirical,boxcar_hanning_full,0,10,warp,10,True,0.9472772511346291,0.5379852527525338,0.9999999997515774,1.2317444538866287,1.2317444538866287,0.02887916330989033
empirical,boxcar_hanning_full,0,10,streaming,5,True,0.8072475330951001,0.2689926263758595,0.9999999956298454,1.1450658966187925,1.1450658966187925,0.016504452718444487
empirical,boxcar_hanning_full,0,10,streaming,10,True,0.9479030967686327,0.537985252751719,0.9999999956298454,1.2502304450926864,1.2502304450926864,0.030185584369397812
empirical,boxcar_hanning_full,0,20,rotation,5,True,0.49329355853656714,0.26899262637627985,1.0000000000000002,0.5468363569132721,0.5468363569132721,0.004902707920540568
empirical,boxcar_hanning_full,0,20,rotation,10,True,0.891115797809116,0.5379852527525597,1.0000000000000002,0.9667872933603162,0.9667872933603162,0.017368142196674433
empirical,boxcar_hanning_full,0,20,warp,5,True,0.46105007591800945,0.2689926263762799,1.0000000000000002,0.5233978757496512,0.5233978757496512,0.004884563183602964
empirical,boxcar_hanning_full,0,20,warp,10,True,0.8885606405111596,0.5379852527525598,1.0000000000000002,0.9646944813308287,0.9646944813308287,0.01735725535451187
empirical,boxcar_hanning_full,0,20,streaming,5,True,0.34220960248854804,0.2689926263762799,1.0000000000000004,0.4538591618938034,0.4538591618938034,0.004485378970975679
empirical,boxcar_hanning_full,0,20,streaming,10,True,0.8842945658588465,0.5379852527525598,1.0000000000000004,0.9641733090043114,0.9641733090043114,0.01777458430407676
empirical,boxcar_hanning_full,0,30,rotation,5,True,0.8316291164624349,0.2689926263762799,0.9999999999997957,0.9985171449474433,0.9985171449474433,0.012418257960096095
empirical,boxcar_hanning_full,0,30,rotation,10,True,0.9471513958194914,0.5379852527525598,0.9999999999997957,1.1222996129018656,1.1222996129018656,0.0239474238102496
empirical,boxcar_hanning_full,0,30,warp,5,True,0.8277922943888281,0.26899262637627985,0.9999999999997958,1.0075377521776003,1.0075377521776003,0.012440031644421218
empirical,boxcar_hanning_full,0,30,warp,10,True,0.9424148291869869,0.5379852527525597,0.9999999999997958,1.1123419416664504,1.1123419416664504,0.02389298959943679
empirical,boxcar_hanning_full,0,30,streaming,5,True,0.7927233555081749,0.2689926263762798,0.9999999999933916,0.9727147281340913,0.9727147281340913,0.011863029009805416
empirical,boxcar_hanning_full,0,30,streaming,10,True,0.922672461417903,0.5379852527525596,0.9999999999933916,1.097570705145745,1.097570705145745,0.024027260652775054
empirical,boxcar_hanning_full,1,10,rotation,5,True,0.560102480319405,0.2689926263762669,0.9999999997516171,0.5669547175067731,0.5669547175067731,0.005926071083821427
empirical,boxcar_hanning_full,1,10,rotation,10,True,0.8538669936882934,0.5379852527525338,0.9999999997516171,0.8294477372451697,0.8294477372451697,0.016533484297544653
empirical,boxcar_hanning_full,1,10,warp,5,True,0.5473167237968272,0.2689926263762669,0.9999999997515774,0.560091963445056,0.560091963445056,0.005788171083095637
empirical,boxcar_hanning_full,1,10,warp,10,True,0.8483286582927256,0.5379852527525338,0.9999999997515774,0.8218911554317133,0.8218911554317133,0.016493565876281927
empirical,boxcar_hanning_full,1,10,streaming,5,True,0.4527725694845092,0.2689926263758595,0.9999999956298454,0.4606116190521858,0.4606116190521858,0.0047357763407146125
empirical,boxcar_hanning_full,1,10,streaming,10,True,0.8532723163544481,0.537985252751719,0.9999999956298454,0.8345162300383034,0.8345162300383034,0.01655162903448226
empirical,boxcar_hanning_full,1,20,rotation,5,True,0.46566756464558207,0.26899262637627985,1.0000000000000002,0.5537190107352807,0.5537190107352807,0.004674084235126759
empirical,boxcar_hanning_full,1,20,rotation,10,True,0.9113911422242311,0.5379852527525597,1.0000000000000002,0.9452869911100638,0.9452869911100638,0.017988692199940485
empirical,boxcar_hanning_full,1,20,warp,5,True,0.448004448605533,0.2689926263762799,1.0000000000000002,0.5374342681593488,0.5374342681593488,0.004518039497463365
empirical,boxcar_hanning_full,1,20,warp,10,True,0.9053458989341198,0.5379852527525598,1.0000000000000002,0.9378791694406283,0.9378791694406283,0.01796328956822784
empirical,boxcar_hanning_full,1,20,streaming,5,True,0.3489110211229257,0.2689926263762799,1.0000000000000004,0.41839306596825665,0.41839306596825665,0.003382178965169363
empirical,boxcar_hanning_full,1,20,streaming,10,True,0.867830865113159,0.5379852527525598,1.0000000000000004,0.8963419166997327,0.8963419166997327,0.016881863246746648
empirical,boxcar_hanning_full,1,30,rotation,5,True,0.7361704542754145,0.2689926263762799,0.9999999999997957,0.6813754266500823,0.6813754266500823,0.00809618162155885
empirical,boxcar_hanning_full,1,30,rotation,10,True,0.9442370115854166,0.5379852527525598,0.9999999999997957,1.0088707267874513,1.0088707267874513,0.024248626443413822
empirical,boxcar_hanning_full,1,30,warp,5,True,0.7150916384565387,0.26899262637627985,0.9999999999997958,0.6238160573667658,0.6238160573667658,0.0074538579339676735
empirical,boxcar_hanning_full,1,30,warp,10,True,0.9362990343828103,0.5379852527525597,0.9999999999997958,0.9833725702593648,0.9833725702593648,0.023457515912934296
empirical,boxcar_hanning_full,1,30,streaming,5,True,0.6318543770584202,0.2689926263762798,0.9999999999933916,0.5519524785095189,0.5519524785095189,0.006245418453923255
empirical,boxcar_hanning_full,1,30,streaming,10,True,0.9289822596728518,0.5379852527525596,0.9999999999933916,0.964236751950466,0.964236751950466,0.023337760649146107
