group,branch,center,amplitude,kind,mean_retention_difference,sd,minimum,maximum,transfer_gate_pass
gaussian,boxcar_independent,10,10,streaming,-0.009664984174544679,0.016677826850845512,-0.029179264828326223,0.031158594739071677,True
gaussian,boxcar_independent,20,5,warp,-0.008732199804585561,0.009100257812224392,-0.02605317882691993,0.008858655855232711,True
gaussian,boxcar_independent,20,5,streaming,-0.06052645271202971,0.026441634041206502,-0.11699815055549034,-0.013868827247354165,False
gaussian,boxcar_independent,20,10,warp,-0.0026757154378180825,0.004927351024355828,-0.009204849387723923,0.009829194919903528,True
gaussian,boxcar_independent,20,10,streaming,-0.009706323274586329,0.012401525207418523,-0.02568120878717839,0.013687097028028505,True
gaussian,boxcar_independent,30,5,warp,-0.014999583553412625,0.017369444790999847,-0.06908795914937671,0.010361190131902509,True
gaussian,boxcar_independent,30,5,streaming,-0.0756079730228108,0.042033366322865647,-0.1506298357652881,-0.008963960681780514,False
gaussian,boxcar_independent,30,10,warp,-0.0047088504703932735,0.0036423933144433965,-0.012716495295209462,0.0031432234668266057,True
gaussian,boxcar_independent,30,10,streaming,-0.01265935745365633,0.013104835487354152,-0.029952790472787094,0.017160348876316123,True
gaussian,boxcar_hanning_full,10,5,warp,-0.013142519092084033,0.013438919641187203,-0.0399064038768393,0.018842523281601076,True
gaussian,boxcar_hanning_full,10,5,streaming,-0.05944693869501445,0.030845280635522488,-0.1216277346341168,0.0037230386001866345,False
gaussian,boxcar_hanning_full,10,10,warp,-0.004051353406784981,0.0036180905160272682,-0.012223578657976852,0.0030139236806652203,True
gaussian,boxcar_hanning_full,10,10,streaming,-0.01296117700400487,0.009341309858654643,-0.03290899393279623,-0.0027221383147132405,True
gaussian,boxcar_hanning_full,20,5,warp,-0.00823372245891691,0.010331901560953365,-0.029362063215652046,0.00894996403754944,True
gaussian,boxcar_hanning_full,20,5,streaming,-0.048118108074517885,0.03430823051792664,-0.12659187378486253,4.885356547712494e-05,True
gaussian,boxcar_hanning_full,20,10,warp,-0.0024511264925287587,0.0026364329995949847,-0.009440371669892977,0.0011535140479442818,True
gaussian,boxcar_hanning_full,20,10,streaming,-0.014914610068371838,0.008676676071355815,-0.030272477069401615,0.004167725230325936,True
gaussian,boxcar_hanning_full,30,5,warp,-0.00757771306117358,0.0036927953675621275,-0.014062365330782756,0.00018515668146701358,True
gaussian,boxcar_hanning_full,30,5,streaming,-0.04110713484738197,0.014883512720437048,-0.07172505480426727,-0.011279570575600029,True
gaussian,boxcar_hanning_full,30,10,warp,-0.003113913886744174,0.002902420182331686,-0.01015494811544626,0.0018948124338770134,True
gaussian,boxcar_hanning_full,30,10,streaming,-0.014762877163155663,0.009630878909013313,-0.03767907086246336,0.000979370464863183,True
gaussian,boxcar_hanning_decimated,10,5,warp,-0.010113610073318291,0.010142104572465513,-0.031366733844537587,0.011665305159861528,True
