group	richness_bin	members	metadata_redshift	d10	log10_total_member_luminosity	log10_r25_kpc	log10_r50_kpc	log10_r75_kpc	log10_r90_kpc	log10_u_surface50	log10_u_volume25_75	surface_volume_log_contrast	log_geometric_mean_sources	source_balance	surface_source_radial_gradient	volume_source_inner_outer_gradient	sigma_gap_km_s	sigma_mad_km_s	unique_member_redshifts	log10_sigma_gap	log10_sigma_mad	log10_eta_r50	log10_eta_r90
20164	1	24	3.333915800000e-02	5.254856850000e+00	1.150508849416e+01	1.517481326504e+00	2.313708013814e+00	2.575904993527e+00	2.706296062458e+00	-2.358328965718e+00	-3.144629730930e+00	7.863007652123e-01	-2.751479348324e+00	4.832539779362e-01	-1.549215243777e+00	-2.542107854051e-01	2.802341706967e+02	2.913267222263e+02	24	2.447521090408e+00	2.464380322538e+00	5.703661700474e+00	6.096249749119e+00
20425	1	22	3.524096500000e-02	5.086785580000e+00	1.156930963864e+01	1.560129669652e+00	2.490590747242e+00	2.720453014785e+00	2.830989724920e+00	-2.647873288088e+00	-3.337316579440e+00	6.894432913516e-01	-2.992594933764e+00	5.637018633385e-01	-1.588803192902e+00	2.363899588356e-02	4.819436405739e+02	3.576192422523e+02	22	2.682996253967e+00	2.553420878634e+00	6.287273616535e+00	6.627672594214e+00
21848	1	15	5.128755500000e-02	3.418907480000e+00	1.138018011616e+01	1.967506881666e+00	2.311860921520e+00	2.496319625644e+00	2.775974568188e+00	-2.479543159127e+00	-3.021515846357e+00	5.419726872304e-01	-2.750529502742e+00	6.932108419215e-01	-1.097750082325e+00	-1.552497552792e+00	3.727156564104e+02	1.926414703229e+02	15	2.571377636247e+00	2.284749784313e+00	6.074436077855e+00	6.538549724524e+00
25886	2	31	2.915751800000e-02	1.765006570000e+00	1.160139490319e+01	2.391755651708e+00	2.524080192414e+00	2.665385057294e+00	2.756018906924e+00	-2.682766913882e+00	-3.035565212958e+00	3.527982990760e-01	-2.859166063420e+00	8.516060982239e-01	-2.563231692993e-01	-1.799199224515e+00	3.766123814789e+02	3.639869631036e+02	31	2.575894593746e+00	2.561085828832e+00	6.074474476715e+00	6.306413191225e+00
27344	2	31	5.195651700000e-02	4.819412910000e+00	1.175967486887e+01	2.476994389100e+00	2.659052689698e+00	2.750059117674e+00	2.781817071874e+00	-2.794431942768e+00	-2.996032833186e+00	2.016008904179e-01	-2.895232387977e+00	9.480061332367e-01	-2.527173787276e-01	8.642054945899e-02	3.861068285613e+02	3.845106263328e+02	31	2.586707482485e+00	2.584908346462e+00	6.072792785793e+00	6.195557167970e+00
27948	1	19	1.937873800000e-02	2.217793280000e+00	1.128790896952e+01	2.085572465060e+00	2.147485416401e+00	2.372524724226e+00	2.481506607482e+00	-2.243063295531e+00	-2.853806175652e+00	6.107428801215e-01	-2.548434735592e+00	6.323282372316e-01	-3.372800196606e-01	-3.601731852697e+00	2.633950856376e+02	1.605086866396e+02	19	2.420607667739e+00	2.205498541149e+00	5.700791782362e+00	6.034812973443e+00
28070	0	13	5.186247100000e-02	7.565913330000e+00	1.127684101433e+01	2.583907761561e+00	2.734849117197e+00	2.830636481326e+00	2.847411572668e+00	-3.428858652309e+00	-3.629031330297e+00	2.001726779876e-01	-3.528944991303e+00	9.487148465896e-01	-6.621111974840e-02	1.923176532739e-01	3.762873848889e+02	2.737627021271e+02	13	2.575519658753e+00	2.437374278846e+00	6.609047420373e+00	6.721609875844e+00
28657	1	17	2.373020500000e-02	4.014672430000e+00	1.134009191591e+01	2.245949402310e+00	2.265697558520e+00	2.329453583667e+00	2.509158674060e+00	-2.427304633379e+00	-2.260365923649e+00	-1.669387097306e-01	-2.343835278514e+00	9.639519496833e-01	3.713740880582e+00	-4.215583621118e+00	3.686276081323e+02	2.329844015386e+02	17	2.566587858313e+00	2.367326845693e+00	6.058781359239e+00	6.302242474779e+00
28675	0	12	3.720647000000e-02	5.140621310000e+00	1.105020414668e+01	1.819343135454e+00	1.962523745693e+00	2.341560720225e+00	2.420433793269e+00	-2.110844776953e+00	-3.236013371351e+00	1.125168594398e+00	-2.673429074152e+00	2.594815799996e-01	-1.086355441422e+00	-2.901461253504e+00	2.796366394481e+02	2.042207196795e+02	12	2.446594074326e+00	2.310099802325e+00	5.805507747665e+00	6.263417795241e+00
35037	2	47	2.336523500000e-02	7.154150000000e+00	1.152804668795e+01	2.359805515323e+00	2.583379954195e+00	2.738585814806e+00	2.812182371134e+00	-2.874714652684e+00	-3.307385479042e+00	4.326708263586e-01	-3.091050065863e+00	7.878054660969e-01	-7.403746832397e-01	-1.021473895243e+00	3.499314698439e+02	2.897498422194e+02	47	2.543983000971e+00	2.462023208145e+00	6.143299268185e+00	6.372101685124e+00
35522	1	22	3.148078200000e-02	2.522408820000e+00	1.123884241597e+01	1.680375847972e+00	2.018125264710e+00	2.425522684604e+00	2.715726997282e+00	-2.033409545694e+00	-3.253068954555e+00	1.219659408861e+00	-2.643239250124e+00	2.145558754217e-01	-1.359694987264e+00	-2.184316830645e+00	4.159302246875e+02	3.733121933099e+02	22	2.619020480687e+00	2.572072175302e+00	6.017323810112e+00	6.714925542684e+00
36973	0	14	1.637697500000e-02	2.288194380000e+00	1.111517206900e+01	1.995269998161e+00	2.487335195249e+00	2.504105733607e+00	2.605962489940e+00	-3.095499753746e+00	-3.132694841667e+00	3.719508792037e-02	-3.114097297706e+00	9.981684791612e-01	-1.062327542107e+00	6.364453141266e-01	2.418998372376e+02	1.779954216720e+02	14	2.383635576147e+00	2.250408831701e+00	6.139434278545e+00	6.258061573236e+00
37967	1	15	5.196498800000e-02	9.853892720000e+00	1.127598979826e+01	2.503293184577e+00	2.794765251870e+00	2.812112341673e+00	2.819345401663e+00	-3.549542137724e+00	-3.546829354035e+00	-2.712783688562e-03	-3.548185745880e+00	9.999902456375e-01	-4.550140632244e-01	3.093008431548e+00	3.833123194903e+02	2.408989055187e+02	15	2.583552777513e+00	2.381834826863e+00	6.685881008635e+00	6.710461158428e+00
38481	0	13	3.616594000000e-02	3.759526080000e+00	1.124794308553e+01	2.371227162562e+00	2.602465871877e+00	2.666262975552e+00	2.748450952394e+00	-3.192990090473e+00	-3.323758640001e+00	1.307685495275e-01	-3.258374365237e+00	9.776719929246e-01	-3.828361381508e-01	-1.102788694854e-01	2.974731212758e+02	2.965592460653e+02	13	2.473447730371e+00	2.472111468928e+00	6.301418247091e+00	6.447403327608e+00
40928	0	11	5.763008200000e-02	1.294643650000e+00	1.122654190949e+01	2.065468674346e+00	2.380287013421e+00	2.570775947139e+00	2.738885558299e+00	-2.770033549598e+00	-3.328055135576e+00	5.580215859783e-01	-3.049044342587e+00	6.790066302602e-01	-1.055779957248e+00	-1.296230623400e+00	3.734607278501e+02	2.019929613305e+02	11	2.572244939285e+00	2.305336236236e+00	6.298234982500e+00	6.656833527378e+00
41339	0	13	2.910445700000e-02	3.503376820000e+00	1.119509781914e+01	2.033030009960e+00	2.161325147407e+00	2.321460722758e+00	2.458947826937e+00	-2.363553907918e+00	-2.780290087604e+00	4.167361796857e-01	-2.571921997761e+00	8.010201154625e-01	-3.458028789963e-01	-2.357214870842e+00	2.662768157017e+02	3.094698936929e+02	13	2.425333354756e+00	2.490618405734e+00	5.816894037778e+00	6.114516717308e+00
43515	2	25	2.263008900000e-02	2.071764060000e+00	1.125213906115e+01	2.119865407331e+00	2.325729934812e+00	2.789644702576e+00	2.792028108481e+00	-2.635322240720e+00	-4.022795043871e+00	1.387472803151e+00	-3.329058642296e+00	1.512536767926e-01	-1.287644067073e+00	-2.366901263907e+00	3.910185720192e+02	3.897989075041e+02	25	2.592197385360e+00	2.590840617579e+00	6.257985644382e+00	6.724283818051e+00
43763	1	21	3.127043700000e-02	3.076527040000e+00	1.129361112544e+01	2.142581848702e+00	2.317506959405e+00	2.565404072760e+00	2.701575294175e+00	-2.577404225614e+00	-3.297035766256e+00	7.196315406417e-01	-2.937219995935e+00	5.380443218429e-01	-8.715795254562e-01	-2.317518761727e+00	3.161629413531e+02	2.439202703207e+02	21	2.499910963291e+00	2.387247892658e+00	6.023717760545e+00	6.407786095315e+00
49550	0	10	2.658656400000e-02	3.309570220000e+00	1.104172538519e+01	2.366445408250e+00	2.520804888781e+00	2.644207986725e+00	2.747831746739e+00	-3.235885824619e+00	-3.537148338041e+00	3.012625134227e-01	-3.386517081330e+00	8.887302117912e-01	-2.822694931113e-01	-1.525416465641e+00	2.444791771786e+02	1.565828512566e+02	10	2.388241875232e+00	2.194744196978e+00	6.255563254057e+00	6.482590112016e+00
52222	0	13	4.216136600000e-02	5.232497250000e+00	1.114659558112e+01	2.108456757155e+00	2.178518168024e+00	2.602473453225e+00	2.669659100747e+00	-2.446442187177e+00	-3.703753752059e+00	1.257311564882e+00	-3.075097969618e+00	1.986096728015e-01	-1.034200142394e+00	-3.928150703762e+00	3.036537744646e+02	1.950739343610e+02	13	2.482378683841e+00	2.290199243154e+00	5.996679954591e+00	6.487820887314e+00
54231	0	14	1.077886300000e-02	1.225574160000e+00	1.069974834389e+01	2.014461284418e+00	2.047807889086e+00	2.367464603727e+00	2.582500963936e+00	-2.631868866525e+00	-3.551169375800e+00	9.193005092752e-01	-3.091519121162e+00	3.837051165352e-01	-6.483944240148e-01	-4.620499002583e+00	5.193727914419e+02	7.611142641736e+02	14	2.715479194357e+00	2.881449861205e+00	6.779017933907e+00	7.313711008757e+00
54826	1	21	8.397109000000e-03	2.311586240000e+00	1.079340486455e+01	1.878404132095e+00	1.938950549007e+00	2.241725799783e+00	2.285578708297e+00	-2.320497665706e+00	-3.192002049824e+00	8.715043841180e-01	-2.756249857765e+00	4.178306932821e-01	-6.867800707980e-01	-3.683350598496e+00	2.473923526609e+02	3.333027276147e+02	21	2.393386270683e+00	2.522838867765e+00	5.932318225819e+00	6.278946385108e+00
64371	0	11	2.295220100000e-02	8.845615670000e+00	1.069679465640e+01	2.468280708776e+00	2.471431779697e+00	2.494898894275e+00	2.666332165201e+00	-3.482070335243e+00	-2.777671411237e+00	-7.043989240067e-01	-3.129870873240e+00	5.509330367430e-01	1.592463482306e+01	-4.474369286402e+00	2.831201562172e+02	1.359979329806e+02	11	2.451970789260e+00	2.133532307621e+00	6.678578701821e+00	6.873479087325e+00
65718	0	11	3.735807600000e-02	1.557986220000e+00	1.095010868142e+01	2.099278891131e+00	2.254088482377e+00	2.475432515398e+00	2.681199941776e+00	-2.794069715580e+00	-3.424527877997e+00	6.304581624163e-01	-3.109298796788e+00	6.149613797736e-01	-7.315787382088e-01	-2.678159007228e+00	4.322576438135e+02	3.807324307623e+02	11	2.635742681846e+00	2.580619871564e+00	6.575465164649e+00	7.002576624049e+00
