model,galaxy,rar_chi_square,candidate_chi_square,absolute_gain,fractional_gain
Local brightness-gradient adjustment,NGC3521,31.28067637541,37.77446872689,-6.49379235148,-0.20759756833726345
Local brightness-gradient adjustment,NGC3741,28.4044824385,53.68697423689,-25.28249179839,-0.8900880997613817
Local brightness-gradient adjustment,NGC3769,55.84765145288,45.87617566543,9.971475787450004,0.1785478086909917
Local brightness-gradient adjustment,NGC3877,170.4730589134,161.9649309445,8.508127968899998,0.049908930027601085
Local brightness-gradient adjustment,NGC3893,8.951497772099,10.17277678761,-1.2212790155109996,-0.13643292403173182
Local brightness-gradient adjustment,NGC3917,48.58982454101,54.74260097135,-6.152776430339998,-0.12662685013704938
Local brightness-gradient adjustment,NGC3949,15.82016408348,13.87639526694,1.9437688165400004,0.12286653958094883
Local brightness-gradient adjustment,NGC3972,18.98828760911,22.28954086966,-3.301253260550002,-0.17385734451200127
Local brightness-gradient adjustment,NGC3992,83.16918221687,94.90061499307,-11.731432776199995,-0.14105504543268668
Local brightness-gradient adjustment,NGC4010,47.82693776115,43.25512121279,4.5718165483599975,0.0955908273114174
Local brightness-gradient adjustment,NGC4051,79.95580747237,70.17271692628,9.783090546089994,0.12235622221025905
Local brightness-gradient adjustment,NGC4068,146.9145231429,132.3194163484,14.595106794499998,0.0993442069733549
Local brightness-gradient adjustment,NGC4085,91.88965454237,88.21289787773,3.6767566646399956,0.04001273791865934
Local brightness-gradient adjustment,NGC4088,430.6106425553,412.3369167539,18.273725801399962,0.04243677233094212
Local brightness-gradient adjustment,NGC4100,81.42553115145,89.8264047405,-8.400873589049993,-0.10317247514694773
Local brightness-gradient adjustment,NGC4157,154.4899135147,145.2719347511,9.217978763600001,0.05966718832244601
Local brightness-gradient adjustment,NGC4183,84.82657827535,62.1664294098,22.66014886555,0.26713501035010956
Local brightness-gradient adjustment,NGC5005,9.776308467486,9.875785398475,-0.0994769309889989,-0.01017530607998293
Local brightness-gradient adjustment,NGC5033,304.986287347,210.9468668665,94.03942048049998,0.30833983159874356
Local brightness-gradient adjustment,NGC5371,3242.984417357,3007.404338223,235.5800791339998,0.07264298831444747
Local brightness-gradient adjustment,NGC5585,628.9688989496,573.624680969,55.34421798059998,0.08799197873380823
Local brightness-gradient adjustment,NGC5907,637.5882451346,499.3735435473,138.2147015873,0.2167773679047702
Local brightness-gradient adjustment,NGC5985,5299.843164381,5382.380944009,-82.53777962799995,-0.015573626816490905
Local brightness-gradient adjustment,NGC6015,1483.276700906,1575.922232541,-92.645531635,-0.06246004644879218
Local brightness-gradient adjustment,NGC6195,610.9739104494,691.3159915584,-80.34208110899999,-0.13149838272129266
Local brightness-gradient adjustment,NGC6503,87.03081318832,300.7341153699,-213.70330218158,-2.4554901230115145
Local brightness-gradient adjustment,NGC6674,368.0823844552,563.1946508966,-195.11226644140004,-0.5300777072779138
Local brightness-gradient adjustment,NGC6789,24.45806872057,25.5150021291,-1.05693340853,-0.043214099224485616
Local brightness-gradient adjustment,NGC6946,1487.42706367,1464.138946141,23.288117529000147,0.015656645019985222
Local brightness-gradient adjustment,NGC7331,1289.867903435,1295.163722227,-5.295818792000091,-0.0041057063113959106
Local brightness-gradient adjustment,NGC7814,490.8688445382,63.65533209212,427.21351244608,0.8703210994130098
Local brightness-gradient adjustment,PGC51017,788.5606182798,725.5177857163,63.04283256350004,0.0799467169702494
Local brightness-gradient adjustment,UGC00128,2133.067436399,2507.335988332,-374.2685519329998,-0.17546025294204112
Local brightness-gradient adjustment,UGC00191,267.0224082104,181.7325524843,85.2898557261,0.31941085505788697
Local brightness-gradient adjustment,UGC00731,196.2677599225,222.0296672173,-25.761907294799983,-0.13125898672799116
Local brightness-gradient adjustment,UGC00891,237.2702856945,137.0938313294,100.1764543651,0.42220396065137006
Local brightness-gradient adjustment,UGC01230,40.58187367985,30.02841632154,10.553457358309998,0.2600534771155743
Local brightness-gradient adjustment,UGC02259,364.933717209,423.4309561935,-58.49723898449997,-0.1602955173117046
Local brightness-gradient adjustment,UGC02487,4447.528998383,3230.103961344,1217.425037039,0.27373065751378406
Local brightness-gradient adjustment,UGC02916,3249.543879214,3907.544131236,-658.000252022,-0.20249003444174363
Local brightness-gradient adjustment,UGC02953,23132.52625482,21373.46454085,1759.0617139700007,0.07604278471762134
Local brightness-gradient adjustment,UGC03205,590.3765469671,527.5731430113,62.803403955800036,0.10637855497213694
Local brightness-gradient adjustment,UGC03580,4114.298538961,4942.418313069,-828.1197741079995,-0.20127848435547116
Local brightness-gradient adjustment,UGC04278,80.04730531521,94.48971113816,-14.442405822950008,-0.180423385472862
Local brightness-gradient adjustment,UGC04305,1506.83226941,1399.801145983,107.03112342700001,0.07103054905301971
Local brightness-gradient adjustment,UGC04325,234.7980581799,252.2935543001,-17.495496120199988,-0.07451295064286736
Local brightness-gradient adjustment,UGC04483,90.00298054112,73.18651010885,16.816470432269995,0.18684348375092968
Local brightness-gradient adjustment,UGC04499,85.31245066937,63.12943835613,22.183012313239992,0.26002080750453027
Local brightness-gradient adjustment,UGC05414,66.74932050347,54.15489135887,12.5944291446,0.18868250717166882
Local brightness-gradient adjustment,UGC05716,450.0853735623,607.7197836415,-157.63441007920005,-0.35023224334434094
Local brightness-gradient adjustment,UGC05750,35.31594192556,28.02569951127,7.290242414289999,0.20642922195467958
Local brightness-gradient adjustment,UGC05764,2196.976555054,2501.916098356,-304.93954330199995,-0.13879963470730108
Local brightness-gradient adjustment,UGC05829,31.4606814596,24.42302424186,7.037657217740001,0.22369690964187652
Local brightness-gradient adjustment,UGC05986,451.082658405,512.985910482,-61.90325207699999,-0.13723261341033594
