sohn_objID,RAJ2000,DEJ2000,z,rmag,member_Mm,simard_matched,match_sep_arcsec,objID_agrees,simard_objID,simard_z,simard_Sp,simard_Scale,simard_gg2d,simard_rg2d,simard_Rhlr,simard_Rchl_r,simard_Rhlg,simard_Rchl_g,simard_e,simard_e_e,simard_phi,simard_e_phi,simard_ng,simard_e_ng
1237662268074164593,228.165592,+05.853457,0.04392,15.90,N,1,0.026,0,587736546849259893,0.0779,-1,1.474,16.50,15.96,7.51,6.88,7.51,6.88,0.17,0.01,44.63,0.71,1.25,0.02
1237662268074164596,228.166629,+05.856276,0.14183,19.95,N,0,10.833,,,,,,,,,,,,,,,,,
1237662268074164616,228.175832,+05.859851,0.18092,18.02,N,1,0.008,0,587736546849259909,0.1847,-1,3.098,18.91,17.69,6.48,5.12,6.48,5.12,0.50,0.03,126.47,1.81,7.94,0.16
1237662268074164647,228.195875,+05.818557,0.14138,17.15,N,1,0.031,0,587736546849259956,0.1416,2,2.491,17.84,16.82,7.61,7.18,7.61,7.18,0.17,0.02,130.19,4.61,7.93,0.15
1237662268074164648,228.199860,+05.812812,0.14079,18.65,N,0,25.118,,,,,,,,,,,,,,,,,
1237662268074164658,228.194791,+05.791291,0.21778,19.21,N,0,98.208,,,,,,,,,,,,,,,,,
1237662268074164659,228.194947,+05.792371,0.14052,19.29,N,0,94.302,,,,,,,,,,,,,,,,,
1237662268074164666,228.196098,+05.701861,0.08144,20.08,Y,0,195.696,,,,,,,,,,,,,,,,,
1237662268074164700,228.156800,+05.805319,0.22768,19.65,N,0,147.815,,,,,,,,,,,,,,,,,
1237662268074164703,228.167346,+05.845937,0.22065,18.65,N,0,27.768,,,,,,,,,,,,,,,,,
1237662268074164708,228.184295,+05.893898,0.28424,19.07,N,0,139.058,,,,,,,,,,,,,,,,,
1237662268074164713,228.180745,+05.821292,0.14087,19.23,N,0,55.061,,,,,,,,,,,,,,,,,
1237662268074164720,228.187786,+05.800683,0.21986,18.62,N,0,70.537,,,,,,,,,,,,,,,,,
1237662268074164721,228.189684,+05.800837,0.22023,19.97,N,0,67.506,,,,,,,,,,,,,,,,,
1237662268074164722,228.188671,+05.808768,0.21950,18.54,N,0,43.645,,,,,,,,,,,,,,,,,
1237662268074164724,228.190112,+05.804500,0.21768,18.15,N,0,54.623,,,,,,,,,,,,,,,,,
1237662268074164770,228.154654,+05.767841,0.21771,20.34,N,0,470.194,,,,,,,,,,,,,,,,,
1237662268074164774,228.158474,+05.734081,0.30013,20.04,N,0,318.528,,,,,,,,,,,,,,,,,
1237662268074164778,228.179373,+05.856366,0.21841,19.54,N,0,17.841,,,,,,,,,,,,,,,,,
1237662268074164781,228.179983,+05.838592,0.21882,19.99,N,0,74.284,,,,,,,,,,,,,,,,,
1237662268074164785,228.193939,+05.873609,0.17567,19.81,N,0,81.603,,,,,,,,,,,,,,,,,
1237662268074164789,228.199507,+05.848505,0.32218,19.15,N,0,94.117,,,,,,,,,,,,,,,,,
1237662268074165112,228.125532,+05.910317,0.22945,18.53,N,0,126.806,,,,,,,,,,,,,,,,,
1237662268074165173,228.140384,+05.886463,0.35805,19.87,N,0,114.591,,,,,,,,,,,,,,,,,
1237662268074165181,228.142653,+05.899233,0.91789,21.58,N,0,148.259,,,,,,,,,,,,,,,,,
1237662268074165192,228.142171,+05.879003,0.42960,20.76,N,0,91.144,,,,,,,,,,,,,,,,,
1237662268074165211,228.143673,+05.852369,0.25004,20.51,N,0,41.357,,,,,,,,,,,,,,,,,
1237662268074165316,228.155884,+05.800528,0.22745,19.35,N,0,157.223,,,,,,,,,,,,,,,,,
1237662268074165330,228.149139,+05.697135,0.29982,18.76,N,0,57.696,,,,,,,,,,,,,,,,,
1237662268074165339,228.167847,+05.881524,0.29751,20.72,N,0,71.796,,,,,,,,,,,,,,,,,
1237662268074165343,228.166970,+05.858522,0.49095,20.51,N,0,18.916,,,,,,,,,,,,,,,,,
1237662268074165366,228.174769,+05.872728,0.21860,20.05,N,0,46.516,,,,,,,,,,,,,,,,,
1237662268074165372,228.170730,+05.817056,0.14121,20.10,N,0,90.198,,,,,,,,,,,,,,,,,
1237662268074165383,228.177136,+05.819662,0.07719,20.38,Y,0,67.214,,,,,,,,,,,,,,,,,
