recno	Abell	RAJ2000	DEJ2000	VBCG	e_VBCG	VCl	e_VCl	SigCl	e_SigCl	Ng	AB	Notes	Alpha	Lm	Lm-2rm	Lm-4rm	Sigma	e_Sigma	rx	Xref	T6	Simbad
     158	1630	192.9729	+04.5796	 19355	  47	 19529	  71	  441	   53	  38	 0.159	             	 0.617	 -23.058	 -23.469	 -23.799	 316	 11	   157	R	T6	Simbad
     159	1631	193.3258	-15.5328	 14278	   3	 13830	  43	  753	   24	 305	 0.235	15K          	 0.665	 -23.083	 -23.519	 -23.884	 254	 23	      	 	T6	Simbad
     160	1644	194.2990	-17.4097	 14267	  49	 14120	  61	 1016	   49	 273	 0.309	15K          	 1.003	 -23.184	 -23.847	 -24.336	 212	 34	     2	C	T6	Simbad
     161	1648	194.7155	-26.6492	 23462	  53	 23182	 294	  721	  382	   6	 0.339	             	 0.483	 -23.004	 -23.402	 -23.713	 296	  8	      	 	T6	Simbad
     162	1656	195.0335	+27.9767	  6498	  10	  6960	  38	 1035	   25	 713	 0.035	N4889 15K    	 0.597	 -23.417	 -23.823	        	 386	  2	   256	R	T6	Simbad
     163	1691	197.7863	+39.2267	 21686	  16	 21723	  79	  784	   45	  97	 0.074	             	 0.799	 -23.236	 -23.752	 -24.132	 257	  3	    45	R	T6	Simbad
     164	1709	199.6266	-21.4416	 15429	  45	 15700	 114	  414	  173	  13	 0.585	             	 0.536	 -23.032	 -23.364	 -23.683	 283	  5	      	 	T6	Simbad
     165	1736	201.8668	-27.3243	 13608	  65	 13530	  95	 1127	   54	 139	 0.250	I4252 15K    	 0.591	 -23.503	 -23.897	 -24.248	 303	 11	   687	C	T6	Simbad
     166	1741	201.1101	+71.4055	 22650	  42	 22650	  42	     	     	   2	 0.064	             	 0.417	 -22.784	 -23.066	        	 265	 14	      	 	T6	Simbad
     167	1749	202.3377	+37.6227	 16881	   7	 16838	  94	  707	   66	  56	 0.047	I4269        	 0.557	 -23.168	 -23.569	 -23.894	 302	  7	    28	R	T6	Simbad
     168	1767	204.0354	+59.2061	 21194	 150	 21150	  78	  887	   31	 127	 0.047	             	 0.790	 -23.216	 -23.768	 -24.149	    	   	    25	R	T6	Simbad
     169	1773	205.5404	+02.2270	 23232	   6	 23257	  84	  839	   59	  98	 0.124	             	 0.585	 -22.972	 -23.391	 -23.834	 383	 21	    72	R	T6	Simbad
     170	1775	205.4551	+26.3736	 22616	  39	 22581	  64	  568	   60	  77	 0.050	U08669       	 0.715	 -23.208	 -23.706	 -24.080	 285	 20	    48	R	T6	Simbad
     171	1780	206.1360	+02.9538	 23259	  42	 23276	  74	  590	   44	  62	 0.114	             	 0.469	 -22.913	 -23.210	 -23.257	 259	 12	   461	R	T6	Simbad
     172	1795	207.2191	+26.5927	 19019	  92	 18797	  64	  861	   56	 177	 0.055	             	 0.783	 -22.984	 -23.556	 -24.030	    	   	    12	C	T6	Simbad
     173	1800	207.3484	+28.1070	 22554	  42	 22590	  84	  767	  190	  82	 0.066	U08738       	 0.940	 -23.315	 -23.924	 -24.350	 324	 17	    83	R	T6	Simbad
     174	1809	208.2769	+05.1494	 23618	  40	 23822	  71	  745	   30	 110	 0.112	             	 0.610	 -23.432	 -23.864	 -24.265	    	   	    47	R	T6	Simbad
     175	1825	209.5019	+20.6318	 18050	  10	 18919	 154	 1024	    0	  44	 0.136	U08888       	 0.565	 -22.848	 -23.238	 -23.530	    	   	      	 	T6	Simbad
     176	1827	209.5256	+21.6722	 19917	  39	 19743	  49	  282	   76	  32	 0.136	             	 0.463	 -22.917	 -23.205	        	 300	 11	      	 	T6	Simbad
     177	1828	209.5617	+18.3459	 18830	  20	 18736	  94	  388	   84	  17	 0.124	             	 0.342	 -22.628	 -22.845	        	    	   	      	 	T6	Simbad
     178	1831	209.8131	+27.9760	 22777	  41	 22644	 111	 1176	  118	 112	 0.083	             	 0.792	 -23.337	 -23.886	 -24.318	 331	 12	    51	R	T6	Simbad
     179	1836	210.4243	-11.6063	 11231	  68	 11275	  48	  354	   37	  54	 0.277	15K          	 0.603	 -23.160	 -23.539	 -23.811	 286	 16	      	 	T6	Simbad
     180	1873	212.8771	+28.1707	 22983	  44	 22594	 169	  656	    0	  15	 0.085	             	 0.451	 -22.287	 -22.599	        	 317	 13	    79	R	T6	Simbad
     181	1890	214.4077	+08.1792	 17569	  16	 17294	  61	  550	   59	  80	 0.147	N5539        	 0.674	 -23.382	 -23.838	 -24.164	 335	  4	   236	R	T6	Simbad
     182	1898	215.1374	+25.3439	 23695	  24	 23589	  74	  419	  111	  32	 0.090	             	 0.623	 -22.820	 -23.245	 -23.564	    	   	  1155	R	T6	Simbad
     183	1899	215.4241	+17.7520	 16445	  39	 15796	  89	  646	    0	  52	 0.112	             	 0.481	 -22.698	 -22.986	 -23.168	 262	 13	      	 	T6	Simbad
     184	1904	215.5429	+48.5701	 21555	   0	 21533	  66	  772	   31	 134	 0.090	             	 0.682	 -23.262	 -23.729	 -24.069	    	   	   289	R	T6	Simbad
     185	1913	216.8215	+16.8307	 15452	  39	 15944	  60	  636	  130	 111	 0.106	I4426        	 0.459	 -22.928	 -23.223	        	 248	 15	   896	R	T6	Simbad
     186	1964	221.6482	-08.7685	 21313	  44	 21313	  44	     	     	   2	 0.364	             	 0.560	 -22.788	 -23.225	 -23.647	 313	 12	      	 	T6	Simbad
     187	1982	222.8104	+30.6919	 16494	  62	 16775	 241	 1325	    0	  30	 0.088	             	 0.644	 -22.823	 -23.249	 -23.541	    	   	      	 	T6	Simbad
     188	1983	223.1802	+16.9036	 13829	  39	 13499	  48	  541	   27	 122	 0.114	15K          	 0.367	 -22.736	 -22.953	        	 304	  6	   653	R	T6	Simbad
     189	1991	223.6314	+18.6420	 17752	  14	 17538	  69	  604	   57	  76	 0.144	N5778        	 0.822	 -22.967	 -23.537	 -23.937	 269	  5	    11	C	T6	Simbad
     190	2022	226.0664	+28.4963	 16938	   0	 17354	  68	  607	   74	  79	 0.120	             	 0.644	 -23.035	 -23.504	 -23.934	    	   	    61	R	T6	Simbad
     191	2028	227.3677	+07.5563	 23148	  35	 23213	  89	  658	   57	  54	 0.149	             	 0.655	 -23.221	 -23.663	 -24.028	    	   	      	 	T6	Simbad
     192	2029	227.7337	+05.7444	 23401	   9	 23186	 124	 1222	   75	  97	 0.170	I1101        	 0.935	 -23.731	 -24.385	 -24.924	 386	  2	     1	C	T6	Simbad
     193	2040	228.1989	+07.4339	 13734	  47	 13530	  52	  567	   39	 119	 0.186	U09767 15K   	 0.678	 -22.542	 -23.113	 -23.556	 246	 15	    39	R	T6	Simbad
     194	2052	229.1856	+07.0213	 10314	  14	 10406	  65	  681	   41	 109	 0.160	U09799 15K   	 0.855	 -22.946	 -23.534	 -23.991	 203	 20	     0	C	T6	Simbad
     195	2061	230.3360	+30.6706	 23706	  34	 23436	  66	  851	   28	 166	 0.091	             	 0.554	 -23.383	 -23.775	 -24.147	    	   	   176	R	T6	Simbad
     196	2063	230.7728	+08.6092	 10269	  36	 10474	  78	  930	   57	 141	 0.147	15K          	 0.776	 -22.753	 -23.248	 -23.576	 198	 19	    11	C	T6	Simbad
     197	2065	230.6005	+27.7141	 20740	  15	 21667	 109	 1286	  140	 137	 0.174	             	 0.623	 -22.737	 -23.149	        	 265	  1	   105	C	T6	Simbad
     198	2067	230.7852	+30.8771	 22061	  54	 22346	  69	  621	   31	  80	 0.093	             	 0.759	 -22.552	 -23.059	        	    	   	    40	R	T6	Simbad
     199	2079	231.9383	+28.9286	 19616	  33	 19828	  68	  676	   41	  97	 0.096	U09861       	 0.775	 -23.247	 -23.807	 -24.410	 289	  6	   158	R	T6	Simbad
     200	2089	233.2082	+28.0392	 22073	  21	 22072	  80	  593	   57	  55	 0.123	             	 0.582	 -23.173	 -23.584	 -23.943	 330	  7	      	 	T6	Simbad
     201	2092	233.3144	+31.1446	 20410	  45	 19979	  53	  470	   49	  77	 0.110	             	 0.631	 -22.380	 -22.833	        	    	   	   132	R	T6	Simbad
     202	2107	234.9127	+21.7821	 12611	  60	 12429	  66	  629	   46	  90	 0.247	U09958 15K   	 0.741	 -23.231	 -23.736	 -24.117	 308	 12	     1	C	T6	Simbad
     203	2147	240.5710	+15.9743	 10617	  42	 10978	  54	 1033	   33	 359	 0.139	U10143 15K   	 0.694	 -22.850	 -23.303	 -23.734	 280	 10	     0	C	T6	Simbad
     204	2151	241.1490	+17.7217	 10552	  23	 10937	  46	  842	   30	 335	 0.205	N6041A 15K   	 0.750	 -22.813	 -23.318	 -23.634	 299	  5	     1	C	T6	Simbad
     205	2152	241.3720	+16.4364	 13249	  59	 13243	  50	  456	   62	  81	 0.172	U10187 15K   	 0.412	 -22.786	 -23.037	 -23.154	 282	 10	    63	R	T6	Simbad
     206	2162	243.1489	+29.4843	  9581	   5	  9679	  57	  435	   37	  57	 0.161	N6086 15K    	 0.493	 -22.996	 -23.349	        	 303	 17	    49	R	T6	Simbad
     207	2184	245.2711	+50.2223	 16017	   6	 16361	 124	  634	  357	  26	 0.092	             	 0.353	 -22.253	 -22.457	        	 247	  8	      	 	T6	Simbad
     208	2197	247.4377	+40.8118	  8825	   8	  9093	  41	  615	   21	 216	 0.031	N6173 15K    	 0.574	 -23.356	 -23.742	 -24.034	 276	  2	   886	R	T6	Simbad
     209	2198	246.9807	+43.9480	 17485	  32	 17581	  69	  208	   60	   9	 0.031	             	 0.292	 -22.002	 -22.136	        	 209	 20	      	 	T6	Simbad
     210	2199	247.1602	+39.5508	  9317	  10	  9088	  38	  819	   32	 454	 0.050	N6166 15K    	 0.760	 -23.135	 -23.646	 -24.053	 297	  5	     1	C	T6	Simbad
     211	2241	254.7856	+32.5005	 18467	  60	 18573	  57	  275	   42	  23	 0.130	             	 0.574	 -22.495	 -22.838	        	    	   	      	 	T6	Simbad
     212	2247	253.2003	+81.6328	 11135	  18	 11583	  75	  353	   59	  22	 0.274	U10638 15K   	 0.367	 -22.590	 -22.819	        	 257	 14	      	 	T6	Simbad
     213	2248	254.7646	+77.0476	 19481	  60	 19128	 306	 1224	 1758	  16	 0.168	             	 0.469	 -22.747	 -23.054	        	    	   	   424	R	T6	Simbad
     214	2250	257.7555	+39.6903	 19721	  40	 19416	 160	  699	    0	  19	 0.186	             	 0.544	 -22.699	 -23.121	 -23.560	 297	 15	      	 	T6	Simbad
     215	2256	256.1144	+78.6401	 17808	  53	 17461	  75	 1301	   42	 299	 0.227	U10726       	 0.737	 -23.205	 -23.675	 -24.000	    	   	   143	C	T6	Simbad
     216	2271	259.5696	+78.0182	 16962	  45	 17133	 162	  538	  135	  11	 0.183	             	 0.783	 -23.042	 -23.576	 -23.942	 289	 14	    17	R	T6	Simbad
     217	2293	270.5712	+57.5480	 21151	  35	 20782	 337	  754	    0	   5	 0.225	             	 0.510	 -22.722	 -23.070	        	 222	 17	      	 	T6	Simbad
     218	2308	278.5358	+70.9552	 23970	  39	 23970	  39	     	     	   2	 0.287	             	 0.657	 -22.962	 -23.390	 -23.693	 269	 15	      	 	T6	Simbad
     219	2309	279.7795	+77.8395	 15393	  49	 15393	  49	     	     	   3	 0.318	             	 0.571	 -22.817	 -23.203	        	 298	 13	      	 	T6	Simbad
     220	2325	307.5258	-24.9837	 24129	  51	 24154	 146	  293	    0	   4	 0.225	             	 0.517	 -22.760	 -23.055	        	 253	 10	      	 	T6	Simbad
     221	2331	314.5507	-07.7599	 23681	  44	 24092	 141	  788	  101	  31	 0.348	             	 0.810	 -22.803	 -23.349	 -23.798	 253	 16	   246	R	T6	Simbad
     222	2361	324.7629	-14.3646	 17987	  54	 18260	  46	  313	   36	  46	 0.231	             	 0.368	 -22.836	 -23.088	        	    	   	      	 	T6	Simbad
     223	2362	325.0611	-14.2315	 18379	  35	 18238	  47	  321	   39	  45	 0.242	             	 0.480	 -23.090	 -23.416	        	 307	 12	      	 	T6	Simbad
     224	2366	325.7031	-06.8687	 16130	  31	 15908	  69	  540	   49	  61	 0.189	             	 0.554	 -23.095	 -23.501	        	 279	 10	   175	R	T6	Simbad
     225	2370	326.0999	-19.4410	 17728	  36	 17783	 281	  744	  260	   7	 0.158	             	 0.257	 -21.729	        	        	 240	 22	      	 	T6	Simbad
     226	2372	326.3148	-19.9947	 17623	  39	 17857	 231	  612	  183	   7	 0.154	             	 0.497	 -22.920	 -23.245	 -23.508	 267	 13	      	 	T6	Simbad
     227	2382	327.9820	-15.7063	 19704	  40	 19170	  66	  900	   81	 184	 0.248	             	 0.794	 -22.854	 -23.402	        	 243	 13	    93	R	T6	Simbad
     228	2383	327.8515	-21.0779	 17224	  54	 17252	  33	   75	  162	   5	 0.164	             	 0.271	 -22.081	 -22.257	        	    	   	      	 	T6	Simbad
     229	2388	328.4138	+08.2524	 18202	  36	 18202	  36	     	     	   1	 0.209	             	 0.581	 -22.515	 -22.910	        	 215	 27	      	 	T6	Simbad
     230	2399	329.2572	-07.8397	 18630	  35	 17370	  51	  713	   27	 190	 0.168	             	 0.516	 -22.832	 -23.154	        	 276	 19	   193	R	T6	Simbad
     231	2401	329.5939	-20.1046	 17379	  48	 17164	  83	  470	   62	  32	 0.126	             	 0.574	 -23.079	 -23.457	        	 304	 12	    58	R	T6	Simbad
     232	2405	329.9260	-17.8009	 10961	  41	 11045	  78	  234	   47	   9	 0.179	             	 0.330	 -22.416	 -22.645	        	 254	 11	      	 	T6	Simbad
     233	2412	331.0102	-21.4482	 21963	  42	 21620	 370	 1282	  281	  12	 0.161	             	 0.422	 -22.730	 -23.111	        	 269	 13	   314	R	T6	Simbad
     234	2415	331.3591	-05.7424	 17007	  31	 17291	  70	  722	  202	 105	 0.286	             	 0.543	 -22.934	 -23.277	 -23.578	 283	  9	   600	R	T6	Simbad
     235	2457	338.9204	+01.4845	 17602	  43	 17608	  67	  642	   53	  91	 0.363	             	 0.617	 -23.226	 -23.641	 -23.977	 327	 14	    21	R	T6	Simbad
     236	2459	339.1904	-15.7347	 21822	  42	 21898	 234	  620	  218	   7	 0.225	             	 0.397	 -22.817	 -23.051	        	 276	 13	      	 	T6	Simbad
     237	2462	339.7976	-17.3413	 22281	  53	 22235	  96	  702	   67	  53	 0.153	             	 0.567	 -23.133	 -23.556	 -23.932	 349	  9	     1	C	T6	Simbad
     238	2469	340.1448	+12.3115	 18918	  40	 18918	  40	     	     	   2	 0.213	             	 0.428	 -22.436	 -22.669	        	 221	 20	      	 	T6	Simbad
     239	2480	341.4961	-17.6258	 20450	  41	 21640	 237	  823	  187	  12	 0.123	             	 0.472	 -23.176	 -23.488	 -23.752	 305	 13	      	 	T6	Simbad
     240	2492	342.6269	-19.2430	 20728	  39	 20968	 233	  739	  336	  10	 0.123	             	 0.569	 -22.891	 -23.267	        	 287	 11	   125	R	T6	Simbad
     241	2495	342.5824	+10.9033	 23895	  45	 23744	 212	  638	  188	   9	 0.329	             	 0.920	 -22.833	 -23.510	 -24.054	 258	 15	      	 	T6	Simbad
     242	2511	344.7129	-07.5828	 23078	  51	 23359	 238	  534	  816	   5	 0.192	             	 0.377	 -22.499	 -22.723	        	 258	 19	      	 	T6	Simbad
     243	2524	345.7331	+17.7498	 24304	  33	 23902	 173	  627	  175	  13	 0.400	             	 0.595	 -23.103	 -23.489	 -23.823	    	   	      	 	T6	Simbad
     244	2525	346.0086	-10.7519	 23554	  47	 23568	  81	  425	   48	  27	 0.167	             	 0.535	 -22.579	 -22.945	        	 301	 11	      	 	T6	Simbad
     245	2558	348.1816	+10.3619	 19450	  38	 19450	  38	     	     	   2	 0.188	             	 0.546	 -22.554	 -22.942	        	 270	 14	      	 	T6	Simbad
     246	2559	348.2615	-13.6233	 23770	  44	 23749	  57	  163	   75	   8	 0.140	             	 0.801	 -23.070	 -23.603	 -23.984	 276	 16	      	 	T6	Simbad
     247	2572	349.3064	+18.7078	 12175	  61	 11638	  62	  593	   36	  90	 0.222	N7578B 15K   	 0.540	 -22.785	 -23.238	        	 323	  8	    57	R	T6	Simbad
     248	2589	350.9898	+16.7766	 12442	  57	 12394	  84	  872	   60	 107	 0.129	N7647 15K    	 0.755	 -22.886	 -23.403	 -23.828	 289	  9	     3	C	T6	Simbad
     249	2593	351.0840	+14.6473	 12507	  28	 12532	  43	  644	   23	 217	 0.188	N7649 15K    	 0.795	 -22.828	 -23.315	        	 248	  7	    10	R	T6	Simbad
     250	2618	353.5233	+22.9830	 21036	  36	 21036	  36	     	     	   2	 0.343	             	 0.648	 -23.330	 -23.772	 -24.137	 304	 11	      	 	T6	Simbad
     251	2622	353.7563	+27.3719	 18417	  38	 18296	 114	  860	  121	  56	 0.246	             	 0.640	 -22.956	 -23.369	 -23.624	 295	 16	    55	R	T6	Simbad
     252	2625	354.4560	+20.8091	 17200	  46	 18063	 235	 1506	  171	  41	 0.295	             	 0.452	 -22.963	 -23.263	        	 269	 15	  2065	R	T6	Simbad
     253	2626	354.1276	+21.1466	 16559	  38	 16505	  73	  648	   53	  78	 0.270	I5338        	 0.856	 -22.971	 -23.501	 -23.784	 278	 18	     2	C	T6	Simbad
     254	2630	354.5735	+15.6689	 19788	  39	 20087	  68	  420	 1336	  38	 0.265	             	 0.489	 -22.965	 -23.260	        	 273	 20	      	 	T6	Simbad
     255	2634	354.6227	+27.0305	  9105	  44	  9343	  66	  919	   45	 193	 0.303	N7720 15K    	 0.627	 -23.097	 -23.553	 -23.869	 366	  8	    24	R	T6	Simbad
     256	2637	354.7225	+21.4644	 21283	  37	 21104	  90	  361	   59	  16	 0.187	             	 0.494	 -23.199	 -23.512	 -23.768	 285	 15	   177	R	T6	Simbad
     257	2644	355.2803	+00.0949	 20599	  33	 20684	 205	  943	   50	  21	 0.127	             	 0.500	 -22.756	 -23.070	 -23.283	 303	 12	    78	R	T6	Simbad
     258	2656	356.1805	-04.0123	 23034	  41	 22926	 262	  695	  280	   7	 0.165	             	 0.772	 -22.861	 -23.344	 -23.627	 286	 12	      	 	T6	Simbad
     259	2657	356.1270	+09.2643	 12296	  59	 12019	 105	  807	   52	  59	 0.546	15K          	 0.336	 -22.408	 -22.605	        	 206	 16	   376	C	T6	Simbad
     260	2660	356.3166	-25.8358	 16398	  59	 15953	 107	  870	   71	  65	 0.088	E537-G005    	 0.553	 -22.649	 -23.021	        	 225	 17	   154	R	T6	Simbad
     261	2665	357.7109	+06.1492	 16840	  57	 16840	  57	     	     	   3	 0.345	             	 0.804	 -23.137	 -23.669	 -24.100	 285	 24	      	 	T6	Simbad
     262	2666	357.7444	+27.1466	  8165	  43	  8240	  66	  377	   47	  32	 0.168	N7768 15K    	 0.547	 -23.054	 -23.389	 -23.726	 292	  8	    65	R	T6	Simbad
     263	2670	358.5570	-10.4193	 23290	  51	 22870	  66	  963	   34	 208	 0.187	             	 0.686	 -23.342	 -23.848	 -24.250	 299	  7	    68	R	T6	Simbad
     264	2675	358.9278	+11.3429	 22168	  44	 21559	 117	  372	  156	  10	 0.362	             	 0.572	 -22.889	 -23.263	 -23.555	 256	 22	   176	R	T6	Simbad
     265	2678	359.0014	+11.7238	 21475	  41	 21552	 108	  361	  156	  11	 0.347	             	 0.487	 -22.682	 -22.982	        	 285	 18	      	 	T6	Simbad
     266	2716	000.7546	-27.1355	 20134	  78	 19905	  91	  683	   58	  56	 0.072	             	 0.323	 -22.786	 -22.995	 -23.158	 451	 10	      	 	T6	Simbad
     267	2717	000.8032	-35.9380	 14853	  34	 14814	  60	  568	   40	  89	 0.045	E349-G022 15K	 0.908	 -22.667	 -23.344	 -23.886	 235	 10	    16	C	T6	Simbad
     268	2731	002.4960	-57.0216	  9434	  33	  9236	  86	  564	   76	  43	 0.064	N0025 15K    	 0.510	 -22.790	 -23.151	        	 291	  6	      	 	T6	Simbad
     269	2734	002.8406	-28.8548	 18456	  39	 18461	  68	  843	   49	 151	 0.072	E409-G025    	 0.864	 -22.893	 -23.454	 -23.884	 236	 15	    44	R	T6	Simbad
     270	2764	005.1489	-49.2132	 21424	  55	 21370	 177	  924	  119	  27	 0.073	E194-G006    	 0.528	 -23.223	 -23.558	 -23.779	 357	  6	      	 	T6	Simbad
     271	2771	006.1340	-40.1253	 20839	  40	 20984	  56	  285	   46	  26	 0.039	             	 0.563	 -22.862	 -23.261	 -23.652	 263	  5	      	 	T6	Simbad
     272	2793	008.4373	-82.6024	 17498	  23	 17498	  23	     	     	   2	 0.691	             	 0.304	 -22.210	        	        	 301	 10	      	 	T6	Simbad
     273	2799	009.3651	-39.1301	 19015	  23	 19042	  58	  475	   40	  67	 0.056	             	 0.533	 -22.619	 -22.930	 -23.060	 271	 13	      	 	T6	Simbad
     274	2800	009.4902	-25.0741	 18999	  24	 18948	  48	  397	   29	  66	 0.066	             	 0.503	 -22.954	        	        	 271	 10	      	 	T6	Simbad
     275	2806	010.2020	-56.2148	  8188	  37	  8291	  67	  435	   78	  42	 0.065	N0215 15K    	 0.351	 -22.664	 -22.885	        	 285	  9	      	 	T6	Simbad
     276	2810	010.3740	-61.0817	 17138	  26	 17221	 113	  321	    0	   8	 0.060	             	 0.451	 -22.553	 -22.845	 -22.998	 265	 12	      	 	T6	Simbad
     277	2819	011.5212	-63.5555	 22369	  49	 22396	  64	  445	   46	  48	 0.100	             	 0.297	 -22.930	 -23.142	        	 274	  7	      	 	T6	Simbad
     278	2824	012.1252	-21.3606	 18382	  39	 18131	  94	  311	  104	  11	 0.070	             	 0.437	 -22.638	 -22.895	        	 250	 13	      	 	T6	Simbad
     279	2836	013.2174	-47.6247	 23684	   0	 23684	   0	     	     	   2	 0.067	             	 0.325	 -22.409	 -22.596	        	    	   	      	 	T6	Simbad
     280	2841	013.7691	-48.9383	 19342	  28	 19360	  19	   38	  850	   4	 0.045	             	 0.554	 -22.952	 -23.333	        	 265	 10	      	 	T6	Simbad
     281	2854	015.1947	-50.5350	 18209	  27	 18541	  63	  397	   45	  39	 0.062	E195-G022    	 0.659	 -22.402	 -22.879	        	 256	 10	      	 	T6	Simbad
     282	2859	015.5518	-67.5813	 19491	  43	 19825	   9	   21	    0	   5	 0.078	             	 0.486	 -22.657	        	        	 283	  6	      	 	T6	Simbad
     283	2864	016.0347	-66.9799	 20948	  47	 20948	  47	     	     	   3	 0.086	             	 0.488	 -22.325	 -22.645	 -22.920	 240	  6	      	 	T6	Simbad
     284	2870	016.9243	-46.9087	  6728	  45	  6744	 170	 1165	   46	  47	 0.058	I1625 15K    	 0.590	 -22.736	 -23.129	 -23.396	 292	 16	      	 	T6	Simbad
     285	2877	017.4784	-45.9326	  7216	  19	  7335	  98	  991	   63	 102	 0.051	I1633 15K    	 0.594	 -23.518	 -23.939	        	 360	 46	    69	R	T6	Simbad
     286	2881	017.8089	-17.0707	 13208	  57	 13674	 377	 1510	  202	  16	 0.086	15K          	 0.390	 -22.292	 -22.530	        	 223	  3	      	 	T6	Simbad
     287	2896	019.5775	-37.1047	  9473	  28	  9923	 351	  995	  537	   8	 0.077	E352-G038 15K	 0.353	 -22.548	        	        	 238	  7	      	 	T6	Simbad
     288	2923	023.0894	-31.0925	 21376	  37	 21395	  70	  377	   50	  29	 0.089	             	 0.533	 -23.048	 -23.352	 -23.542	 274	  5	      	 	T6	Simbad
     289	2954	028.9372	-71.4585	 16943	  87	 16975	  29	   71	   43	   6	 0.141	             	 0.163	 -21.906	 -22.030	        	    	   	      	 	T6	Simbad
     290	2992	033.7125	-26.6601	 17389	  21	 17259	  79	  463	   46	  34	 0.060	             	 0.340	 -22.569	 -22.799	 -23.046	 257	  7	      	 	T6	Simbad
     291	3004	034.7164	-47.9995	 19866	  20	 19686	 188	  625	  192	  11	 0.107	             	 0.521	 -22.728	 -23.073	        	 223	  8	      	 	T6	Simbad
     292	3009	035.5305	-48.5645	 19754	  26	 19731	 189	  846	  170	  20	 0.071	             	 0.712	 -23.151	 -23.608	 -23.892	 249	 13	      	 	T6	Simbad
     293	3027	037.4830	-33.1779	 23761	  38	 23020	  91	  909	   40	  99	 0.097	             	 0.622	 -22.752	 -23.191	 -23.561	 237	  6	      	 	T6	Simbad
     294	3045	040.9220	-51.4615	 22623	  41	 22569	 274	  727	  419	   7	 0.116	             	 0.463	 -22.807	 -23.132	        	 258	  9	      	 	T6	Simbad
     295	3074	044.5472	-52.7287	 21790	  44	 21578	 113	  299	  107	   7	 0.084	             	 0.732	 -23.134	 -23.612	        	 275	  6	      	 	T6	Simbad
     296	3078	045.1065	-51.8475	 21771	  28	 21836	  78	  500	   55	  41	 0.085	             	 0.697	 -23.015	 -23.460	 -23.756	 251	 13	      	 	T6	Simbad
     297	3089	047.0707	-36.7088	 19524	  33	 19915	 122	  691	  105	  32	 0.089	             	 0.524	 -22.563	 -22.843	        	 227	  7	      	 	T6	Simbad
     298	3094	047.8544	-26.9315	 20577	  31	 20269	  71	  762	   47	 115	 0.071	E481-G006    	 0.571	 -22.914	 -23.258	 -23.452	 266	 11	      	 	T6	Simbad
     299	3095	048.1109	-27.1403	 19468	  41	 19803	  90	  607	   50	  45	 0.093	E481-G012    	 0.405	 -22.900	 -23.139	        	 303	  6	      	 	T6	Simbad
     300	3098	048.4314	-38.3037	 23895	  33	 24482	 160	  679	   38	  18	 0.078	E300-G019    	 0.704	 -22.837	 -23.314	 -23.692	 249	 17	      	 	T6	Simbad
     301	3100	048.4702	-47.7930	 18642	 230	 18910	  87	  338	   55	  15	 0.076	             	 0.533	 -22.485	 -22.833	 -23.093	 208	 13	      	 	T6	Simbad
     302	3104	048.5910	-45.4206	 21791	  35	 21778	  84	  618	   57	  53	 0.100	             	 0.692	 -22.887	 -23.420	 -23.807	 305	 10	    18	R	T6	Simbad
     303	3106	048.6246	-58.0968	 19523	  38	 19461	 112	  355	  104	  10	 0.116	E116-G013    	 0.778	 -22.780	 -23.364	 -23.859	 242	  5	      	 	T6	Simbad
     304	3107	049.0260	-42.7534	 19833	  26	 19534	 124	  483	   97	  15	 0.070	             	 0.498	 -22.232	 -22.619	        	 240	 14	      	 	T6	Simbad
     305	3109	049.1643	-43.8547	 18608	  32	 19372	 261	 1045	  195	  16	 0.061	             	 0.601	 -23.083	 -23.472	 -23.709	 263	 10	      	 	T6	Simbad
     306	3110	049.0517	-50.9534	 22249	  33	 22890	 270	  975	  148	  13	 0.111	             	 0.537	 -23.424	 -23.761	 -23.960	 324	  9	      	 	T6	Simbad
     307	3111	049.4382	-45.7557	 23044	  47	 23201	 131	  839	   93	  41	 0.123	             	 0.717	 -23.063	 -23.562	 -23.948	 311	 13	      	 	T6	Simbad
     308	3112	049.4905	-44.2382	 22777	  56	 22540	 104	  919	   71	  78	 0.052	E248-G006    	 0.798	 -23.161	 -23.718	 -24.157	 299	 12	     0	C	T6	Simbad
     309	3120	050.4853	-51.3268	 21413	  44	 20543	 444	 1332	  469	   9	 0.095	             	 0.744	 -22.797	 -23.312	 -23.704	 270	  7	      	 	T6	Simbad
     310	3122	050.5760	-41.3282	 20130	  45	 19137	  83	  869	   59	 108	 0.075	             	 0.553	 -23.024	 -23.396	 -23.720	 298	  5	      	 	T6	Simbad
     311	3123	050.7284	-52.0303	 18278	  48	 18409	 110	  480	  173	  19	 0.072	             	 0.443	 -22.800	 -23.092	        	 345	  5	      	 	T6	Simbad
     312	3125	051.9783	-53.3717	 17444	  37	 18189	  61	  614	   17	 101	 0.068	             	 0.433	 -22.651	 -22.905	 -23.085	 221	  4	      	 	T6	Simbad
     313	3128	052.6601	-52.6201	 17693	  39	 18030	  48	  892	   42	 341	 0.070	             	 0.578	 -23.121	 -23.507	 -23.766	 269	  5	   404	R	T6	Simbad
     314	3133	053.0252	-45.9300	 21377	  67	 21014	 194	  726	  166	  14	 0.042	             	 0.478	 -21.887	 -22.186	 -22.446	 210	 13	      	 	T6	Simbad
