recno	Name	mue	re	n	mu0	r0	MAGS	MAGexp	MAGtot	S/e	alpha	elli	ello	PAi	PAo	MAGM	Simbad	NED	_RA	_DE
     152	A1452	23.87	 34.05	 6.85	     	     	-24.34	      	-24.34	     	 0.66	 0.08	 0.12	 48.0	  52.9	-22.80	Simbad	NED	180.825	+51.749
     153	A1474	19.71	  1.74	 1.10	19.63	 7.40	-21.20	-23.67	-23.78	 0.10	 0.67	 0.51	 0.58	-12.1	 -10.0	-22.57	Simbad	NED	181.996	+15.000
     154	A1507	20.54	  4.45	 3.45	21.48	15.60	-22.88	-23.34	-23.89	 0.65	 0.70	 0.20	 0.29	 48.0	  44.1	-22.82	Simbad	NED	183.960	+59.972
     155	A1520	22.35	 16.82	 5.85	22.29	34.30	-24.23	-24.25	-24.99	 0.98	 0.75	 0.16	 0.33	-17.7	 -32.1	-23.26	Simbad	NED	184.875	-13.200
     156	A1526	22.00	  9.05	 5.92	     	     	-23.29	      	-23.29	     	 0.49	 0.12	 0.29	-88.4	 -54.0	-22.39	Simbad	NED	185.458	+13.739
     157	A1534	20.75	  6.44	 3.46	22.32	20.90	-23.50	-23.17	-24.10	 1.35	 0.65	 0.20	 0.18	-48.9	 -52.9	-23.01	Simbad	NED	186.012	+61.507
     158	A1569	19.78	  3.06	 3.17	20.37	11.00	-22.85	-23.77	-24.16	 0.43	 0.78	 0.24	 0.14	-74.2	 -71.1	-23.19	Simbad	NED	189.100	+16.528
     159	A1589	24.90	 76.44	 8.20	     	     	-25.19	      	-25.19	     	 0.73	 0.25	 0.41	 73.4	  65.8	-23.21	Simbad	NED	190.330	+18.571
     160	A1610	20.83	  6.07	 5.15	22.38	19.50	-23.46	-22.92	-23.98	 1.65	 0.55	 0.09	 0.25	-85.0	 -68.0	-23.01	Simbad	NED	191.783	+30.027
     161	A1630	20.07	  4.01	 1.44	21.70	21.10	-22.66	-23.76	-24.10	 0.36	 0.61	 0.23	 0.37	 83.1	  86.4	-22.85	Simbad	NED	192.994	+04.568
     162	A1631	15.76	  0.36	 2.89	22.56	 4.50	-22.00	-19.48	-22.10	10.17	 0.67	 0.12	 0.12	 19.0	  18.6	-21.75	Simbad	NED	193.211	-15.427
     163	A1644	23.78	 67.02	 3.08	     	     	-25.38	      	-25.38	     	 1.02	 0.24	 0.48	 47.4	  42.8	-23.00	Simbad	NED	194.312	-17.354
     164	A1648	20.47	  4.95	 0.96	21.81	24.20	-22.58	-24.01	-24.27	 0.27	 0.52	 0.32	 0.41	 59.4	  55.1	-22.78	Simbad	NED	194.750	-26.620
     165	A1691	22.55	 22.89	 2.99	     	     	-24.39	      	-24.39	     	 0.92	 0.18	 0.07	-34.3	 -14.1	-23.16	Simbad	NED	197.796	+39.277
     166	A1709	23.08	 17.18	 6.80	     	     	-23.57	      	-23.57	     	 0.55	 0.08	 0.16	-53.0	 -20.1	-22.63	Simbad	NED	199.675	-21.463
     167	A1736	23.34	 39.24	 6.21	     	     	-25.00	      	-25.00	     	 0.58	 0.33	 0.43	-44.4	 -45.1	-23.26	Simbad	NED	201.717	-27.109
     168	A1741	21.56	  7.88	 6.58	     	     	-23.49	      	-23.49	     	 0.48	 0.16	 0.11	-34.9	 -39.2	-22.69	Simbad	NED	201.017	+71.473
     169	A1749	20.41	  5.81	 3.27	22.04	22.40	-23.53	-23.54	-24.29	 0.99	 0.59	 0.25	 0.22	-85.8	 -76.0	-23.10	Simbad	NED	202.383	+37.625
     170	A1767	25.23	101.01	 6.02	     	     	-25.30	      	-25.30	     	 0.81	 0.09	 0.39	-47.5	  -3.6	-23.16	Simbad	NED	204.035	+59.206
     171	A1773	21.22	  7.12	 5.62	21.18	27.70	-23.52	-24.93	-25.19	 0.27	 0.65	 0.27	 0.07	 30.0	  12.5	-22.82	Simbad	NED	205.549	+02.224
     172	A1775	20.71	  5.77	 1.06	21.30	17.80	-22.70	-23.83	-24.16	 0.35	 0.85	 0.12	 0.16	-19.2	 -28.6	-23.00	Simbad	NED	205.482	+26.365
     173	A1780	22.04	 13.08	 3.40	     	     	-23.75	      	-23.75	     	 0.64	 0.29	 0.30	 83.4	  75.8	-22.70	Simbad	NED	206.176	+02.876
     174	A1795	20.94	  6.02	 1.88	21.70	27.50	-22.83	-24.37	-24.60	 0.24	 0.81	 0.10	 0.34	  9.5	  15.4	-22.94	Simbad	NED	207.252	+26.585
     175	A1800	22.88	 45.78	 2.38	     	     	-25.46	      	-25.46	     	 1.09	 0.39	 0.57	-18.6	 -22.2	-23.23	Simbad	NED	207.422	+28.069
     176	A1809	21.78	 12.38	 4.93	22.81	45.50	-24.07	-24.37	-24.98	 0.76	 0.69	 0.18	 0.33	 64.7	  54.7	-23.26	Simbad	NED	208.265	+05.138
     177	A1825	22.29	 10.97	 4.90	23.24	27.90	-23.26	-22.84	-23.82	 1.47	 0.63	 0.12	 0.23	-15.0	  -8.4	-22.60	Simbad	NED	209.508	+20.636
     178	A1827	22.01	 10.76	 6.06	     	     	-23.64	      	-23.64	     	 0.57	 0.15	 0.07	 36.0	  54.2	-22.77	Simbad	NED	209.558	+21.707
     179	A1828	21.04	  7.22	 2.53	     	     	-23.28	      	-23.28	     	 0.44	 0.36	 0.37	-33.6	 -28.7	-22.53	Simbad	NED	209.592	+18.390
     180	A1831	22.75	 18.26	 4.98	21.80	28.20	-23.99	-24.37	-24.95	 0.70	 0.86	 0.10	 0.41	-20.0	 -29.8	-23.23	Simbad	NED	209.792	+27.991
     181	A1836	23.22	 26.32	 5.24	     	     	-24.14	      	-24.14	     	 0.60	 0.09	 0.29	 48.6	  37.8	-22.91	Simbad	NED	210.417	-11.608
     182	A1873	20.62	  5.55	 2.30	22.40	22.50	-23.07	-23.23	-23.90	 0.87	 0.60	 0.13	 0.26	-80.8	 -87.1	-22.88	Simbad	NED	212.933	+28.148
     183	A1890	23.78	 49.81	 5.18	     	     	-25.08	      	-25.08	     	 0.76	 0.21	 0.34	 40.6	  42.9	-23.26	Simbad	NED	214.407	+08.180
     184	A1898	23.37	 18.80	 6.13	     	     	-23.54	      	-23.54	     	 0.60	 0.11	 0.17	  1.9	  21.2	-22.44	Simbad	NED	215.137	+25.155
     185	A1899	21.50	  9.54	 2.83	     	     	-23.41	      	-23.41	     	 0.58	 0.36	 0.33	-43.1	  82.3	-22.59	Simbad	NED	215.337	+17.688
     186	A1904	21.91	 12.00	 4.76	21.85	22.30	-23.88	-23.80	-24.59	 1.08	 0.76	 0.17	 0.35	 20.9	  44.4	-23.18	Simbad	NED	215.549	+48.569
     187	A1913	21.99	 10.73	 6.02	     	     	-23.55	      	-23.55	     	 0.56	 0.04	 0.00	 24.3	 -72.1	-22.76	Simbad	NED	216.716	+16.676
     188	A1964	19.74	  2.78	 5.29	22.10	23.00	-22.89	-23.58	-24.04	 0.53	 0.57	 0.16	 0.10	 14.6	 -24.2	-22.52	Simbad	NED	221.692	-08.775
     189	A1982	20.94	  5.80	 3.09	21.44	16.10	-22.96	-23.42	-23.96	 0.65	 0.67	 0.30	 0.40	 48.3	  46.9	-22.72	Simbad	NED	222.800	+30.728
     190	A1983	21.89	 11.28	 6.29	     	     	-23.76	      	-23.76	     	 0.34	 0.26	 0.29	 28.4	  26.9	-22.59	Simbad	NED	223.183	+16.746
     191	A1991	26.26	201.64	 6.41	     	     	-25.74	      	-25.74	     	 0.90	 0.18	 0.36	 15.6	   9.7	-22.86	Simbad	NED	223.626	+18.631
     192	A2020	19.37	  1.43	 4.08	19.76	 4.70	-21.59	-22.38	-22.81	 0.49	 0.46	 0.48	 0.44	-35.5	 -35.4	-21.96	Simbad	NED	225.875	+07.883
     193	A2022	19.94	  3.62	 3.55	21.98	22.70	-22.99	-23.61	-24.10	 0.57	 0.65	 0.12	 0.12	-34.2	 -56.8	-22.88	Simbad	NED	226.079	+28.423
     194	A2025	19.89	  4.84	 2.07	21.90	22.30	-23.61	-23.86	-24.49	 0.79	 0.56	 0.21	 0.06	-51.1	 -45.9	-23.44	Simbad	NED	226.675	+34.458
     195	A2028	21.57	 10.27	 3.32	22.78	35.40	-23.68	-23.86	-24.52	 0.84	 0.71	 0.20	 0.32	-81.1	 -81.4	-23.05	Simbad	NED	227.387	+07.527
     196	A2029	26.30	439.41	 5.78	     	     	-27.40	      	-27.40	     	 1.05	 0.26	 0.52	 20.5	  26.6	-23.58	Simbad	NED	227.745	+05.762
     197	A2040	20.57	  3.67	 5.21	21.94	26.20	-22.54	-23.90	-24.17	 0.28	 0.72	 0.12	 0.44	-55.2	 -55.8	-22.43	Simbad	NED	228.188	+07.430
     198	A2052	24.76	 73.57	 3.89	     	     	-24.58	      	-24.58	     	 0.88	 0.16	 0.35	 34.6	  35.5	-22.56	Simbad	NED	229.190	+07.000
     199	A2055	21.19	  5.15	 3.80	21.86	21.00	-22.51	-23.52	-23.88	 0.39	 0.42	 0.25	 0.35	-26.1	  27.1	-21.89	Simbad	NED	229.672	+06.211
     200	A2063	24.15	 44.25	 4.27	     	     	-24.21	      	-24.21	     	 0.80	 0.04	 0.38	 39.0	  29.1	-22.71	Simbad	NED	230.757	+08.639
     201	A2065	23.87	 27.62	 7.30	     	     	-23.90	      	-23.90	     	 0.67	 0.18	 0.09	  2.9	  11.1	-22.51	Simbad	NED	230.677	+27.722
     202	A2107	23.19	 35.86	 3.68	     	     	-24.64	      	-24.64	     	 0.79	 0.13	 0.26	-71.3	 -63.5	-23.09	Simbad	NED	234.950	+21.772
     203	A2143	21.06	  5.41	 6.21	21.87	15.10	-23.20	-22.99	-23.85	 1.21	 0.72	 0.06	 0.08	 21.1	  16.3	-22.84	Simbad	NED	239.504	+37.392
     204	A2147	22.28	 14.87	 3.23	23.15	78.10	-23.58	-25.04	-25.29	 0.26	 0.81	 0.23	 0.64	 12.8	  11.9	-22.68	Simbad	NED	240.572	+15.895
     205	A2152	21.86	  9.98	 6.45	     	     	-23.53	      	-23.53	     	 0.48	 0.07	 0.08	 16.4	 -70.5	-22.68	Simbad	NED	241.343	+16.449
     206	A2162	20.85	  7.19	 3.92	22.46	28.20	-23.40	-23.38	-24.14	 1.02	 0.57	 0.24	 0.36	  5.1	   1.0	-22.81	Simbad	NED	243.125	+29.540
     207	A2184	21.65	  7.05	 3.19	     	     	-22.66	      	-22.66	     	 0.49	 0.15	 0.26	-15.0	 -17.7	-22.17	Simbad	NED	245.258	+50.200
     208	A2197	19.25	  3.71	 1.54	20.32	13.50	-23.05	-23.88	-24.29	 0.47	 0.60	 0.29	 0.37	-39.7	 -35.3	-23.24	Simbad	NED	247.043	+40.907
     209	A2198	21.42	  5.64	 5.00	     	     	-22.66	      	-22.66	     	 0.42	 0.12	 0.20	 -8.2	  -3.6	-21.98	Simbad	NED	247.017	+43.823
     210	A2199	21.18	  7.95	 1.40	21.82	26.90	-22.76	-23.91	-24.23	 0.35	 0.81	 0.15	 0.36	 27.1	  33.3	-22.81	Simbad	NED	247.154	+39.524
     211	A2247	21.13	  6.67	 2.19	     	     	-22.73	      	-22.73	     	 0.41	 0.10	 0.23	 27.2	   3.4	-22.34	Simbad	NED	251.842	+81.567
     212	A2248	22.53	 13.34	 6.41	     	     	-23.56	      	-23.56	     	 0.56	 0.07	 0.19	 14.9	  13.0	-22.66	Simbad	NED	254.450	+77.017
     213	A2250	21.28	  7.12	 4.02	     	     	-23.22	      	-23.22	     	 0.44	 0.16	 0.10	-36.6	 -74.4	-22.59	Simbad	NED	257.750	+39.683
     214	A2256	20.84	  8.91	 1.87	     	     	-23.73	      	-23.73	     	 0.52	 0.35	 0.30	-80.6	 -76.1	-22.97	Simbad	NED	255.931	+78.717
     215	A2271	23.96	 52.68	 3.86	     	     	-24.86	      	-24.86	     	 0.90	 0.21	 0.37	-57.8	 -53.3	-22.94	Simbad	NED	259.323	+78.017
     216	A2293	23.19	 19.05	 5.99	     	     	-23.68	      	-23.68	     	 0.73	 0.26	 0.33	 76.8	  72.4	-22.61	Simbad	NED	270.325	+57.635
     217	A2296	19.63	  1.42	 4.35	21.02	 8.60	-21.31	-22.39	-22.73	 0.37	 0.60	 0.19	 0.40	 68.1	  72.4	-21.72	Simbad	NED	268.487	+77.678
     218	A2308	24.51	 44.68	 6.37	     	     	-24.28	      	-24.28	     	 0.74	 0.07	 0.26	 38.5	  17.9	-22.73	Simbad	NED	278.539	+70.958
     219	A2309	20.02	  3.49	 4.18	22.17	17.80	-22.88	-22.86	-23.62	 1.02	 0.57	 0.21	 0.22	-61.2	 -68.0	-22.67	Simbad	NED	280.512	+77.702
     220	A2319	25.16	 71.27	 5.00	21.19	17.60	-24.40	-23.83	-24.91	 1.69	 1.12	 0.15	 0.18	  4.4	  20.1	-22.99	Simbad	NED	290.189	+43.962
     221	A2331	22.07	  6.98	 5.18	21.67	17.50	-22.57	-23.44	-23.84	 0.45	 0.86	 0.06	 0.27	-86.3	  89.4	-22.59	Simbad	NED	314.542	-07.757
     222	A2361	22.83	 15.13	 7.14	     	     	-23.58	      	-23.58	     	 0.52	 0.07	 0.16	 50.6	  49.7	-22.67	Simbad	NED	324.779	-14.323
     223	A2362	22.52	 15.75	 6.13	     	     	-23.91	      	-23.91	     	 0.55	 0.15	 0.09	 68.6	  85.0	-23.01	Simbad	NED	325.179	-14.272
     224	A2366	19.64	  3.60	 1.64	21.32	16.50	-22.87	-23.56	-24.02	 0.53	 0.59	 0.14	 0.15	-30.6	 -21.7	-23.08	Simbad	NED	325.706	-06.854
     225	A2372	20.16	  4.35	 1.55	21.97	17.40	-22.75	-23.05	-23.66	 0.76	 0.58	 0.13	 0.29	  7.2	  -4.4	-22.81	Simbad	NED	326.270	-19.938
     226	A2381	17.19	  0.43	 4.10	20.31	 3.20	-20.86	-20.70	-21.54	 1.15	 0.22	 0.22	 0.35	  6.1	   4.8	-21.03	Simbad	NED	327.733	+02.285
     227	A2382	20.41	  3.97	 1.55	21.31	16.30	-22.33	-23.59	-23.89	 0.31	 0.82	 0.17	 0.10	  8.6	 -67.8	-22.76	Simbad	NED	328.004	-15.648
     228	A2383	21.35	  5.54	 3.64	     	     	-22.62	      	-22.62	     	 0.36	 0.33	 0.36	-47.7	 -49.8	-21.98	Simbad	NED	328.046	-21.198
     229	A2388	25.06	 57.29	 6.71	     	     	-24.22	      	-24.22	     	 0.68	 0.13	 0.44	-80.5	 -75.2	-22.46	Simbad	NED	328.392	+08.237
     230	A2399	21.75	 12.37	 3.91	     	     	-23.91	      	-23.91	     	 0.62	 0.32	 0.21	-77.3	 -70.1	-22.92	Simbad	NED	329.365	-07.804
     231	A2401	23.47	 26.80	 6.99	     	     	-24.16	      	-24.16	     	 0.67	 0.07	 0.17	-12.2	 -34.9	-23.03	Simbad	NED	329.717	-20.093
     232	A2412	20.33	  4.55	 1.79	23.43	90.80	-22.81	-25.23	-25.34	 0.11	 0.57	 0.15	 0.11	 31.0	  22.6	-22.65	Simbad	NED	331.002	-21.461
     233	A2415	23.75	 31.01	 6.94	     	     	-24.20	      	-24.20	     	 0.60	 0.21	 0.35	 27.1	  25.5	-22.76	Simbad	NED	331.354	-05.590
     234	A2457	21.10	  8.46	 2.60	22.33	31.60	-23.52	-23.98	-24.52	 0.65	 0.73	 0.26	 0.41	 86.2	  83.0	-23.06	Simbad	NED	338.918	+01.526
     235	A2459	21.25	  8.03	 2.36	     	     	-23.25	      	-23.25	     	 0.49	 0.28	 0.26	 13.2	   3.0	-22.68	Simbad	NED	339.142	-15.657
     236	A2462	20.29	  4.35	 5.13	22.37	26.20	-23.40	-23.70	-24.32	 0.76	 0.61	 0.03	 0.26	-89.8	 -52.5	-23.05	Simbad	NED	339.822	-17.373
     237	A2480	19.86	  3.45	 3.82	22.23	22.80	-23.16	-23.51	-24.10	 0.72	 0.51	 0.03	 0.48	-18.0	 -40.0	-23.00	Simbad	NED	341.517	-17.687
     238	A2492	20.93	  5.61	 2.81	22.25	18.50	-22.98	-23.04	-23.76	 0.95	 0.63	 0.13	 0.29	-70.0	  89.6	-22.80	Simbad	NED	342.595	-19.257
     239	A2495	21.70	  6.56	 1.30	21.52	26.60	-22.20	-24.59	-24.71	 0.11	 1.01	 0.18	 0.43	 50.4	  50.7	-22.70	Simbad	NED	342.571	+10.917
     240	A2511	21.60	  7.66	 2.83	     	     	-22.92	      	-22.92	     	 0.49	 0.22	 0.22	 81.3	  75.1	-22.31	Simbad	NED	344.725	-07.615
     241	A2524	21.19	  7.10	 4.65	22.03	17.90	-23.44	-23.14	-24.05	 1.33	 0.63	 0.19	 0.28	 14.5	   1.9	-22.93	Simbad	NED	345.787	+17.747
     242	A2525	20.52	  3.78	 4.31	23.00	22.60	-22.69	-22.66	-23.43	 1.03	 0.56	 0.07	 0.16	-61.4	 -48.7	-22.35	Simbad	NED	345.877	-10.603
     243	A2559	23.97	 36.62	 5.18	21.65	22.80	-24.28	-24.04	-24.91	 1.25	 0.86	 0.29	 0.53	 29.7	  31.8	-23.01	Simbad	NED	348.279	-13.695
     244	A2572	19.18	  2.54	 1.37	21.31	17.30	-22.43	-23.62	-23.93	 0.34	 0.50	 0.23	 0.18	-85.8	 -19.2	-22.81	Simbad	NED	349.630	+18.698
     245	A2589	28.54	725.91	 9.52	     	     	-26.43	      	-26.43	     	 0.78	 0.12	 0.51	-11.1	   5.0	-22.96	Simbad	NED	351.002	+16.825
     246	A2593	21.93	  6.60	 4.83	20.54	12.00	-22.40	-23.65	-23.95	 0.33	 0.90	 0.18	 0.38	 75.2	  73.8	-22.44	Simbad	NED	351.129	+14.641
     247	A2596	19.91	  2.30	 1.02	20.50	 6.10	-21.62	-22.44	-22.86	 0.47	 0.55	 0.05	 0.16	-76.0	 -70.8	-22.47	Simbad	NED	351.246	-23.417
     248	A2618	20.79	  6.60	 1.69	21.94	25.50	-23.11	-23.95	-24.36	 0.46	 0.80	 0.06	 0.26	 77.2	 -86.4	-23.15	Simbad	NED	353.450	+23.010
     249	A2622	24.53	 51.76	 6.13	     	     	-24.49	      	-24.49	     	 0.78	 0.20	 0.42	-43.3	 -55.4	-22.78	Simbad	NED	353.721	+27.427
     250	A2625	21.60	 10.49	 3.10	     	     	-23.67	      	-23.67	     	 0.54	 0.37	 0.36	 84.9	  85.9	-22.78	Simbad	NED	354.011	+20.546
     251	A2626	24.10	 37.52	 4.48	21.48	17.00	-24.14	-23.58	-24.65	 1.67	 1.05	 0.24	 0.37	 32.3	  32.0	-22.92	Simbad	NED	354.129	+21.160
     252	A2630	22.56	 15.00	 5.56	     	     	-23.83	      	-23.83	     	 0.59	 0.05	 0.31	-49.4	 -50.5	-22.87	Simbad	NED	354.457	+15.880
     253	A2634	20.33	  4.66	 3.16	21.27	20.60	-22.98	-24.00	-24.35	 0.39	 0.67	 0.18	 0.45	 31.0	  34.3	-22.98	Simbad	NED	354.577	+27.027
     254	A2637	23.01	 22.64	 6.58	     	     	-24.38	      	-24.38	     	 0.58	 0.21	 0.37	 62.9	  86.1	-23.17	Simbad	NED	354.741	+21.432
     255	A2644	23.31	 22.24	 5.46	     	     	-23.94	      	-23.94	     	 0.57	 0.19	 0.30	 16.9	  28.3	-22.73	Simbad	NED	355.271	+00.088
     256	A2656	20.46	  3.20	 4.29	21.22	13.20	-22.48	-23.37	-23.76	 0.44	 0.81	 0.09	 0.22	-27.1	  -8.4	-22.81	Simbad	NED	356.212	-04.112
     257	A2657	21.24	  2.74	 3.94	19.76	 3.50	-21.04	-21.67	-22.15	 0.56	 0.36	 0.11	 0.07	  1.8	  -9.3	-21.95	Simbad	NED	356.212	+09.144
     258	A2660	22.08	 10.53	 5.62	22.42	20.60	-23.40	-22.94	-23.95	 1.53	 0.63	 0.25	 0.45	-35.3	 -27.8	-22.65	Simbad	NED	356.325	-25.972
     259	A2661	26.51	104.60	 6.13	     	     	-24.53	      	-24.53	     	 0.92	 0.28	 0.30	-76.0	 -36.4	-22.27	Simbad	NED	356.667	-10.422
     260	A2665	23.94	 50.12	 4.15	     	     	-24.77	      	-24.77	     	 0.93	 0.13	 0.32	-64.7	 -80.7	-23.00	Simbad	NED	357.711	+06.150
     261	A2666	22.97	 25.07	 6.37	     	     	-24.34	      	-24.34	     	 0.61	 0.26	 0.32	 60.6	  60.7	-23.05	Simbad	NED	357.734	+27.145
     262	A2670	21.13	  7.49	 5.43	21.75	22.30	-23.69	-23.88	-24.54	 0.84	 0.70	 0.09	 0.08	 81.4	 -39.7	-23.28	Simbad	NED	358.557	-10.419
     263	A2675	24.31	 40.53	 6.45	     	     	-24.24	      	-24.24	     	 0.71	 0.09	 0.44	 43.8	  45.0	-22.78	Simbad	NED	358.887	+11.428
     264	A2678	21.85	  8.54	 6.41	     	     	-23.32	      	-23.32	     	 0.48	 0.18	 0.23	 17.7	  19.0	-22.55	Simbad	NED	358.962	+11.662
     265	A2716	20.71	  5.35	 6.45	     	     	-23.43	      	-23.43	     	 0.43	 0.21	 0.17	-78.3	 -81.0	-22.66	Simbad	NED	000.754	-27.136
     266	A2717	20.15	  2.80	 2.84	21.25	18.60	-22.08	-23.88	-24.07	 0.19	 0.87	 0.05	 0.18	-17.3	   8.3	-22.64	Simbad	NED	000.747	-36.035
     267	A2731	22.31	 16.35	 6.62	     	     	-24.12	      	-24.12	     	 0.55	 0.36	 0.23	 88.0	  77.0	-22.76	Simbad	NED	002.546	-56.988
     268	A2734	21.70	  9.87	 1.27	22.08	32.30	-22.91	-24.29	-24.56	 0.28	 1.03	 0.19	 0.50	 21.5	  21.6	-22.76	Simbad	NED	002.840	-28.855
     269	A2764	22.17	 14.97	 5.43	     	     	-24.13	      	-24.13	     	 0.60	 0.16	 0.18	-37.4	   1.5	-23.06	Simbad	NED	005.112	-49.222
     270	A2765	19.33	  2.05	 4.59	21.75	 9.30	-22.58	-21.98	-23.08	 1.74	 0.54	 0.24	 0.29	 51.7	  51.8	-22.09	Simbad	NED	005.385	-20.757
     271	A2799	22.79	 16.32	 6.10	     	     	-23.73	      	-23.73	     	 0.63	 0.22	 0.25	 42.8	  32.0	-22.54	Simbad	NED	009.367	-39.150
     272	A2800	22.38	 14.39	 4.42	     	     	-23.70	      	-23.70	     	 0.62	 0.25	 0.42	 63.4	  75.7	-22.71	Simbad	NED	009.492	-25.092
     273	A2806	19.85	  3.12	 3.32	21.11	 7.20	-22.59	-21.86	-23.04	 1.97	 0.46	 0.16	 0.20	-62.5	 -58.7	-22.60	Simbad	NED	010.042	-56.158
     274	A2814	22.20	 12.53	 5.10	     	     	-23.73	      	-23.73	     	 0.59	 0.21	 0.26	-34.6	 -31.0	-22.78	Simbad	NED	010.537	-28.536
     275	A2819	20.27	  5.19	 2.62	     	     	-23.36	      	-23.36	     	 0.63	 0.24	 0.18	 42.4	  35.2	-22.62	Simbad	NED	011.463	-63.578
     276	A2824	21.68	  7.93	 5.26	     	     	-23.29	      	-23.29	     	 0.45	 0.14	 0.03	 65.4	  30.1	-22.51	Simbad	NED	012.150	-21.350
     277	A2836	21.80	  6.84	 2.75	     	     	-22.46	      	-22.46	     	 0.49	 0.07	 0.10	-53.4	 -37.0	-22.12	Simbad	NED	013.421	-47.612
     278	A2841	21.11	  7.02	 4.93	22.16	20.23	-23.46	-23.21	-24.10	 1.26	 0.63	 0.26	 0.36	-14.2	 -10.8	-22.87	Simbad	NED	013.762	-48.947
     279	A2854	21.39	  4.80	 5.59	22.11	24.50	-22.41	-23.66	-23.96	 0.32	 0.65	 0.18	 0.50	 -2.6	 -15.7	-22.28	Simbad	NED	015.192	-50.524
     280	A2859	20.74	  4.48	 5.29	22.48	15.90	-22.91	-22.37	-23.43	 1.64	 0.53	 0.15	 0.23	-89.4	 -77.9	-22.92	Simbad	NED	015.558	-67.582
     281	A2864	18.86	  1.55	 5.08	21.75	10.20	-22.48	-22.16	-23.08	 1.34	 0.55	 0.17	 0.26	 28.6	  34.4	-22.17	Simbad	NED	016.183	-66.932
     282	A2870	22.96	 22.83	 4.63	     	     	-23.97	      	-23.97	     	 0.70	 0.27	 0.24	 10.5	  11.6	-22.72	Simbad	NED	016.927	-46.908
     283	A2877	19.91	  5.63	 3.68	21.04	19.90	-23.63	-23.89	-24.52	 0.78	 0.68	 0.14	 0.28	-69.5	 -92.9	-23.44	Simbad	NED	017.455	-45.901
     284	A2881	19.41	  2.00	 2.67	21.66	 8.70	-22.12	-21.88	-22.76	 1.26	 0.46	 0.16	 0.15	 46.4	  65.0	-22.22	Simbad	NED	017.812	-17.085
     285	A2889	19.88	  1.44	 1.01	22.05	 5.70	-20.29	-20.41	-21.10	 0.90	 0.34	 0.42	 0.38	-44.4	 -41.4	-20.49	Simbad	NED	018.687	-48.502
     286	A2896	18.95	  2.21	 3.68	21.01	 8.50	-22.71	-22.23	-23.25	 1.56	 0.40	 0.27	 0.33	-62.6	 -65.8	-22.44	Simbad	NED	019.567	-37.103
     287	A2911	19.64	  2.34	 2.82	22.01	11.90	-21.72	-21.67	-22.45	 1.04	 0.47	 0.17	 0.23	-18.4	  14.5	-21.78	Simbad	NED	021.554	-37.939
     288	A2923	22.24	 13.42	 4.15	     	     	-23.69	      	-23.69	     	 0.66	 0.03	 0.29	 66.1	  75.8	-22.89	Simbad	NED	022.961	-31.395
     289	A2954	20.76	  3.80	 1.68	     	     	-22.04	      	-22.04	     	 0.32	 0.18	 0.26	 27.3	  33.6	-21.73	Simbad	NED	028.620	-71.467
     290	A2955	19.71	  2.58	 5.21	21.53	19.00	-22.92	-23.89	-24.27	 0.41	 0.74	 0.11	 0.49	 78.6	  67.6	-22.84	Simbad	NED	029.246	-17.040
     291	A2992	21.38	  7.57	 4.69	     	     	-23.31	      	-23.31	     	 0.43	 0.29	 0.30	-59.6	 -53.9	-22.51	Simbad	NED	033.713	-26.660
     292	A3004	22.51	 13.82	 5.24	     	     	-23.58	      	-23.58	     	 0.63	 0.12	 0.13	-54.9	  37.2	-22.59	Simbad	NED	034.712	-48.003
     293	A3009	23.29	 32.22	 3.58	     	     	-24.43	      	-24.43	     	 0.88	 0.16	 0.44	-71.3	 -74.5	-23.02	Simbad	NED	035.529	-48.573
     294	A3027	23.36	 20.33	 5.75	23.01	32.60	-23.67	-23.46	-24.32	 1.22	 0.69	 0.26	 0.38	 84.0	  85.7	-22.62	Simbad	NED	037.706	-33.103
     295	A3047	21.99	  8.22	 4.55	21.93	23.03	-23.01	-23.84	-24.26	 0.46	 0.81	 0.22	 0.45	-59.4	 -48.3	-22.80	Simbad	NED	041.326	-46.432
     296	A3074	23.73	 45.61	 4.33	     	     	-24.88	      	-24.88	     	 0.84	 0.32	 0.43	 35.2	  33.8	-23.04	Simbad	NED	044.483	-52.717
     297	A3077	22.53	 11.53	 4.55	     	     	-23.17	      	-23.17	     	 0.50	 0.46	 0.49	 74.3	  67.3	-22.08	Simbad	NED	044.969	-51.452
     298	A3078	23.86	 38.66	 4.83	     	     	-24.45	      	-24.45	     	 0.81	 0.16	 0.32	 30.6	  16.0	-22.90	Simbad	NED	045.107	-51.847
     299	A3089	20.44	  3.42	 4.65	21.50	10.40	-22.55	-22.43	-23.24	 1.12	 0.61	 0.17	 0.29	 76.4	  79.6	-22.41	Simbad	NED	047.037	-36.710
     300	A3093	22.00	 10.57	 3.44	21.64	18.40	-23.34	-23.60	-24.23	 0.79	 0.81	 0.28	 0.46	 20.3	  18.8	-22.89	Simbad	NED	047.717	-47.395
     301	A3094	22.38	 15.17	 5.24	     	     	-23.92	      	-23.92	     	 0.69	 0.16	 0.17	 34.3	  52.3	-22.84	Simbad	NED	047.854	-26.931
     302	A3095	19.63	  2.88	 3.11	21.50	11.20	-22.77	-22.59	-23.43	 1.18	 0.48	 0.15	 0.31	 -5.3	 -16.0	-22.75	Simbad	NED	048.108	-27.147
     303	A3098	26.40	186.16	 6.90	     	     	-25.55	      	-25.55	     	 0.84	 0.24	 0.48	-40.0	 -39.4	-22.80	Simbad	NED	048.463	-38.327
