name,in_void_SDSS,kappa_2phase
PGC23268,1.0,3.654042041040481e-06
PGC23285,1.0,3.795803120908914e-05
PGC23296,0.0,7.270109425216244e-05
PGC23313,0.0,1.1572763100605857e-06
PGC23316,0.0,3.6873292130558057e-05
PGC23328,0.0,1.7570023219493588e-05
PGC23340,0.0,3.746887066727656e-07
PGC23341,1.0,3.3558047905357627e-06
PGC23362,0.0,5.806634581443451e-06
PGC23380,0.0,1.2940490128958246e-05
PGC23381,0.0,6.367637096139786e-05
PGC23383,0.0,1.9025299734835e-05
PGC23385,0.0,1.065014694089315e-05
PGC23404,0.0,1.3034023530030786e-05
PGC23414,0.0,2.6975778832005797e-05
PGC23415,0.0,2.1170416746226282e-05
PGC23420,0.0,8.299575387050427e-06
PGC23426,0.0,2.244923354399606e-05
PGC23435,0.0,-1.0372415108388854e-05
PGC23436,0.0,-6.771293935646772e-05
PGC23441,0.0,3.424849334035522e-05
PGC23447,0.0,7.161737591003582e-06
PGC23465,0.0,5.8565248232999146e-06
PGC23469,0.0,1.5931794874382315e-05
PGC23477,0.0,2.7342550496602533e-05
PGC23482,0.0,2.3569989887672453e-05
PGC23483,1.0,3.4819882399301193e-06
PGC23495,0.0,1.6076183145025485e-05
PGC23498,1.0,3.207008495369496e-06
PGC23502,0.0,-5.325985898143679e-06
PGC23503,0.0,3.30903751384522e-05
PGC23512,0.0,4.35434387673169e-05
PGC23513,1.0,1.674624433540974e-05
PGC23528,0.0,3.111340890153707e-05
PGC23531,0.0,1.0179282780043668e-05
PGC23544,0.0,3.0476533822041805e-05
PGC23553,1.0,3.2789482785096535e-05
PGC23556,1.0,2.2662172658512268e-05
PGC23575,1.0,3.1837189366702915e-05
PGC23582,0.0,-4.3598096264269144e-05
PGC23589,0.0,2.0287271525658563e-05
PGC23597,0.0,6.149855919351467e-05
PGC23605,0.0,3.4161107666502924e-05
PGC23614,0.0,2.4817224215744248e-05
PGC23632,0.0,2.4133427388453327e-05
PGC23634,1.0,4.192006063865632e-05
PGC23643,1.0,2.9323294362075543e-06
PGC23646,1.0,2.950265302821038e-06
PGC23659,0.0,-2.068100707375283e-05
PGC23663,0.0,2.6371092636827356e-05
PGC23668,1.0,2.95884900233023e-05
PGC23669,0.0,3.793943891780085e-05
PGC23673,1.0,1.1805753949679528e-05
PGC23676,0.0,1.4258754295915276e-05
PGC23677,0.0,4.035399851711797e-05
PGC23678,0.0,3.489772883931976e-05
PGC23689,0.0,3.135677856783925e-05
PGC23694,1.0,0.0001561784951495882
PGC23700,0.0,3.3593081180765725e-05
PGC23701,1.0,2.9465581703763282e-06
PGC23705,0.0,1.6373533727868424e-05
PGC23712,0.0,1.0845456376375603e-05
PGC23714,1.0,2.2582583867757922e-05
PGC23725,0.0,8.565742360226226e-06
PGC23729,0.0,4.4596931096085865e-06
PGC23734,0.0,2.9219197507637445e-05
PGC23741,0.0,5.020331473399932e-06
PGC23748,0.0,8.514590167174237e-06
PGC23753,1.0,7.274362810431175e-06
PGC23767,0.0,-7.011811931242076e-06
PGC23769,0.0,2.7085027272619893e-07
PGC23771,0.0,-2.0627620548795486e-05
PGC23772,0.0,1.173412879863535e-05
PGC23787,0.0,1.9441162603271626e-05
PGC23816,0.0,1.5823928105846022e-05
PGC23820,1.0,1.6767029308479215e-05
PGC23821,0.0,-6.0400167456549134e-05
PGC23830,1.0,2.10591851733255e-05
PGC23852,1.0,3.443745432481635e-06
PGC23862,1.0,2.8242049484842125e-06
PGC23869,0.0,9.508022735130799e-06
PGC23878,0.0,1.87195607182095e-05
PGC23881,1.0,4.9994364751166936e-05
PGC23910,1.0,6.6087523131923115e-06
PGC23935,1.0,2.920442103428805e-05
PGC23967,0.0,3.4794963590417883e-06
PGC23978,0.0,1.1989996744527615e-05
PGC24002,0.0,-2.7586287041155544e-06
PGC24008,0.0,6.8753603295922936e-06
PGC24011,1.0,2.3862634111251205e-05
PGC24012,1.0,2.7452165859768453e-06
PGC24013,1.0,2.4125076482638518e-05
PGC24055,1.0,1.033280309579813e-05
PGC24056,0.0,1.2893228720097268e-05
PGC24059,1.0,-3.172446937286903e-05
PGC24081,0.0,-6.651648010628844e-05
PGC24090,0.0,-3.319157140399571e-05
PGC24111,1.0,2.751078604227403e-06
PGC24114,0.0,1.068243856575136e-05
PGC24117,0.0,-3.506997847414378e-06
