name,v_pec_lin_kms,kappa_los,kappa_2phase,dlnn_dlnr,in_void_VoidFinder,in_void_REVOLVER
6936,-2.237873201764867,0.0008885415432874352,-0.00019544812620048998,13.647127542514523,1.0,1.0
7512,-58.59422888502527,0.00013764560305979168,0.0009952496991328958,-0.9465392113161512,1.0,1.0
8921,-89.11615681813963,0.0004817764020136439,0.00016308048598664396,-10.0273325292059,1.0,1.0
ASASSN-15bc,-70.59670263186219,2.3649892326620496e-06,7.410431312008194e-05,1.3746973360273356,0.0,0.0
ASASSN-15mi,-137.5342842821364,5.14495740378536e-06,6.863614389724928e-05,-2.3216687403397747,0.0,0.0
ASASSN-15pn,-157.1445704404913,3.91730978935414e-06,8.074372636806022e-05,2.4052441165900915,0.0,0.0
ASASSN-16ct,-271.93303149841495,5.672918030774676e-05,8.667352454386633e-05,-1.1415782495415867,0.0,0.0
LSQ13crf,-5.621179701770049,9.61137506244523e-05,0.00019486365206310575,-3.931487948963712,0.0,0.0
PS16axi,-92.49941604204001,2.0100653313504356e-05,8.164168691305805e-05,5.97497894496842,1.0,1.0
PS16ayd,-46.67414046213228,3.9163994977128666e-05,0.0001606628330219992,13.09125152618918,0.0,1.0
PS16bnz,-668.0974341877106,0.00030428745393153297,0.0001381638269092334,0.7415803733076299,0.0,0.0
PS16em,-575.838782981478,0.00019199310000743062,3.512616283723628e-05,5.822141527199493,1.0,1.0
PS16fa,25.38440572360004,-8.712220538829943e-07,0.00012474769189765647,1.7462584260245457,0.0,0.0
PS17akj,146.70164702128045,2.5114051359015308e-05,0.00012715537845629378,9.35939414943753,0.0,0.0
SN2016ayg,-48.344009574646506,9.67274252809359e-06,0.00010447351210129399,2.2797242017826993,0.0,0.0
SN2017cjv,-294.74154987076463,0.00021179256154360348,0.00018003960123783155,4.112370639766467,0.0,1.0
PGC11917,-97.63174227995866,2.9276679090060283e-05,7.65141653207665e-05,0.7457938829961437,0.0,0.0
PGC13567,7.819337175312301,2.464446836405391e-05,7.205213884608717e-05,5.674601998677823,0.0,0.0
PGC15198,-168.71226040332417,3.146914278392763e-05,8.911915730321925e-05,-0.13287292206488127,0.0,0.0
PGC15226,-223.66857894879098,3.0614119363677906e-05,0.00010068312597037589,-0.2741817403752426,0.0,0.0
PGC15460,-117.77175877950944,1.634835010927947e-05,6.813472962238453e-05,2.7413770361390855,0.0,0.0
