side,fold,model,core,q,logpdf
1,0,pixelcorr_mixture_1.0,training_r09_c18,0.9864730709542338,-0.35209819003033616
1,0,pixelcorr_mixture_1.0,training_r10_c19,1.0449627968737027,-0.38134305299007076
1,0,pixelcorr_mixture_1.0,training_r12_c18,1.0351454529528457,-0.3764343810296423
1,0,pixelcorr_mixture_1.0,training_r16_c16,1.024444292615719,-0.37108380086107895
1,0,pixelcorr_mixture_1.0,training_r18_c12,1.0008031002420894,-0.35926320467426404
1,1,full_0.1,training_r02_c13,1.0284152015272316,-0.3739151159666007
1,1,full_0.1,training_r03_c14,0.9972900924523441,-0.35835256142915695
1,1,full_0.1,training_r06_c17,1.0341762867317255,-0.37679565856884767
1,1,full_0.1,training_r07_c18,1.0081436719075216,-0.36377935115674565
1,1,full_0.1,training_r08_c19,1.1035513316468852,-0.41148318102642734
1,1,full_0.1,training_r11_c19,1.0501746439702913,-0.3847948371881304
1,1,full_0.1,training_r13_c18,1.0144905466957237,-0.36695278855084673
1,1,full_0.1,training_r15_c17,0.9892078374164103,-0.35431143391119
1,1,full_0.1,training_r17_c16,0.9857610712297241,-0.35258805081784683
1,1,full_0.1,training_r18_c14,0.9800032231021232,-0.34970912675404653
1,1,full_0.1,training_r19_c12,0.9947624135628486,-0.35708872198440916
1,1,full_0.3,training_r02_c13,0.9958457554041832,-0.3740587534072918
1,1,full_0.3,training_r03_c14,0.9620782678894295,-0.35717500964991494
1,1,full_0.3,training_r06_c17,0.9973317495697275,-0.374801750490064
1,1,full_0.3,training_r07_c18,0.9740068598951839,-0.3631393056527921
1,1,full_0.3,training_r08_c19,1.063154485025679,-0.4077131182180398
1,1,full_0.3,training_r11_c19,1.0146856557572697,-0.38347870358383507
1,1,full_0.3,training_r13_c18,0.9816267323019341,-0.36694924185616723
1,1,full_0.3,training_r15_c17,0.9547632283220476,-0.353517489866224
1,1,full_0.3,training_r17_c16,0.9508051100885068,-0.3515384307494537
1,1,full_0.3,training_r18_c14,0.9454988511058631,-0.3488853012581317
1,1,full_0.3,training_r19_c12,0.9611626203747025,-0.35671718589255147
1,1,full_0.6,training_r02_c13,0.974456822650453,-0.3818503303209714
1,1,full_0.6,training_r03_c14,0.9350584348898591,-0.36215113644067437
1,1,full_0.6,training_r06_c17,0.9679795084192288,-0.3786116732053593
1,1,full_0.6,training_r07_c18,0.9482002369539276,-0.36872203747270876
1,1,full_0.6,training_r08_c19,1.0301477171082247,-0.40969577754985725
1,1,full_0.6,training_r11_c19,0.9883482574606471,-0.38879604772606846
1,1,full_0.6,training_r13_c18,0.9573187440752206,-0.37328129103335506
1,1,full_0.6,training_r15_c17,0.92722265984684,-0.3582332489191648
1,1,full_0.6,training_r17_c16,0.9217269515960796,-0.3554853947937847
1,1,full_0.6,training_r18_c14,0.9173672899883601,-0.35330556398992485
1,1,full_0.6,training_r19_c12,0.9344219071902028,-0.36183287259084623
1,1,full_1.0,training_r02_c13,1.0398220967985765,-0.42613515814149305
1,1,full_1.0,training_r03_c14,0.9757848499447063,-0.39411653471455776
1,1,full_1.0,training_r06_c17,1.0039784711869035,-0.40821334533565656
1,1,full_1.0,training_r07_c18,0.9919658258537108,-0.40220702266906017
1,1,full_1.0,training_r08_c19,1.062106841719309,-0.43727753060185937
1,1,full_1.0,training_r11_c19,1.0348660720327323,-0.4236571457585709
1,1,full_1.0,training_r13_c18,0.9996785181996004,-0.40606336884200483
1,1,full_1.0,training_r15_c17,0.9605243748904103,-0.3864862971874099
1,1,full_1.0,training_r17_c16,0.9472408710624161,-0.3798445452734127
1,1,full_1.0,training_r18_c14,0.9465072738043221,-0.3794777466443658
1,1,full_1.0,training_r19_c12,0.9676812436155654,-0.39006473154998755
1,1,bartlett_1_0.1,training_r02_c13,1.0041509573101435,-0.4017155982465913
1,1,bartlett_1_0.1,training_r03_c14,0.9492921214547536,-0.37428618031889627
1,1,bartlett_1_0.1,training_r06_c17,0.9766104425636486,-0.3879453408733437
1,1,bartlett_1_0.1,training_r07_c18,0.9645586245399742,-0.38191943186150656
1,1,bartlett_1_0.1,training_r08_c19,1.040601676855538,-0.41994095801928855
1,1,bartlett_1_0.1,training_r11_c19,1.0040137409223873,-0.401646990052713
1,1,bartlett_1_0.1,training_r13_c18,0.9657696274534511,-0.38252493331824494
1,1,bartlett_1_0.1,training_r15_c17,0.934568120941651,-0.36692418006234495
1,1,bartlett_1_0.1,training_r17_c16,0.9244007627911673,-0.36184050098710313
1,1,bartlett_1_0.1,training_r18_c14,0.9239358005963266,-0.3616080198896827
1,1,bartlett_1_0.1,training_r19_c12,0.9433161664194413,-0.37129820280124004
1,1,bartlett_1_0.3,training_r02_c13,1.0073689887763007,-0.4059593046828633
