model_id,fold,block_id,q_over_n,mean_logpdf_per_channel
channel_affine_sky__full_shrink_010,0,training_r09_c18,0.9963880769875207,-0.3527689801948118
channel_affine_sky__full_shrink_010,0,training_r10_c19,1.0572298404231073,-0.3831898619126052
channel_affine_sky__full_shrink_010,0,training_r12_c18,1.0447237893219676,-0.37693683636203523
channel_affine_sky__full_shrink_010,0,training_r16_c16,1.0333983769853243,-0.3712741301937137
channel_affine_sky__full_shrink_010,0,training_r18_c12,1.0012615701367864,-0.3552057267694446
channel_affine_sky__full_shrink_010,1,training_r02_c13,1.0304351026033733,-0.3715976060897309
channel_affine_sky__full_shrink_010,1,training_r03_c14,1.0051567252111764,-0.3589584173936324
channel_affine_sky__full_shrink_010,1,training_r06_c17,1.0409999351956056,-0.37688002238584695
channel_affine_sky__full_shrink_010,1,training_r07_c18,1.0083232385323164,-0.36054167405420245
channel_affine_sky__full_shrink_010,1,training_r08_c19,1.0965888922237752,-0.40467450089993173
channel_affine_sky__full_shrink_010,1,training_r11_c19,1.0502496814529403,-0.38150489551451433
channel_affine_sky__full_shrink_010,1,training_r13_c18,1.0193699276784105,-0.36606501862724955
channel_affine_sky__full_shrink_010,1,training_r15_c17,0.9947947154986836,-0.35377741253738604
channel_affine_sky__full_shrink_010,1,training_r17_c16,0.99742246254904,-0.3550912860625642
channel_affine_sky__full_shrink_010,1,training_r18_c14,0.9881613565802222,-0.3504607330781553
channel_affine_sky__full_shrink_010,1,training_r19_c12,1.0210562986967058,-0.366908204136397
channel_affine_sky__full_shrink_010,2,training_r02_c12,1.033561427268493,-0.37394348720246695
channel_affine_sky__full_shrink_010,2,training_r08_c18,0.9736256644843662,-0.34397560581040354
channel_affine_sky__full_shrink_010,2,training_r09_c19,1.0222841987274793,-0.3683048729319601
channel_affine_sky__full_shrink_010,2,training_r12_c19,1.0283599176301412,-0.371342732383291
channel_affine_sky__full_shrink_010,2,training_r14_c18,0.978183211048152,-0.3462543790922964
channel_affine_sky__full_shrink_010,2,training_r16_c17,1.0297037689703676,-0.3720146580534043
channel_affine_sky__full_shrink_010,2,training_r17_c15,1.0458365536024543,-0.38008105036944756
channel_affine_sky__full_shrink_010,2,training_r18_c13,1.019824737836417,-0.367075142486429
channel_affine_sky__full_shrink_050,0,training_r02_c14,1.0043546321933472,-0.38377581179824444
channel_affine_sky__full_shrink_050,0,training_r03_c15,0.9801744371486565,-0.371685714275899
channel_affine_sky__full_shrink_050,0,training_r04_c16,0.994294904258662,-0.3787459478309017
channel_affine_sky__full_shrink_050,0,training_r05_c17,1.0004085404401537,-0.38180276592164764
channel_affine_sky__full_shrink_050,0,training_r06_c18,0.9691959072098009,-0.36619644930647127
channel_affine_sky__full_shrink_050,0,training_r09_c18,0.9573665161797796,-0.36028175379146055
channel_affine_sky__full_shrink_050,0,training_r10_c19,1.003592335013745,-0.3833946632084433
channel_affine_sky__full_shrink_050,0,training_r12_c18,0.9944555617022788,-0.3788262765527102
channel_affine_sky__full_shrink_050,0,training_r16_c16,0.986560430418139,-0.37487871091064023
channel_affine_sky__full_shrink_050,0,training_r18_c12,0.9568823801638079,-0.3600396857834747
channel_affine_sky__full_shrink_050,1,training_r02_c13,0.9794201010539725,-0.37550225896316963
channel_affine_sky__full_shrink_050,1,training_r03_c14,0.9484353104172016,-0.36000986364478427
channel_affine_sky__full_shrink_050,1,training_r06_c17,0.9816470064769983,-0.3766157116746826
channel_affine_sky__full_shrink_050,1,training_r07_c18,0.953663477487149,-0.36262394717975804
channel_affine_sky__full_shrink_050,1,training_r08_c19,1.0299138377998798,-0.4007491273361235
channel_affine_sky__full_shrink_050,1,training_r11_c19,0.993757482309446,-0.38267094959090653
channel_affine_sky__full_shrink_050,1,training_r13_c18,0.9671243963360295,-0.3693544066041982
channel_affine_sky__full_shrink_050,1,training_r15_c17,0.93981863685488,-0.35570152686362344
channel_affine_sky__full_shrink_050,1,training_r17_c16,0.940185175229327,-0.355884796050847
channel_affine_sky__full_shrink_050,1,training_r18_c14,0.9329128352504762,-0.35224862606142165
channel_affine_sky__full_shrink_050,1,training_r19_c12,0.9656935227434124,-0.36863896980788957
channel_affine_sky__full_shrink_050,2,training_r02_c12,0.9810979265346643,-0.37566576908109944
channel_affine_sky__full_shrink_050,2,training_r08_c18,0.9225073689178179,-0.34637049027267625
channel_affine_sky__full_shrink_050,2,training_r09_c19,0.9742357266502701,-0.37223466913890235
channel_affine_sky__full_shrink_050,2,training_r12_c19,0.9760139429082363,-0.3731237772678854
channel_affine_sky__full_shrink_050,2,training_r14_c18,0.9307504861306612,-0.35049204887909796
channel_affine_sky__full_shrink_050,2,training_r16_c17,0.9824707867107821,-0.3763521991691584
channel_affine_sky__full_shrink_050,2,training_r17_c15,0.9950349363395735,-0.38263427398355404
channel_affine_sky__full_shrink_050,2,training_r18_c13,0.9671807239984807,-0.36870716781300766
