case,kind,time,energy,oscillator_energy,mean_radius,mean_inward_acceleration
nested_counter,memory_fast,18.400000000000002,-0.7570450908567957,3.23769555739277e-05,1.4848787970993496,6.2690075747750456
nested_counter,memory_fast,18.5,-0.7570450908592523,4.752100757242763e-05,1.4834025880220292,6.276073181681288
nested_counter,memory_fast,18.6,-0.7570450908337969,7.764091973580913e-05,1.4819489108877755,6.280018013563922
nested_counter,memory_fast,18.7,-0.7570450908329144,7.14299785459121e-05,1.4806812593628071,6.286725137859537
nested_counter,memory_fast,18.8,-0.7570450908593778,3.33075724190839e-05,1.479606000050822,6.293392186991494
nested_counter,memory_fast,18.900000000000002,-0.7570450908569938,9.921405651443673e-06,1.478612639384835,6.296833672639672
nested_counter,memory_fast,19.0,-0.7570450908571738,2.946252260213784e-06,1.4776419045097642,6.301659795470478
nested_counter,memory_fast,19.1,-0.757045090857085,2.4300651610696816e-06,1.4766981166576822,6.308949631787689
nested_counter,memory_fast,19.200000000000003,-0.7570450908576635,1.5132409909197033e-05,1.4758397358551547,6.316837576304263
nested_counter,memory_fast,19.3,-0.7570450908450319,4.40010466783733e-05,1.4751847814575865,6.319880571110783
nested_counter,memory_fast,19.400000000000002,-0.7570450908623568,5.0515105314648786e-05,1.4748979490233873,6.320007712058006
nested_counter,memory_fast,19.5,-0.7570450908618765,2.7684889972970307e-05,1.4750192241128768,6.320542931651023
nested_counter,memory_fast,19.6,-0.7570450908569264,2.00521755586101e-05,1.4754049378801821,6.314806398038283
nested_counter,memory_fast,19.700000000000003,-0.75704509085713,2.8765554221355956e-05,1.4759255338644581,6.308230241548188
nested_counter,memory_fast,19.8,-0.7570450908571091,3.915215109737464e-05,1.4765134412099492,6.303697492378676
nested_counter,memory_fast,19.900000000000002,-0.7570450908570372,5.739485523907454e-05,1.4771551397786884,6.301049939328331
nested_counter,memory_fast,20.0,-0.7570450908598129,9.311079099380764e-05,1.4778960175790625,6.29654016543471
nested_counter,memory_fast,20.1,-0.7570450908980602,0.00011262518544208557,1.4788458954089272,6.288836783887625
nested_counter,memory_fast,20.200000000000003,-0.7570450908597436,8.845593724589956e-05,1.4800586143172167,6.285712071101667
nested_counter,memory_fast,20.3,-0.7570450908571629,6.629181071958922e-05,1.4813956672340423,6.279175554169697
nested_counter,memory_fast,20.400000000000002,-0.7570450908572078,6.4432145559148e-05,1.482703942122853,6.273099265417606
nested_counter,memory_fast,20.5,-0.7570450908572453,6.52046542842753e-05,1.4839043104620095,6.270926703368782
nested_counter,memory_fast,20.6,-0.7570450908570865,6.754129879466319e-05,1.4849842961023016,6.2726978752060205
nested_counter,memory_fast,20.700000000000003,-0.757045090860671,8.881486434191847e-05,1.485996546151913,6.275213616539724
nested_counter,memory_fast,20.8,-0.7570450908555816,0.00011584143294985577,1.487065149234422,6.273935850619236
nested_counter,memory_fast,20.900000000000002,-0.7570450908439134,0.00010038353006554044,1.4883150879824938,6.276010082712377
nested_counter,memory_fast,21.0,-0.7570450908582428,6.262044671002037e-05,1.4896907771715546,6.275389355424423
nested_counter,memory_fast,21.1,-0.7570450908573585,4.149933845163554e-05,1.4910555952267974,6.271817397115579
nested_counter,memory_fast,21.200000000000003,-0.7570450908574595,3.093534769513614e-05,1.492327072896408,6.269403629007947
nested_counter,memory_fast,21.3,-0.7570450908573625,2.2484453089850588e-05,1.4934788542059505,6.268902901785765
