case,source,invalid_groups,global_steady_valid,min_supported_rotation_squared,max_unknown_envelope_at_multiplier2_mjy_beam
h0p4_newton_plus_log_p5_boxcar_hanning_full_s-1,p0p03125_z48,1111,False,-23862.98024858721,2.704999714920131e-09
h0p4_newton_plus_log_p5_boxcar_hanning_full_s1,p0p0625_z24,322,False,-19945.900059864736,4.273545265546488e-09
h0p4_newton_plus_log_p5_boxcar_hanning_full_s1,p0p0625_z48,322,False,-19945.900059864736,3.5705211447744665e-09
h0p4_newton_plus_log_p5_boxcar_hanning_full_s1,p0p03125_z24,1111,False,-23862.98024858721,3.1878068377325167e-09
h0p4_newton_plus_log_p5_boxcar_hanning_full_s1,p0p03125_z48,1111,False,-23862.98024858721,2.704999714920131e-09
h0p4_newton_plus_log_p5_boxcar_hanning_decimated_s-1,p0p0625_z24,322,False,-19945.900059864736,8.547090531092976e-09
h0p4_newton_plus_log_p5_boxcar_hanning_decimated_s-1,p0p0625_z48,322,False,-19945.900059864736,7.141042289548933e-09
h0p4_newton_plus_log_p5_boxcar_hanning_decimated_s-1,p0p03125_z24,1111,False,-23862.98024858721,6.3756136754650335e-09
h0p4_newton_plus_log_p5_boxcar_hanning_decimated_s-1,p0p03125_z48,1111,False,-23862.98024858721,5.409999429840262e-09
h0p4_newton_plus_log_p5_boxcar_hanning_decimated_s1,p0p0625_z24,322,False,-19945.900059864736,8.547090531092976e-09
h0p4_newton_plus_log_p5_boxcar_hanning_decimated_s1,p0p0625_z48,322,False,-19945.900059864736,7.141042289548933e-09
h0p4_newton_plus_log_p5_boxcar_hanning_decimated_s1,p0p03125_z24,1111,False,-23862.98024858721,6.3756136754650335e-09
h0p4_newton_plus_log_p5_boxcar_hanning_decimated_s1,p0p03125_z48,1111,False,-23862.98024858721,5.409999429840262e-09
h0p4_newton_plus_log_p10_boxcar_independent_s-1,p0p0625_z24,1682,False,-88593.90556083537,2.434302565336057e-07
h0p4_newton_plus_log_p10_boxcar_independent_s-1,p0p0625_z48,1682,False,-88593.90556083537,1.7427025813325845e-07
h0p4_newton_plus_log_p10_boxcar_independent_s-1,p0p03125_z24,6280,False,-104260.4811235643,2.1124640459986918e-07
h0p4_newton_plus_log_p10_boxcar_independent_s-1,p0p03125_z48,6280,False,-104260.4811235643,1.5150776758777272e-07
h0p4_newton_plus_log_p10_boxcar_independent_s1,p0p0625_z24,1682,False,-88593.90556083537,2.434302565336057e-07
h0p4_newton_plus_log_p10_boxcar_independent_s1,p0p0625_z48,1682,False,-88593.90556083537,1.7427025813325845e-07
h0p4_newton_plus_log_p10_boxcar_independent_s1,p0p03125_z24,6280,False,-104260.4811235643,2.1124640459986918e-07
h0p4_newton_plus_log_p10_boxcar_independent_s1,p0p03125_z48,6280,False,-104260.4811235643,1.5150776758777272e-07
h0p4_newton_plus_log_p10_boxcar_hanning_full_s-1,p0p0625_z24,1682,False,-88593.90556083537,2.4300630972668546e-07
h0p4_newton_plus_log_p10_boxcar_hanning_full_s-1,p0p0625_z48,1682,False,-88593.90556083537,1.7396675716123953e-07
h0p4_newton_plus_log_p10_boxcar_hanning_full_s-1,p0p03125_z24,6280,False,-104260.4811235643,2.1087850769182343e-07
h0p4_newton_plus_log_p10_boxcar_hanning_full_s-1,p0p03125_z48,6280,False,-104260.4811235643,1.5124390871005106e-07
h0p4_newton_plus_log_p10_boxcar_hanning_full_s1,p0p0625_z24,1682,False,-88593.90556083537,2.4300630972668546e-07
h0p4_newton_plus_log_p10_boxcar_hanning_full_s1,p0p0625_z48,1682,False,-88593.90556083537,1.7396675716123953e-07
h0p4_newton_plus_log_p10_boxcar_hanning_full_s1,p0p03125_z24,6280,False,-104260.4811235643,2.1087850769182343e-07
h0p4_newton_plus_log_p10_boxcar_hanning_full_s1,p0p03125_z48,6280,False,-104260.4811235643,1.5124390871005106e-07
h0p4_newton_plus_log_p10_boxcar_hanning_decimated_s-1,p0p0625_z24,1682,False,-88593.90556083537,4.860126194533709e-07
h0p4_newton_plus_log_p10_boxcar_hanning_decimated_s-1,p0p0625_z48,1682,False,-88593.90556083537,3.4793351432247906e-07
h0p4_newton_plus_log_p10_boxcar_hanning_decimated_s-1,p0p03125_z24,6280,False,-104260.4811235643,4.2175701538364686e-07
h0p4_newton_plus_log_p10_boxcar_hanning_decimated_s-1,p0p03125_z48,6280,False,-104260.4811235643,3.024878174201021e-07
h0p4_newton_plus_log_p10_boxcar_hanning_decimated_s1,p0p0625_z24,1682,False,-88593.90556083537,4.860126194533709e-07
h0p4_newton_plus_log_p10_boxcar_hanning_decimated_s1,p0p0625_z48,1682,False,-88593.90556083537,3.4793351432247906e-07
h0p4_newton_plus_log_p10_boxcar_hanning_decimated_s1,p0p03125_z24,6280,False,-104260.4811235643,4.2175701538364686e-07
h0p4_newton_plus_log_p10_boxcar_hanning_decimated_s1,p0p03125_z48,6280,False,-104260.4811235643,3.024878174201021e-07
h0p4_newton_plus_log_p15_boxcar_independent_s-1,p0p0625_z24,3834,False,-203007.24806245306,1.6027485319693052e-06
h0p4_newton_plus_log_p15_boxcar_independent_s-1,p0p0625_z48,3834,False,-203007.24806245306,1.934569279619858e-06
h0p4_newton_plus_log_p15_boxcar_independent_s-1,p0p03125_z24,14709,False,-238256.31591519286,1.528306292790388e-06
h0p4_newton_plus_log_p15_boxcar_independent_s-1,p0p03125_z48,14709,False,-238256.31591519286,1.7776537799817985e-06
h0p4_newton_plus_log_p15_boxcar_independent_s1,p0p0625_z24,3834,False,-203007.24806245306,1.6027485319693052e-06
h0p4_newton_plus_log_p15_boxcar_independent_s1,p0p0625_z48,3834,False,-203007.24806245306,1.934569279619858e-06
h0p4_newton_plus_log_p15_boxcar_independent_s1,p0p03125_z24,14709,False,-238256.31591519286,1.528306292790388e-06
h0p4_newton_plus_log_p15_boxcar_independent_s1,p0p03125_z48,14709,False,-238256.31591519286,1.7776537799817985e-06
h0p4_newton_plus_log_p15_boxcar_hanning_full_s-1,p0p0625_z24,3834,False,-203007.24806245306,1.5999572597088224e-06
h0p4_newton_plus_log_p15_boxcar_hanning_full_s-1,p0p0625_z48,3834,False,-203007.24806245306,1.931200123786316e-06
h0p4_newton_plus_log_p15_boxcar_hanning_full_s-1,p0p03125_z24,14709,False,-238256.31591519286,1.525644665669541e-06
h0p4_newton_plus_log_p15_boxcar_hanning_full_s-1,p0p03125_z48,14709,False,-238256.31591519286,1.7745579008804716e-06
h0p4_newton_plus_log_p15_boxcar_hanning_full_s1,p0p0625_z24,3834,False,-203007.24806245306,1.5999572597088224e-06
h0p4_newton_plus_log_p15_boxcar_hanning_full_s1,p0p0625_z48,3834,False,-203007.24806245306,1.931200123786316e-06
h0p4_newton_plus_log_p15_boxcar_hanning_full_s1,p0p03125_z24,14709,False,-238256.31591519286,1.525644665669541e-06
h0p4_newton_plus_log_p15_boxcar_hanning_full_s1,p0p03125_z48,14709,False,-238256.31591519286,1.7745579008804716e-06
h0p4_newton_plus_log_p15_boxcar_hanning_decimated_s-1,p0p0625_z24,3834,False,-203007.24806245306,3.1999145194176447e-06
h0p4_newton_plus_log_p15_boxcar_hanning_decimated_s-1,p0p0625_z48,3834,False,-203007.24806245306,3.862400247572632e-06
h0p4_newton_plus_log_p15_boxcar_hanning_decimated_s-1,p0p03125_z24,14709,False,-238256.31591519286,3.051289331339082e-06
h0p4_newton_plus_log_p15_boxcar_hanning_decimated_s-1,p0p03125_z48,14709,False,-238256.31591519286,3.549115801760943e-06
h0p4_newton_plus_log_p15_boxcar_hanning_decimated_s1,p0p0625_z24,3834,False,-203007.24806245306,3.1999145194176447e-06
h0p4_newton_plus_log_p15_boxcar_hanning_decimated_s1,p0p0625_z48,3834,False,-203007.24806245306,3.862400247572632e-06
h0p4_newton_plus_log_p15_boxcar_hanning_decimated_s1,p0p03125_z24,14709,False,-238256.31591519286,3.051289331339082e-06
h0p4_newton_plus_log_p15_boxcar_hanning_decimated_s1,p0p03125_z48,14709,False,-238256.31591519286,3.549115801760943e-06
