fixture_id,case_id,closure_id,member_id,delta_log_frequency_unit_probe,expansion_time_stretch
F06_LENS_TWO_IMAGES,image_A,C06_PATH_MEMORY_OPACITY,TAU_FAST,-3.122844360184e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_A,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,1.109734758697e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_A,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,2.354311279632e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_A,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,3.856266515023e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_A,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,2.354311279632e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_A,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_SLOW,3.856266515023e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_B,C00_GR_ENDPOINT,BASE,4.000000000000e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_B,C01_EXACT_GRADIENT_PATH,BASE,4.000000000000e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_B,C02_POTENTIAL_COLUMN,BASE,-8.800000000000e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_B,C03_TIDAL_CURVATURE_COLUMN,BASE,-1.530000000000e+00,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_B,C04_DISPERSIVE_PERSISTENT_MEDIUM,TAU_FAST,-9.843748526667e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_B,C05_ENDPOINT_MEMORY,TAU_FAST,6.715516834943e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_B,C06_PATH_MEMORY_OPACITY,TAU_FAST,-9.843748526667e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_B,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_INST,-5.110618695410e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_B,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_FAST,-1.187497053334e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_B,C07_GENERAL_TIME_VARYING_METRIC_PATH,G_MEM_SLOW,3.546927058225e-01,1.000000000000e+00
F06_LENS_TWO_IMAGES,image_B,C08_CAUSAL_METRIC_MEMORY_SUBFAMILY,G_MEM_FAST,-1.187497053334e-01,1.000000000000e+00
