case,sigma,aperture,relative_L1_vs_baseline,peak_absolute_change_mjy_beam
common30__newton_p10_boxcar_independent_s1,3,1,0.19777945925432847,0.638309090810973
common30__newton_p10_boxcar_independent_s1,3,2,0.5940766088272947,3.7684915514927155
common30__newton_p10_boxcar_independent_s1,3,3,0.48542706046214784,3.9550797105611872
common30__newton_p10_boxcar_independent_s1,3,4,0.1713484680604305,0.33285152167602083
common30__newton_p10_boxcar_independent_s1,3,5,0.47030612965635354,1.4596848960437034
common30__newton_p10_boxcar_independent_s1,3,6,0.06802257081878202,0.19909895516990872
common30__newton_p10_boxcar_independent_s1,3,7,0.2593612559375076,0.4317166343307314
common30__newton_p10_boxcar_independent_s1,3,8,0.26904143355166465,0.6522424431482462
common30__newton_p10_boxcar_independent_s1,3,9,0.23103916185089687,0.7653676036368342
common30__newton_p10_boxcar_independent_s1,3,10,0.4932223257235634,3.6865848201338034
common30__newton_p10_boxcar_independent_s1,3,11,0.7790706038034386,1.5881450294987904
common30__newton_p10_boxcar_independent_s1,3,12,0.39129750831043075,1.064688575981625
common30__newton_p10_boxcar_independent_s1,3,13,0.4684786059077711,2.2513607236915583
common30__newton_p10_boxcar_independent_s1,3,14,0.29700820801158173,0.8260748236615685
common30__newton_p10_boxcar_independent_s1,10,0,0.2722246396315017,0.22803723404652665
common30__newton_p10_boxcar_independent_s1,10,1,0.10757152923615747,0.15952901684556786
common30__newton_p10_boxcar_independent_s1,10,2,0.23631246156389063,0.8841306470810588
common30__newton_p10_boxcar_independent_s1,10,3,0.21793780449793043,1.05383825318216
common30__newton_p10_boxcar_independent_s1,10,4,0.09842568241241241,0.11514871685347661
common30__newton_p10_boxcar_independent_s1,10,5,0.24471899174371656,0.44487579465129645
common30__newton_p10_boxcar_independent_s1,10,6,0.028845177929204848,0.029494382213755
common30__newton_p10_boxcar_independent_s1,10,7,0.1757164965684741,0.20302864345623672
common30__newton_p10_boxcar_independent_s1,10,8,0.10941348478404775,0.11010084451869506
common30__newton_p10_boxcar_independent_s1,10,9,0.10597762167504263,0.17401632177935444
common30__newton_p10_boxcar_independent_s1,10,10,0.23533529616198942,0.9922257533310916
common30__newton_p10_boxcar_independent_s1,10,11,0.49091959533007423,0.5090057266279141
common30__newton_p10_boxcar_independent_s1,10,12,0.197788320921542,0.24510392830328986
common30__newton_p10_boxcar_independent_s1,10,13,0.17143669721952928,0.397892806981645
common30__newton_p10_boxcar_independent_s1,10,14,0.1058070801119178,0.16745685978121516
common30__newton_p10_boxcar_hanning_full_s1,3,0,0.2819367569310259,0.4733190325945211
common30__newton_p10_boxcar_hanning_full_s1,3,1,0.15272678733968303,0.3846873750093456
common30__newton_p10_boxcar_hanning_full_s1,3,2,0.40880494788446814,2.2794520340788234
