resolution,scenario,algorithm,group,pairs,fractional_gain,kms_gain,galaxies_improved,incremental_gain_over_local,fixed_prediction_bootstrap_025,fixed_prediction_bootstrap_975
RO,heavier_stars,trees,gas_surroundings,868,0.1324600872003544,-0.46663386601909806,7,-0.08262620510012342,-0.3091140120576033,0.006319980125605331
RO,heavier_stars,gpu_rbf_features,local,868,0.07559148555770179,-0.25571958188378896,6,0.0,0.0,0.0
RO,heavier_stars,gpu_rbf_features,gas_surroundings,868,0.07848773259789876,-0.213168053414162,6,0.003133081310857766,-0.1222521183794242,0.06340533325040824
RO,inclination_minus5,ridge,local,868,-0.2718624125647249,-0.24283778496330788,2,0.0,0.0,0.0
RO,inclination_minus5,ridge,gas_surroundings,868,-0.3690550051030168,-0.34560684884839543,2,-0.07641753665972573,-0.36400170394193376,-0.0065604838432332955
RO,inclination_minus5,trees,local,868,-0.2801820643679027,-0.6907460915309693,2,0.0,0.0,0.0
RO,inclination_minus5,trees,gas_surroundings,868,-0.3668107964964089,-0.7805017686573625,1,-0.06766907187633464,-0.2817066348780776,-0.0041531126515027324
RO,inclination_minus5,gpu_rbf_features,local,868,-0.34596493109520265,-0.7020920319080797,3,0.0,0.0,0.0
RO,inclination_minus5,gpu_rbf_features,gas_surroundings,868,-0.371795067993576,-0.6704354001733992,2,-0.019190794872609107,-0.12234313510280348,0.021803507673871715
RO,inclination_plus5,ridge,local,868,0.19100974397898063,-0.06426204273838598,4,0.0,0.0,0.0
RO,inclination_plus5,ridge,gas_surroundings,868,0.19404758830185986,-0.003514263685844954,4,0.0037551061959889553,-0.0900095724319236,0.12260744711501669
RO,inclination_plus5,trees,local,868,0.252811775817793,-0.18371276140644022,5,0.0,0.0,0.0
RO,inclination_plus5,trees,gas_surroundings,868,0.23756620612338186,-0.19754351090584055,5,-0.020403921262406532,-0.08305850816518268,0.007231656183345414
RO,inclination_plus5,gpu_rbf_features,local,868,0.22954900124036703,-0.11896163551217431,5,0.0,0.0,0.0
RO,inclination_plus5,gpu_rbf_features,gas_surroundings,868,0.19480298221132886,-0.114230012743473,6,-0.04509828540033922,-0.19151622749172104,0.014778310277217734
RO,pa_minus5,ridge,local,868,-0.13935152206687107,-0.24106565243594247,4,0.0,0.0,0.0
RO,pa_minus5,ridge,gas_surroundings,868,-0.13088379359769187,-0.3177700304488946,4,0.007432059645488653,-0.09206342641144129,0.14907796047338914
RO,pa_minus5,trees,local,868,-0.05808904282735883,-0.6657275826374893,4,0.0,0.0,0.0
RO,pa_minus5,trees,gas_surroundings,868,-0.0712148078601873,-0.7118121363308241,4,-0.01240516109849743,-0.05096782600124481,0.01232267657580195
RO,pa_minus5,gpu_rbf_features,local,868,-0.018581896850407897,-0.30833156537650974,6,0.0,0.0,0.0
RO,pa_minus5,gpu_rbf_features,gas_surroundings,868,-0.02492120584074997,-0.3001892811102933,6,-0.006223661553326432,-0.1455115865171656,0.0555763999127319
RO,pa_plus5,ridge,local,868,-0.04424876715795012,-0.028973179086422496,3,0.0,0.0,0.0
RO,pa_plus5,ridge,gas_surroundings,868,-0.06875189179606944,-0.06769387428677875,3,-0.02346483463399962,-0.17215488016941854,0.036811081529121346
RO,pa_plus5,trees,local,868,0.05613691118935338,-0.2935567653411921,5,0.0,0.0,0.0
RO,pa_plus5,trees,gas_surroundings,868,0.03606690902953891,-0.28178751443349603,5,-0.021263679444340156,-0.07759833753699923,0.0033158246371780154
RO,pa_plus5,gpu_rbf_features,local,868,-0.10436523475225457,-0.32314929784968616,2,0.0,0.0,0.0
RO,pa_plus5,gpu_rbf_features,gas_surroundings,868,-0.09194586463251375,-0.27469272238183606,2,0.0112457090543302,-0.050396468749961294,0.07381628900485493
