mode,band,q,q_pass
34,high,0.9490125604418124,True
35,high,1.1403031937284096,True
36,high,1.0048549833633271,True
37,high,0.9774942312307874,True
38,high,0.9885054544159237,True
39,high,1.022661744249884,True
40,high,1.070037381267851,True
41,high,1.0474434126146275,True
42,high,1.0801843188266527,True
43,high,0.9559957706479714,True
44,high,1.100370714040805,True
45,high,0.9480981318111938,True
46,high,1.1062280911745652,True
47,high,0.9467341324970245,True
56,high,0.9229540406296983,True
57,high,1.0126305966036353,True
58,high,0.8901859801015102,True
59,high,0.9853461331506236,True
60,high,0.9720772047969083,True
61,high,1.0157782335281067,True
62,high,1.0072791963178829,True
63,high,0.9773144037221899,True
64,high,1.0728894739859305,True
65,high,1.1425490600902042,True
66,high,0.948254216984758,True
67,high,1.0210282060237121,True
68,high,0.9563401435218353,True
69,high,0.9913187322406581,True
70,high,0.9574842810324773,True
71,high,0.9827224736768182,True
80,high,0.8921287180929305,True
81,high,1.1864521264399346,True
82,high,0.964851536585834,True
83,high,0.9375983161466591,True
84,high,0.9838021657572772,True
85,high,1.096759636508172,True
86,high,1.043259882233414,True
87,high,1.1190905254417503,True
88,high,0.9969003505914174,True
89,high,0.951185103480251,True
90,high,1.0339730884920433,True
91,high,0.9702084874758403,True
92,high,1.022239082863522,True
93,high,0.9730616947609473,True
94,high,1.0210456767858485,True
95,high,0.9739697724902067,True
103,high,0.8696225129737698,True
104,high,0.9866522875084032,True
105,high,1.0146799072207973,True
106,high,1.01269927184021,True
107,high,0.9541747940686067,True
108,high,0.9681950611723759,True
109,high,0.9720514419419478,True
110,high,0.9839332645255203,True
111,high,0.9847042387734495,True
112,high,0.9790526356805759,True
113,high,0.9915262816925879,True
114,high,1.0481245560829526,True
115,high,0.9983640827633038,True
116,high,1.0278283522588771,True
117,high,1.0032475068811975,True
118,high,1.02123997051389,True
119,high,1.0055772653816202,True
127,high,1.0273464215443635,True
128,high,0.9563776296072578,True
129,high,1.0083008682691892,True
130,high,0.9527507607161466,True
131,high,0.9766387332169569,True
132,high,1.0032284128011206,True
133,high,0.9819187369818747,True
134,high,0.9958118126154114,True
135,high,1.1187631038008508,True
136,high,1.083414836203239,True
137,high,1.0845618309870173,True
138,high,1.0452573113969679,True
139,high,1.0597234882419688,True
140,high,1.0343506773459095,True
141,high,1.0468980988608394,True
142,high,1.0314432981439288,True
143,high,1.0416414536120426,True
150,high,0.9843643348072917,True
151,high,1.0385928519551542,True
152,high,1.0495133749525434,True
153,high,0.9367588948739412,True
154,high,0.9357729636751845,True
155,high,1.0620702656153496,True
156,high,1.0777182892595516,True
157,high,0.9466119011483559,True
158,high,1.1274029064300617,True
159,high,0.8840794089045743,True
160,high,0.903921110736884,True
161,high,0.987458808916242,True
162,high,0.8619594255025165,True
163,high,0.9241142373915723,True
164,high,0.8738908258680415,True
165,high,0.9095629961388655,True
166,high,0.8807875220574578,True
167,high,0.9050798561814078,True
172,high,1.0104196593901635,True
173,high,1.0382555264652764,True
174,high,0.9718983966948959,True
175,high,1.0316669027304544,True
176,high,0.8565465499775871,True
177,high,0.9416448810957663,True
178,high,0.931205136557056,True
179,high,1.0287939647976154,True
180,high,1.1136663367327386,True
181,high,0.9734691309181556,True
182,high,0.9803688608041011,True
183,high,0.9400855677552626,True
184,high,1.1044557175837224,True
185,high,0.9369641347784639,True
186,high,1.0034897907048779,True
187,high,0.9699760173954282,True
188,high,1.040074041599283,True
189,high,0.9774593070705956,True
190,high,1.0565297707368897,True
191,high,0.9798294408761321,True
193,high,0.9630878562254498,True
194,high,1.112600578719471,True
195,high,1.1019417589375127,True
196,high,1.0328555162829627,True
197,high,1.1434425213120802,True
198,high,1.0728224125869186,True
199,high,0.9818685986653883,True
200,high,0.8972003858832438,True
201,high,0.9868933142432035,True
202,high,0.9105055537678111,True
203,high,0.9832805247986959,True
204,high,0.9637320642047416,True
205,high,1.0091543937381973,True
206,high,0.8736647595272952,True
207,high,0.9627989411003137,True
208,high,1.0049806083294273,True
209,high,1.0314007085221601,True
210,high,0.9341340522895292,True
