CATID	cluster	RA_OBJ	DEC_OBJ	z_spec	r_petro	M_r	r_e	ellip	PA	mu_within_1re	g_i	Mstar	R_on_rtwo	V_on_sigma	is_mem	SURV_SAMI	BAD_CLASS	sep_deg	R_proj_Mpc_from_cat	R_proj_Mpc_direct	R_on_R200_recomputed	v_pec_kms	host_RAdeg	host_DEdeg	host_z_clus	host_sigma_200	host_e_sigma_200	host_N_mem_R200	host_N_mem_2R200	host_R_200	host_M_200_caustic	host_e_M_200_caustic	host_M_200_virial	host_e_M_200_virial
9239900357	Abell 2399	329.092	-7.90805	0.0562123	16.9867	-20.1998	4.45248	0.464096	246.465	21.5382	0.788582	9.88685	0.729921	-0.719091	1	3	0	0.300121	1.21167	1.21358	0.73107	-496.173	329.373	-7.79569	0.058	690	32	254	343	1.66	4.7	1.5	6.1	0.8
9239900663	Abell 2399	329.852	-7.57852	0.0580355	15.8238	-21.3372	6.76097	0.242473	297.673	21.4796	0.890497	10.4245	1.26972	0.0303953	1	2	0	0.522108	2.10774	2.11121	1.27181	20.9727	329.373	-7.79569	0.058	690	32	254	343	1.66	4.7	1.5	6.1	0.8
9388000021	Abell 3880	336.921	-30.5901	0.0526686	18.3043	-19.4227	4.26098	0.156829	158.304	21.5805	0.79209	9.58942	0.127179	-2.1973	1	3	0	0.0501705	0.202215	0.202219	0.127181	-1450.22	336.977	-30.5754	0.0578	660	46	160	307	1.59	4.4	1.3	4.6	1.1
9388000065	Abell 3880	336.937	-30.6993	0.0570055	14.873	-22.2558	4.64453	0.453575	30.9986	19.514	1.34112	11.1503	0.325918	-0.329087	1	7	0	0.128572	0.518209	0.518225	0.325928	-217.197	336.977	-30.5754	0.0578	660	46	160	307	1.59	4.4	1.3	4.6	1.1
9388000067	Abell 3880	337.013	-30.4475	0.0604298	17.3115	-19.7958	1.49011	0.491347	3.49207	19.5115	1.16559	10.0424	0.333785	1.14058	1	7	0	0.131676	0.530719	0.530738	0.333797	752.784	336.977	-30.5754	0.0578	660	46	160	307	1.59	4.4	1.3	4.6	1.1
9388000195	Abell 3880	336.638	-30.5898	0.0587121	16.1275	-21.0596	4.62798	0.0686242	74.2618	21.1858	1.1252	10.4912	0.740407	0.403972	1	7	0	0.292085	1.17725	1.17728	0.74043	266.621	336.977	-30.5754	0.0578	660	46	160	307	1.59	4.4	1.3	4.6	1.1
9008500268	Abell 85	10.5209	-9.53444	0.0528496	15.0667	-21.9292	10.0007	0.326188	192.857	21.716	0.872687	10.6528	0.379423	-0.570557	1	8	0	0.238889	0.918205	0.917695	0.379213	-571.699	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008500351	Abell 85	10.6487	-9.06342	0.0546578	16.1361	-20.8618	2.43561	0.351119	217.652	19.5485	1.1734	10.4535	0.482016	-0.0571292	1	7	0	0.303483	1.16648	1.16584	0.48175	-57.2434	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008500359	Abell 85	10.3039	-9.03815	0.0553185	16.7324	-20.3404	1.92671	0.226758	142.41	19.7493	1.17367	10.238	0.48712	0.130246	1	7	0	0.306696	1.17883	1.17818	0.48685	130.506	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008500477	Abell 85	10.3912	-8.93234	0.05635	16.1668	-20.8361	5.72683	0.444466	185.147	21.2417	1.24757	10.5115	0.59888	0.422572	1	7	0	0.377062	1.44929	1.44849	0.598549	423.417	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008500663	Abell 85	10.1206	-9.62499	0.0563253	17.0383	-19.9533	1.78554	0.250188	196.147	19.9458	1.19843	10.1139	0.737842	0.415579	1	7	0	0.464553	1.78558	1.78459	0.737432	416.41	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008500723	Abell 85	10.0204	-9.05073	0.0556925	15.5064	-21.4904	8.17322	0.342356	107.435	21.3084	1.27444	10.7901	0.79776	0.236268	1	7	0	0.502278	1.93058	1.92951	0.797317	236.741	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008500735	Abell 85	10.5746	-8.80886	0.0566494	16.4449	-20.6365	1.94888	0.606623	225.735	18.8201	1.18821	10.3749	0.805363	0.507369	1	7	0	0.507066	1.94898	1.9479	0.804918	508.384	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9008502105	Abell 85	10.8667	-8.25967	0.0559506	15.8506	-21.141	6.73886	0.733745	164.921	20.7234	1.03017	10.456	1.77593	0.309415	1	2	0	1.11815	4.29775	4.29537	1.77495	310.034	10.4602	-9.30318	0.0549	1002	28	590	772	2.42	15.5	3.7	17	1.3
9091700005	APMCC 0917	355.423	-29.2494	0.0512949	16.8028	-20.0879	2.02315	0.244172	175.158	19.9229	1.132	10.1167	0.0759173	0.212706	1	7	0	0.0252444	0.0903416	0.0903371	0.0759136	104.651	355.398	-29.2364	0.0509	492	47	86	119	1.19	1.8	0.7	2.1	0.6
9091700014	APMCC 0917	355.452	-29.247	0.0514055	16.7367	-20.087	2.27014	0.592674	79.77	19.4111	1.22449	10.2039	0.146218	0.276766	1	7	0	0.0486163	0.174	0.173974	0.146196	136.169	355.398	-29.2364	0.0509	492	47	86	119	1.19	1.8	0.7	2.1	0.6
9091700025	APMCC 0917	355.317	-29.224	0.0513324	15.6515	-21.1266	4.57271	0.131428	152.88	20.3833	1.34485	10.7839	0.216464	0.23442	1	7	0	0.071955	0.257592	0.257491	0.216379	115.335	355.398	-29.2364	0.0509	492	47	86	119	1.19	1.8	0.7	2.1	0.6
