recno	Name	sigmac	e_sigmac	S	Radg	e_Radg	Msat	e_Msat	logMg	e_logMg	Vsyst	e_Vsyst	Rsyst	logrho	e_logrho	logs	e_logs	logfM	e_logfM	logfs	e_logfs	BCG	SimbadName	NED	_RA	_DE
     156	A2675	 372	 156	   	    	   	-24.55	 1.79	     	     	 609	125.0	 176	     	     	     	     	     	     	      	     	BCG	ACO 2675        	NED	358.93	+11.34
     157	A2678	 361	 156	   	    	   	      	     	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	ACO 2678        	NED	358.96	+11.66
     158	AWM1 	    	    	116	1397	225	-24.11	 0.40	     	     	    	     	    	     	     	-7.37	 0.11	     	     	      	     	BCG	WBL 213         	NED	139.31	+20.05
     159	AWM5 	    	    	 88	1204	100	-24.32	 1.09	     	     	    	     	    	     	     	-7.30	 0.10	     	     	      	     	BCG	NGC 6269 GROUP  	NED	254.50	+27.85
     160	AWM7 	    	    	193	1171	208	-23.66	 0.40	     	     	    	     	    	     	     	-6.92	 0.12	     	     	      	     	BCG	WBL 088         	NED	043.63	+41.59
     161	L2027	    	    	   	    	   	-25.29	 0.73	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	SDSS-C4-DR3 2027	NED	010.76	+15.23
     162	L2030	    	    	   	    	   	-22.97	 1.43	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	SDSS-C4-DR3 2030	NED	333.70	+13.84
     163	L2069	    	    	   	    	   	-24.48	 1.78	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	SDSS-C4-DR3 2069	NED	016.84	+14.26
     164	L2093	    	    	   	    	   	-25.59	 0.40	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	SDSS-C4-DR3 2093	NED	017.36	+14.26
     165	L2211	    	    	   	    	   	-24.48	 0.67	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	SDSS-C4-DR3 2211	NED	351.32	+14.06
     166	L3009	    	    	   	    	   	      	     	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	SDSS-C4-DR3 3009	NED	140.20	+40.66
     167	L3055	    	    	   	    	   	-24.25	 1.44	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	SDSS-C4-DR3 3055	NED	116.68	+30.99
     168	L3152	    	    	   	    	   	-23.68	 0.40	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	SDSS-C4-DR3 3152	NED	258.85	+57.41
     169	L3186	    	    	   	    	   	      	     	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	SDSS-C4-DR3 3186	NED	258.95	+64.66
     170	MKW4 	    	    	   	    	   	-22.56	 1.09	     	     	    	     	    	     	     	     	     	     	     	      	     	BCG	MKW4            	NED	181.09	+01.84
