plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip
8465-12704	124.796	0.9690777	-176.5614	160.9297
8465-6104	155.7671	1.101019	-172.4142	209.4145
8466-6104	230.4558	1.015457	-24.45739	57.18031
8480-3701	44.54408	0.926219	-40.35224	60.76489
8481-12701	166.2225	0.9383662	-169.611	163.8791
8481-6101	177.7706	1.005879	5.008199	34.429
8481-6104	279.9931	1.00001	-4.447325	832.5391
8482-12702	195.1464	0.902866	-14.11472	48.6397
8482-3703	206.3139	1.010176	-174.3576	260.9047
8482-6102	226.355	0.9516172	-40.59841	50.88885
8483-6104	263.9489	0.9152169	-31.02885	23.5104
8484-12704	109.8529	0.9135342	-154.2255	191.0914
8484-1901	141.9075	1.158464	-116.2199	133.8355
8485-3704	37.72662	0.9732543	-78.15308	68.94233
8485-9101	262.273	0.8709075	-3.532446	44.25468
8486-12701	137.2923	0.8915491	-197.828	238.8475
8487-12704	49.33667	0.8767035	-82.2575	77.648
8487-6104	193.6067	0.9156271	-94.06821	92.50127
8488-12702	110.1361	0.8551211	-169.6429	178.409
8488-3703	36.51514	0.9223089	-42.35225	27.53665
8488-9101	50.58578	0.8334761	-57.91244	85.36745
8546-12701	132.6042	1.002311	-50.62257	92.57977
8547-12704	69.8933	0.8926327	-154.1969	61.62269
8547-3701	122.0594	1.039924	-22.22184	23.64083
8549-12705	138.7236	0.9208494	-152.7207	242.3322
8549-9102	61.41989	0.8951423	-111.6732	66.74063
8551-3701	71.57355	1.032822	-81.55701	55.30767
8551-3702	210.6664	0.9178153	-23.42204	44.85912
8551-6103	225.5072	1.054694	-3.664981	48.01867
8552-6104	237.9223	0.9171674	-87.27469	112.5036
8552-9102	222.6733	0.9041044	-65.13737	87.05102
8553-3703	143.2463	0.9577338	-254.5206	273.5947
8553-6104	182.1119	1.058454	-205.703	225.647
8553-9102	89.48512	0.8568311	-98.19034	109.6844
8554-3702	269.3471	0.9784821	-269.1673	42.78062
8554-6103	299.4494	0.9309661	-13.2053	52.50306
8555-6102	203.2972	0.9360864	-164.706	161.7482
8555-6103	266.8896	0.8886794	-148.0788	27.34574
8561-6101	255.264	0.9993135	-98.82704	126.5639
8561-6104	190.6857	0.9857227	-143.7563	189.9694
8562-9101	241.615	0.9157534	-126.1676	129.4957
8563-1902	76.63245	1.361783	-22.72287	38.00538
8563-3702	143.0406	1.33494	-100.3904	125.0763
8563-3703	195.7987	1.100584	-217.471	199.391
8563-9101	243.9783	0.9602829	-12.6808	57.92301
8564-12704	136.2688	0.9278111	-48.24199	86.18987
8565-1902	62.56682	1.509659	-24.43774	62.85803
8565-3702	151.2977	1.027519	-12.56638	34.11983
8566-12701	222.8544	0.9966736	-27.22593	44.20837
8567-3703	178.2244	1.030042	-188.5209	181.8644
8567-3704	220.4406	1.146658	-205.829	194.6513
8568-12704	214.0794	0.9689395	-130.2198	396.2833
8568-3701	136.4945	1.086872	-83.75459	98.14629
8568-6103	90.68731	0.893865	-193.1225	208.354
8588-12702	89.23425	0.8565538	-48.75951	32.7879
8588-12704	96.59373	0.9135229	-170.4689	204.1783
8588-12705	66.66538	0.8965161	-143.148	90.95333
8588-6102	196.7372	1.054117	-131.0397	136.7477
8588-9102	48.42345	0.8756968	-27.81135	33.04602
8591-12702	76.44872	0.8607858	-100.5036	67.11726
8591-12704	40.47968	0.8761548	-97.36961	81.51898
8591-1902	134.1531	1.136558	-107.1807	108.3304
8591-3704	279.464	0.9776372	-61.9589	62.99188
8591-6103	35.00778	0.8918334	-17.89256	53.76924
8591-9101	136.5101	0.8943719	-27.4984	275.0991
8591-9102	41.75479	0.8645897	-94.18834	66.74337
8592-12703	222.0495	0.8723873	-24.61483	25.05163
8592-6103	229.8551	0.947239	-13.71676	40.56622
8593-3701	285.0401	1.005279	-19.68229	42.37402
8593-3704	296.8054	1.071773	-196.5885	167.287
8593-6102	248.1999	0.9755092	-3.562649	57.8022
8595-12704	229.6784	0.8828426	-48.22241	35.18458
8595-3701	240.8322	0.9388074	-50.15379	82.2143
8596-12705	40.76424	0.9218208	-67.10943	59.80864
8597-1902	134.0153	1.224613	-118.5345	124.9192
8597-6104	46.21006	0.89073	-95.63051	24.06507
8598-3701	240.2595	0.9927265	-37.34601	40.96454
8598-6101	250.4455	1.088486	2.124526	69.66035
8601-12702	45.0374	0.8439838	-43.35833	73.82449
8602-3701	74.71631	0.9307323	-94.37156	115.0639
8602-6104	105.2003	0.9217756	-143.5862	128.7312
8603-12703	81.66434	0.8817536	-97.68622	109.381
8603-12704	96.23542	0.8865507	-143.5794	117.4198
8603-12705	115.8639	0.9467515	-159.9832	183.7321
8603-1901	122.5853	1.11692	-58.2709	65.69882
8603-3702	157.4812	1.064594	-167.6939	219.9783
8603-3704	184.0182	1.282472	-195.5425	196.179
8604-1901	200.7893	1.407891	-87.54395	98.06088
8604-6101	55.8126	0.9661077	-69.17445	52.30235
8604-6102	207.3683	1.026409	-11.97199	33.045
8604-6103	207.3303	1.05772	-38.09618	59.44412
8604-6104	162.2433	0.9549436	-42.6144	73.50022
8604-9101	167.9023	0.9126004	-95.83263	113.7227
8606-12704	250.4268	0.9189731	-67.11993	80.31429
8609-12703	130.2798	0.9467313	-153.1729	216.0965
