plateifu,y,baseline,break,balmer,star_formation,all_population,crossing_proxy
8616-6104,1.9845176372449538,1.9246158142243082,1.9136498928768277,1.9289576435080997,1.9190108952959657,1.9355789040687046,1.9257090324629011
8624-6104,2.2977279104409054,2.153015902971676,2.2141913426617004,2.233910026683871,2.230169236819736,2.2175676873030388,2.154422027693346
8657-3701,1.7249129954935192,1.841573895992146,1.8270084741628108,1.8159081994991726,1.8332461222642127,1.8099427394038319,1.8371294880716715
8718-6103,2.330424123234544,2.305429676537199,2.33865911632789,2.3619052083095116,2.334909127407286,2.3654052053390466,2.3004066376322876
8719-6104,1.6859763733189563,1.7375684763312627,1.7358140771816641,1.7456609043437832,1.7458177813233986,1.7375208104464475,1.739322629770447
8723-12704,1.9759116111135373,1.9837095889781575,1.9851466204438148,1.97608977340419,1.9949241323551075,1.9821703442789986,1.9842851238950763
8727-3703,1.9817616787093422,1.9372716872196452,1.8515924012778917,1.8510572796226807,1.9114231875805645,1.821563789637222,1.9407170851869706
8931-1902,1.8429332172360966,1.8321709383681917,1.8419459368643687,1.8474267085467013,1.8402089546247289,1.8213485463751493,1.8133451238954357
8932-9102,1.9521020587208866,1.8197894870654017,1.820536973175519,1.8290274571164131,1.8359378022179729,1.8294228660845442,1.8171317247250178
8934-3701,1.9400034954516763,1.7961231680671896,1.8012073395757593,1.7842116123433314,1.7959441820028639,1.80717554525932,1.7898938927901864
8937-3704,2.1001847238412528,2.0421583474797185,2.122684304207404,2.1033273109731914,2.0457736055833946,2.1548188398831005,2.041522585384744
8941-6101,1.9041445839754572,1.8960844977775684,1.88763949821135,1.8640026599453468,1.8840607273280214,1.8857313940837233,1.9025868939769237
8944-12702,2.0766826697481524,1.9643983600629353,1.949686391937591,1.9682690937090324,1.9617388449593889,1.9598677034121534,1.9642993446101211
8944-6103,2.0105276470765716,1.945886360937948,1.9452068287807018,1.9371451841623528,1.9472029070264085,1.9449177506129482,1.9574475125698971
8946-6102,1.938668050436764,1.9857883339241305,1.984605488911692,1.989344505917441,1.9753283663258323,1.9790243033493362,1.9879591533031962
8948-1901,2.276561749338529,2.0871318514295787,2.138360005935378,2.1450921399174883,2.0601872777780077,2.1657997071586217,2.0693928329553053
8948-9101,1.6869089134489748,1.7383639021480148,1.744653270206638,1.7440878675130222,1.7445501423938667,1.742042185156679,1.7443207359268282
8977-12704,1.9440332904065227,1.7213991339642278,1.7323103063371497,1.720458944438312,1.7445001360419752,1.7514146362027205,1.7203526163158451
8982-12704,2.1873971831487293,2.016860273547395,2.014818312440603,2.021497532270646,2.031826232419652,2.019612442946971,2.001095627671338
8982-3701,2.3085612123616137,2.331585415315848,2.2929990346259745,2.291559737088411,2.2568290913280262,2.2581689559841034,2.3377777019190296
8985-1901,1.7884524793687067,1.7611376586491494,1.7553549812746452,1.75663955479108,1.7548611841268351,1.7806024932392053,1.7541925824934486
8991-12705,1.811442552665862,1.8698475682979454,1.8699772926430536,1.8732029860391164,1.8798955144814844,1.8635993536752389,1.8681044469010202
8993-3701,2.19784546275177,2.293304634890716,2.302038426442544,2.3079417446113655,2.3258577655157207,2.30352892112395,2.3017340325718707
8994-9101,1.8128409904718907,1.9125380782049428,1.9034936053332727,1.9039031126059858,1.9041164301614768,1.9090105599880403,1.9108494136511904
8999-1902,2.045141397913413,2.0179344155834125,2.016255878166376,2.033461768375442,2.050257629279587,2.006117884173918,2.0192198015772216
9024-1902,1.9034460167793972,1.8553671878548774,1.834992995427816,1.835997497107545,1.8605063960107486,1.8320021252984409,1.8388073674948557
9024-6102,1.875402889795013,1.8673610078313432,1.8781426196947368,1.8787831041394727,1.877235591517336,1.8803798794067093,1.8800199971852807
9027-12702,1.778541216459671,1.7751601034508673,1.7904112320443155,1.7872801049539395,1.784371176765861,1.7920941746377241,1.787278272772355
9028-3702,2.0904866059610376,2.1313770982194753,2.0994920553611536,2.086652281881705,2.118883201641387,2.0831843671065,2.1312012246966923
9029-3702,2.1590306104612655,2.085696301654442,2.15524354308904,2.1642763789905737,2.1529055069670395,2.1727602403345863,2.0811189680879045
9030-6103,2.0798094327696446,2.1242939198908424,2.2162743292452913,2.2140566088273155,2.1918047739577537,2.236211214839637,2.1539831921393984
9036-12705,1.6181438402421857,1.748845180214776,1.7554869864635863,1.763189118858632,1.7475339772707115,1.7611412265099302,1.7481876591835095
9036-3702,2.3190177333692197,2.2569963550529093,2.2286112944651686,2.2136524577242533,2.3028118410674665,2.2344902611705817,2.256661773836723
9037-6104,2.3133202131189834,2.332243383060062,2.308222490821462,2.321871549159813,2.345858084119568,2.2827550376861234,2.328071483021003
9038-6101,2.385442890953452,2.2763171835368285,2.3685974114021286,2.373506659156223,2.3203288318802024,2.39539336843018,2.262018948902268
9039-6102,2.176750885478996,2.190480315758196,2.1205117821677346,2.1173305561464963,2.1149363895845874,2.1004276455494906,2.192738049596902
9040-3702,1.994385261600037,2.0187975627736146,2.0136215465219807,1.9975976930381107,2.0405013654392183,1.984556841299439,2.0323486316320407
9043-3703,2.4407021134650853,2.341487987823065,2.3818887580486288,2.3920907519932695,2.357300169647116,2.3926852430098835,2.3452792060066283
9043-6101,2.2340612374151974,2.288928693684229,2.339990135937564,2.3249701230339683,2.323973059464517,2.341880244434747,2.3083166239398016
9044-12704,2.290361656700602,2.274456782499228,2.236012049403142,2.223160640863902,2.206682083030139,2.208327366800373,2.2680210432424484
9045-12704,1.8159609403919705,1.8891063627617053,1.8858033057853882,1.9080248339418913,1.8858523224176789,1.9006457128026968,1.8821885711829698
9045-3704,2.3120260042633136,2.250055900233894,2.2284510193074936,2.207289579927944,2.2037667465381885,2.2093900341737847,2.2527094123773344
9046-3702,2.2141455027572627,2.1994304446009503,2.2510328381512417,2.2825791739033674,2.2587826885109075,2.2791514062630336,2.2058156446441353
9047-3703,2.315669592071778,2.4453625100319782,2.354944373219124,2.3282516674592357,2.414804842941966,2.295901669723663,2.447027606663749
9048-9101,1.9731715118611046,1.920268343007092,1.9231160225880906,1.9212533200655855,1.9259688150968204,1.9303834943026124,1.9274843510146633
9049-3704,1.7411531752354283,1.6904996748508396,1.689950050385805,1.6999796483318785,1.6853672907011807,1.692865689684498,1.6911556395635687
9050-9102,2.0465369139088296,2.035974845037769,2.039250543611724,2.0809730259248647,2.0865120918577866,2.067684977475203,2.0400567040056257
9085-1902,2.223496979322138,2.3609924929284727,2.268740751424656,2.2609797651992496,2.3537048253329127,2.2533420560308914,2.347853171867986
9085-6101,2.2206587172502066,2.172466947503078,2.146786359121134,2.143668332432961,2.1464605290037286,2.153502622492173,2.166775827891072
9087-3704,2.1634148382999467,2.0851110114883413,2.132305007840041,2.097434419415001,2.106757940703512,2.1129297694892366,2.079981248965682
9092-3703,2.3564266771223723,2.314180717960557,2.3482522862312325,2.372061884609682,2.3558667028201534,2.369766374470749,2.3133538907052853
9093-12701,2.0780400869932016,1.9595341765438667,1.9736027144201773,1.955838354814254,1.9636518334743518,1.9604850693722093,1.9670169600470868
9182-12703,2.054801054944762,2.117023122063842,2.130024582952124,2.128061062025869,2.1311298163840156,2.135934275246257,2.112153816253613
9183-3704,2.176070701963683,2.1537098676561603,2.130656668461676,2.1339758166701075,2.149695180538182,2.1470821074900677,2.151955608661109
9186-3701,1.821007867334791,2.008136850434449,1.9845840213694783,2.0041554030856874,2.0153641720152153,2.0089659211347617,2.0262577352464084
