key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method,table,confirmed_star_cluster
donatiello_7,9.395083,-29.4791,Donatiello VII,ngc_0253,0,0,0.1267,0.005,0.005,-57.0,2.0,2.0,0.47,0.02,0.02,,MartinezDelgado2026A&A...705A..77M,27.7,,,,20.44,0.02,0.02,MartinezDelgado2026A&A...705A..77M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12666666666666665,0.005,0.005,0.43,0.03,0.03,MartinezDelgado2026A&A...705A..77M,,,,,,,,,,,,,,,,,,,,,,-7.26,0.02,0.02,5.14,3467.37,,,354.498645,-86.1493867,-185.65,-3453.99,-241.13,3466.84,3294.07,3359.49,286.72,,,,,,,,,,,,,127.65,4.97,5.01,92.94,4.06,4.01,26.15,host,dwarf_local_field_distant,
donatiello_8,10.1454167,-20.5571111,Donatiello VIII,ngc_0253,1,1,0.212,0.0062,0.0062,12.9,0.8,0.8,0.689,0.009,0.009,,Fielder2025arXiv251202118F,27.6,0.16,0.16,Fielder2025arXiv251202118F,19.34,0.17,0.17,Fielder2025arXiv251202118F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.03333333333333333,0.03333333333333333,1.09,0.08,0.08,MartinezDelgado2026A&A...705A..77M,,,,,,,,,,,,0.57,Fielder2025arXiv251202118F,,,,,,,,,-8.26,0.17,0.17,5.54,3311.31,0.0,0.0,101.6729418,-82.9763614,328.83,-3292.5,-126.95,3311.52,3023.25,3146.72,334.04,,6.17,,,,,,,,,,,204.08,5.85,5.91,113.83,3.72,3.64,25.59,trgb,dwarf_local_field_distant,
donatiello_9,10.676,-23.76961,Donatiello IX,ngc_0253,0,0,0.2583,0.0133,0.0133,-27.0,2.0,2.0,0.57,0.01,0.01,,MartinezDelgado2026A&A...705A..77M,27.7,,,,19.75,0.03,0.03,MartinezDelgado2026A&A...705A..77M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2583333333333333,0.013333333333333334,0.013333333333333334,0.76,0.05,0.05,MartinezDelgado2026A&A...705A..77M,,,,,,,,,,,,,,,,,,,,,,-7.95,0.03,0.03,5.41,3467.37,,,92.0418775,-86.1056738,165.56,-3456.77,-214.36,3467.4,3217.64,3322.25,113.56,,,,,,,,,,,,,260.28,13.25,13.37,170.67,8.9,9.0,26.78,host,dwarf_local_field_distant,
dw0741p4005,115.3924,40.0843,dw0741p4005,ddo_046,1,1,0.0937,0.0067,,,,,,,,,Li2026ApJ..1002...75L,30.06,0.46,0.48,Li2026ApJ..1002...75L,18.34,0.1,0.1,Li2026ApJ..1002...75L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.72,0.1,0.1,6.92,10280.16,0.0,0.0,179.2705915,26.1917156,6865.93,5188.01,-5623.65,10287.45,10091.41,10178.83,95.38,,,,,,,,,,,,,280.1,,,280.1,,,24.09,sbf,dwarf_local_field_distant,
dw1008p7038b,152.2005,70.6456,dw1008p7038b,ugc_05423,1,1,10.5,0.7,0.7,,,,,,,,Li2026ApJ..1002...75L,30.13,0.25,0.28,Li2026ApJ..1002...75L,17.66,0.1,0.1,Li2026ApJ..1002...75L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.47,0.1,0.1,7.22,10616.96,0.0,0.0,139.5162681,40.8412168,8026.36,6934.03,465.33,10621.63,10309.2,10457.02,1746.66,,,,,,,,,,,,,32382.9,2130.03,2149.63,32382.9,2130.03,2149.63,33.65,sbf,dwarf_local_field_distant,
dw1009p7032,152.3942,70.5489,dw1009p7032,ugc_05423,1,1,12.8,0.9,0.9,,,,,,,,Li2026ApJ..1002...75L,29.77,,,Karachentsev2013AJ....145..101K,17.76,0.1,0.1,Li2026ApJ..1002...75L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.01,0.1,0.1,7.04,8994.98,0.0,0.0,139.559453,40.9526888,6788.51,5888.37,391.04,8999.65,8693.15,8836.84,137.37,,,,,,,,,,,,,33442.88,2320.23,2341.58,33442.88,2320.23,2341.58,34.18,trgb,dwarf_local_field_distant,
dw1242p4115,190.547,41.2525,dw1242p4115,ngc_4618,1,1,12.8,1.1,1.1,,,,,,,,Li2026ApJ..1002...75L,29.5,0.22,0.2,Li2026ApJ..1002...75L,17.93,0.1,0.1,Li2026ApJ..1002...75L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.57,0.1,0.1,6.86,7943.28,0.0,0.0,130.0100708,75.7483764,1939.37,7624.45,1096.47,7944.57,8081.09,8003.07,288.11,,,,,,,,,,,,,29523.17,2504.27,2527.31,29523.17,2504.27,2527.31,34.35,sbf,dwarf_local_field_distant,
dw1250p5056,192.7354,50.9346,dw1250p5056,ngc_4707,1,1,4.11,0.3,0.3,,,,,,,,Li2026ApJ..1002...75L,29.46,0.4,0.47,Li2026ApJ..1002...75L,18.77,0.11,0.11,Li2026ApJ..1002...75L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.69,0.11,0.11,6.51,7798.3,0.0,0.0,123.1256449,66.1934657,3051.0,7006.15,1555.23,7800.1,7806.89,7792.94,1283.31,,,,,,,,,,,,,9309.18,670.52,676.69,9309.18,670.52,676.69,32.73,sbf,dwarf_local_field_distant,
dw1259m1735,194.9186,-17.5966,dw1259m1735,ddo_161,1,1,0.2567,0.0167,0.0167,,,,,,,,Li2026ApJ...998L..24L,28.88,0.12,0.13,Li2026ApJ...998L..24L,17.28,0.09,0.09,Li2026ApJ...998L..24L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.6,0.09,0.09,6.87,5970.35,0.0,0.0,305.7194427,45.2305638,-4118.03,4306.34,-377.34,5967.02,6687.21,6327.01,107.14,,,,,,,,,,,,,445.16,28.52,28.78,445.16,28.52,28.78,25.21,sbf,dwarf_local_field_distant,
dw1301m1627,195.3665,-16.4598,dw1301m1627,ddo_161,1,1,0.285,0.0167,0.0167,,,,,,,,Li2026ApJ...998L..24L,29.0,0.17,0.18,Li2026ApJ...998L..24L,17.64,0.1,0.1,Li2026ApJ...998L..24L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.36,0.1,0.1,6.78,6309.57,0.0,0.0,306.4157819,46.344102,-4276.3,4628.34,-320.13,6306.25,7020.08,6662.97,305.89,,,,,,,,,,,,,522.45,30.14,30.42,522.45,30.14,30.42,25.8,sbf,dwarf_local_field_distant,
dw1305m1715,196.2662,-17.2573,dw1305m1715,ddo_161,1,1,0.1367,0.005,0.005,,,,,,,,Li2026ApJ...998L..24L,28.97,0.14,0.15,Li2026ApJ...998L..24L,16.61,0.09,0.09,Li2026ApJ...998L..24L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.36,0.09,0.09,7.18,6223.0,0.0,0.0,307.5752024,45.4915567,-4298.82,4492.64,-249.09,6219.54,6936.91,6578.17,203.36,,,,,,,,,,,,,247.21,8.92,9.0,247.21,8.92,9.0,23.18,sbf,dwarf_local_field_distant,
dw1343+58,205.779167,58.227778,dw1343+58,,1,1,0.4767,0.0217,0.0217,,,,,,,,Muller2017A&A...602A.119M,28.74,,,Tully2009AJ....138..323T,15.32,,,Muller2017A&A...602A.119M,195.0,1.0,1.0,,,,,Karunakaran2020AJ....159...37K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.12,0.12,,Karunakaran2020AJ....159...37K,,,,,,,,,-13.42,,,7.6,5597.58,0.0,0.0,110.2367956,57.6085671,2668.62,4547.37,1879.56,5599.09,5512.12,5541.44,nan,6.66,,,,,,322.63,337.67,,,,,775.41,34.76,35.08,775.41,34.76,35.08,24.6,trgb,dwarf_local_field_distant,
dw_0128-4116,22.179167,-41.276111,Dw0128-4116,ngc_0625,0,0,0.68,,,,,,0.52,,,,Karachentsev2025PASA...42...26K,28.02,,,,17.37,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.65,,,6.49,4017.91,,,276.8787439,-73.9124327,-846.74,-3757.52,-1143.54,4017.65,4000.89,3990.58,84.53,,,,,,,,,,,,,794.76,,,550.62,,,26.62,host,dwarf_local_field_distant,
dw_0312-6643,48.087917,-66.721111,Dw0312-6643,ngc_1313,0,0,0.64,,,,,,0.63,,,,Karachentsev2025PASA...42...26K,28.17,,,,20.69,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.48,,,5.23,4305.27,,,284.1494723,-44.9246677,-2550.1,-2837.96,-1994.57,4303.87,4648.67,4463.41,47.13,,,,,,,,,,,,,801.5,,,487.54,,,29.53,host,dwarf_local_field_distant,
dw_1105-3041,166.447917,-30.688611,Dw1105-3041,ngc_3621,0,0,0.77,,,,,,0.84,,,,Karachentsev2025PASA...42...26K,29.11,,,,19.69,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.42,,,6.0,6637.43,,,277.5273276,26.919723,-4544.04,3404.17,-3437.85,6636.49,7362.1,6998.36,393.48,,,,,,,,,,,,,1486.68,,,594.67,,,28.02,host,dwarf_local_field_distant,
dw_1128-3225,172.242083,-32.423056,Dw1128-3225,ngc_3621,0,0,0.47,,,,,,0.55,,,,Karachentsev2025PASA...42...26K,29.11,,,,20.19,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.92,,,5.8,6637.43,,,283.3903705,27.300095,-4890.94,3388.64,-2941.3,6635.76,7382.71,7009.21,264.84,,,,,,,,,,,,,907.45,,,608.74,,,28.57,host,dwarf_local_field_distant,
dw_1231-1216,187.775,-12.27,Dw1231-1216,ngc_4594,0,0,0.72,,,,,,0.73,,,,Karachentsev2025PASA...42...26K,29.9,,,,18.39,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.51,,,6.84,9549.93,,,295.1411543,50.2938445,-5647.55,7556.47,-1485.24,9547.72,10235.11,9890.81,377.9,,,,,,,,,,,,,2000.13,,,1039.3,,,27.14,host,dwarf_local_field_distant,
dw_1244-0842,191.007917,-8.713056,Dw1244-0842,ngc_4594,0,0,0.56,,,,,,0.58,,,,Karachentsev2025PASA...42...26K,29.9,,,,19.29,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.61,,,6.48,9549.93,,,299.8086727,54.1137721,-5337.06,7876.09,-827.07,9547.56,10212.76,9879.26,512.57,,,,,,,,,,,,,1555.66,,,1008.18,,,27.98,host,dwarf_local_field_distant,
dw_1244-0951,191.020833,-9.85,Dw1244-0951,ngc_4594,0,0,0.24,,,,,,0.75,,,,Karachentsev2025PASA...42...26K,29.9,,,,21.49,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.41,,,5.6,9549.93,,,299.9224075,52.9787662,-5485.56,7768.23,-874.25,9547.49,10220.38,9883.2,339.81,,,,,,,,,,,,,666.71,,,333.36,,,27.78,host,dwarf_local_field_distant,
dw_1245-1332,191.477083,-13.541944,Dw1245-1332,ngc_4594,0,0,0.87,,,,,,0.7,,,,Karachentsev2025PASA...42...26K,29.9,,,,18.49,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.41,,,6.8,9549.93,,,300.8703784,49.3076685,-5970.12,7391.62,-960.55,9547.21,10243.38,9895.09,400.37,,,,,,,,,,,,,2416.83,,,1323.75,,,27.77,host,dwarf_local_field_distant,
dw_1249-0928,192.312917,-9.468889,Dw1249-0928,ngc_4594,0,0,0.51,,,,,,0.6,,,,Karachentsev2025PASA...42...26K,29.9,,,,21.19,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.71,,,5.72,9549.93,,,302.0277097,53.3990202,-5491.11,7786.0,-653.43,9547.36,10217.65,9881.78,522.43,,,,,,,,,,,,,1416.76,,,896.04,,,29.62,host,dwarf_local_field_distant,
dw_1258-0948,194.6,-9.815,Dw1258-0948,ngc_4594,0,0,0.53,,,,,,0.68,,,,Karachentsev2025PASA...42...26K,29.9,,,,21.09,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.81,,,5.76,9549.93,,,305.7836559,53.0181937,-5627.8,7709.39,-307.03,9547.07,10218.91,9882.44,811.67,,,,,,,,,,,,,1472.32,,,832.87,,,29.36,host,dwarf_local_field_distant,
dw_1259-1407,194.975833,-14.123056,Dw1259-1407,ngc_4594,0,0,0.61,,,,,,0.9,,,,Karachentsev2025PASA...42...26K,29.9,,,,20.39,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.51,,,6.04,9549.93,,,306.0422628,48.6975606,-6180.48,7266.94,-440.82,9546.77,10245.33,9896.1,909.7,,,,,,,,,,,,,1694.56,,,535.87,,,27.71,host,dwarf_local_field_distant,
dw_1259-1429,194.755833,-14.483889,Dw1259-1429,ngc_4594,0,0,0.66,,,,,,0.68,,,,Karachentsev2025PASA...42...26K,29.9,,,,18.79,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.11,,,6.68,9549.93,,,305.6951191,48.3471574,-6215.72,7233.59,-491.07,9546.78,10247.55,9897.25,907.65,,,,,,,,,,,,,1833.45,,,1037.16,,,27.54,host,dwarf_local_field_distant,
dw_1301-1627,195.367083,-16.461111,Dw1301-1627,ngc_5068,0,0,0.76,,,,,,0.61,,,,Karachentsev2025PASA...42...26K,28.56,,,,18.59,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.97,,,6.22,5152.29,,,306.4164834,46.3427616,-3492.04,3779.33,-261.4,5148.96,5864.33,5506.12,554.19,,,,,,,,,,,,,1139.04,,,711.33,,,27.86,host,dwarf_local_field_distant,
dw_1309-1721,197.325,-17.365,Dw1309-1721,ngc_5068,0,0,0.52,,,,,,0.78,,,,Karachentsev2025PASA...42...26K,28.56,,,,19.59,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.97,,,5.82,5152.29,,,308.9958973,45.2963323,-3585.68,3697.86,-121.51,5148.7,5867.12,5507.6,388.33,,,,,,,,,,,,,779.34,,,365.54,,,27.42,host,dwarf_local_field_distant,
dw_1314-1817,198.645833,-18.288889,Dw1314-1817,ngc_5068,0,0,0.83,,,,,,0.81,,,,Karachentsev2025PASA...42...26K,28.56,,,,17.69,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.87,,,6.58,5152.29,,,310.6102722,44.2375146,-3665.72,3620.4,-36.18,5148.5,5870.08,5509.18,263.79,,,,,,,,,,,,,1243.95,,,542.23,,,26.37,host,dwarf_local_field_distant,
dw_1321-1935,200.495833,-19.591944,Dw1321-1935,ngc_5068,0,0,0.89,,,,,,0.94,,,,Karachentsev2025PASA...42...26K,28.56,,,,18.31,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.25,,,6.33,5152.29,,,312.739607,42.6973603,-3774.29,3506.32,80.78,5148.24,5873.6,5511.05,145.26,,,,,,,,,,,,,1333.88,,,326.73,,,25.89,host,dwarf_local_field_distant,
dw_1321-2202,200.267083,-22.033056,Dw1321-2202,ngc_5068,0,0,0.84,,,,,,0.74,,,,Karachentsev2025PASA...42...26K,28.56,,,,17.75,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.81,,,6.56,5152.29,,,311.9500177,40.3192763,-3910.8,3354.35,-1.82,5148.15,5884.16,5516.68,100.01,,,,,,,,,,,,,1258.94,,,641.94,,,26.8,host,dwarf_local_field_distant,
dw_1324-2017,201.225833,-20.298056,Dw1324-2017,ngc_5068,0,0,0.41,,,,,,0.7,,,,Karachentsev2025PASA...42...26K,28.56,,,,20.19,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.37,,,5.58,5152.29,,,313.4943493,41.8863154,-3826.96,3447.58,120.99,5148.13,5875.6,5512.12,142.37,,,,,,,,,,,,,614.48,,,336.57,,,27.84,host,dwarf_local_field_distant,
dw_1844-6232,281.227083,-62.546944,Dw1844-6232,ngc_6744,0,0,0.46,,,,,,0.86,,,,Karachentsev2025PASA...42...26K,29.89,,,,19.73,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.16,,,6.3,9506.05,,,333.0077852,-23.1379769,-8417.83,-3972.05,1930.77,9499.39,9977.81,9737.04,512.84,,,,,,,,,,,,,1271.99,,,475.94,,,26.8,host,dwarf_local_field_distant,
dw_1851-6355,282.929167,-63.92,Dw1851-6355,ngc_6744,0,0,0.38,,,,,,0.8,,,,Karachentsev2025PASA...42...26K,29.89,,,,20.69,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.2,,,5.91,9506.05,,,331.7485371,-24.2068407,-8398.61,-4111.1,1710.89,9499.52,9975.93,9736.07,329.55,,,,,,,,,,,,,1050.77,,,469.92,,,27.73,host,dwarf_local_field_distant,
dw_1851-6356,282.925833,-63.935,Dw1851-6356,ngc_6744,0,0,0.28,,,,,,0.85,,,,Karachentsev2025PASA...42...26K,29.89,,,,21.49,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.4,,,5.59,9506.05,,,331.7321377,-24.2086912,-8399.1,-4111.11,1708.43,9499.52,9976.0,9736.11,329.79,,,,,,,,,,,,,774.26,,,299.87,,,27.56,host,dwarf_local_field_distant,
dw_1851-6400,282.792917,-64.008056,Dw1851-6400,ngc_6744,0,0,0.53,,,,,,0.9,,,,Karachentsev2025PASA...42...26K,29.89,,,,17.97,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.92,,,7.0,9506.05,,,331.6399755,-24.1678109,-8405.25,-4103.55,1696.37,9499.53,9976.86,9736.55,339.71,,,,,,,,,,,,,1465.55,,,463.45,,,24.98,host,dwarf_local_field_distant,
dw_1851-6511,282.912917,-65.193889,Dw1851-6511,ngc_6744,0,0,0.56,,,,,,0.93,,,,Karachentsev2025PASA...42...26K,29.89,,,,21.19,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7,,,5.71,9506.05,,,330.3811357,-24.4727046,-8429.88,-4128.47,1502.58,9499.62,9981.09,9738.72,391.7,,,,,,,,,,,,,1548.51,,,409.7,,,27.93,host,dwarf_local_field_distant,
dw_2140-5544,325.247083,-55.746944,Dw2140-5544,ngc_7090,0,0,0.88,,,,,,0.61,,,,Karachentsev2025PASA...42...26K,29.89,,,,18.59,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.3,,,6.75,9506.05,,,339.3931966,-45.6100492,-6164.62,-7026.19,1730.64,9500.73,9727.89,9609.77,224.48,,,,,,,,,,,,,2433.37,,,1519.64,,,28.18,host,dwarf_local_field_distant,
dw_2256-4107,344.057917,-41.128611,Dw2256-4107,ngc_7424,0,0,3.0,,,,,,0.38,,,,Karachentsev2025PASA...42...26K,29.97,,,,16.69,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.28,,,7.55,9862.79,,,354.8443356,-62.5439913,-3608.95,-9003.27,1786.44,9859.07,9837.18,9842.34,36.24,,,,,,,,,,,,,8606.91,,,6777.09,,,29.45,host,dwarf_local_field_distant,
dw_2256-4250,344.159167,-42.843889,Dw2256-4250,ngc_7424,0,0,1.42,,,,,,0.68,,,,Karachentsev2025PASA...42...26K,29.97,,,,16.89,,,Karachentsev2025PASA...42...26K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.08,,,7.47,9862.79,,,351.3936753,-61.939114,-3845.29,-8936.28,1622.14,9859.02,9858.71,9853.11,305.97,,,,,,,,,,,,,4073.94,,,2304.57,,,27.3,host,dwarf_local_field_distant,
eso_059-001,112.830417,-68.186111,ESO 059-001,,1,1,,,,,,,,,,,,28.33,0.03,0.03,Tully2009AJ....138..323T,13.0,,,Karachentsev2013AJ....145..101K,530.0,3.0,3.0,,,,,Kirby2012MNRAS.420.2924K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,2.2,2.2,,Kirby2012MNRAS.420.2924K,,,,,,,,,-15.33,,,8.37,4634.47,0.0,0.0,279.7732466,-21.4735022,-3417.12,-1396.58,-2801.99,4633.19,5187.43,4903.37,nan,8.0,,,,,,303.95,246.77,,,,,,,,,,,,trgb,dwarf_local_field_distant,
eso_104-044,287.84625,-64.219167,ESO104-044,ngc_6744,1,1,0.5983,0.03,0.03,,,,,,,,Carlsten2022ApJ...933...47C,29.94,0.18,0.18,Tully2009AJ....138..323T,14.23,0.09,0.09,Carlsten2022ApJ...933...47C,750.0,,,,,,,Karachentsev2013AJ....145..101K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,Karachentsev2013AJ....145..101K,,,,,,,,,-15.71,0.09,0.09,8.52,9727.47,0.0,0.0,331.8544437,-26.3750175,-8437.9,-4535.06,1690.8,9721.06,10177.41,9947.4,231.5,8.47,,,,,,652.94,613.72,,,,,1691.29,83.64,84.41,1691.29,83.64,84.41,24.0,trgb,dwarf_local_field_distant,
eso_115-021,39.4375,-61.341111,ESO 115-021,,1,1,1.5958,0.0762,0.0762,,,,0.87,0.02,0.02,,Carlsten2021ApJ...922..267C,28.53,0.02,0.02,Tully2009AJ....138..323T,12.75,0.09,0.09,Carlsten2021ApJ...922..267C,515.0,2.0,2.0,,,,,Koribalski2004AJ....128...16K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.517,,,,Koribalski2004AJ....128...16K,,,,,,,,,-15.78,0.09,0.09,8.55,5081.59,0.0,0.0,282.800862,-51.4302026,-2608.84,-3751.01,-2224.08,5080.48,5338.32,5197.06,nan,8.58,,,,,,361.38,338.57,,,,,2356.59,110.93,111.95,847.93,78.12,76.27,22.43,trgb,dwarf_local_field_distant,
eso_121-020,93.977083,-57.726389,ESO 121-020,,1,1,0.3418,0.0175,0.0175,,,,0.29,0.02,0.02,,Carlsten2021ApJ...922..267C,28.92,0.05,0.05,Tully2009AJ....138..323T,15.28,0.09,0.09,Carlsten2021ApJ...922..267C,587.0,2.0,2.0,,,,,Kirby2012MNRAS.420.2924K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.2,1.2,,Kirby2012MNRAS.420.2924K,,,,,,,,,-13.64,0.09,0.09,7.69,6081.35,0.0,0.0,266.5064027,-27.3171299,-3410.3,-2312.52,-4472.68,6081.8,6512.13,6288.44,nan,7.94,,,,,,364.93,318.84,,,,,604.06,30.5,30.78,508.99,26.7,26.93,23.46,trgb,dwarf_local_field_distant,
eso_137-018,245.247083,-60.4875,ESO 137-018,,1,1,,,,,,,,,,,,28.84,0.08,0.08,Tully2009AJ....138..323T,10.63,,,Karachentsev2013AJ....145..101K,603.0,1.0,1.0,,,,,Kirby2012MNRAS.420.2924K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,1.5,1.5,,Kirby2012MNRAS.420.2924K,,,,,,,,,-18.21,,,9.52,5861.38,0.0,0.0,326.1061312,-7.4259132,-5744.79,-850.12,794.03,5854.7,6491.15,6172.08,nan,8.59,,,,,,476.8,418.19,,,,,,,,,,,,trgb,dwarf_local_field_distant,
