galaxy,model,Ydisk,e_Ydisk,Ybul,e_Ybul,D,e_D,inc,e_inc,V200,e_V200,C200,e_C200,rs,e_rs,log_rhos,e_log_rhos,log_M200,e_log_M200,alpha,e_alpha,Chi,rho_s_msun_kpc3,nonfinite_published_chi
NGC1090,NFW-LCDM,0.54,0.1,0.0,0.0,32.52,4.89,63.9,2.9,117.06,6.85,9.11,2.14,17.61,4.27,-2.28,0.33,11.71,0.08,0.0,0.0,2.77,5248074.602497728,False
NGC1705,Burkert-Flat,0.54,0.15,0.0,0.0,5.78,0.29,81.2,7.9,34.38,2.12,60.58,11.83,0.78,0.16,-0.18,0.28,10.11,0.08,0.0,0.0,0.84,660693448.007596,False
NGC1705,NFW-Flat,0.51,0.13,0.0,0.0,5.73,0.29,79.6,8.2,39.32,3.2,37.02,8.58,1.46,0.36,-0.73,0.34,10.29,0.11,0.0,0.0,0.15,186208713.66628674,False
NGC1705,NFW-LCDM,0.82,0.23,0.0,0.0,5.97,0.28,83.9,5.8,58.92,4.03,14.57,2.69,5.54,1.09,-1.77,0.27,10.81,0.09,0.0,0.0,1.33,16982436.524617445,False
NGC2366,Burkert-Flat,0.38,0.07,0.0,0.0,3.27,0.16,67.7,5.1,34.46,1.91,19.39,1.53,2.43,0.23,-1.49,0.15,10.12,0.07,0.0,0.0,0.86,32359365.692962825,False
NGC2366,NFW-Flat,0.34,0.06,0.0,0.0,3.4,0.16,72.1,4.6,93.11,42.32,2.87,0.89,44.51,24.52,-3.42,0.94,11.41,0.59,0.0,0.0,3.49,380189.39632056124,False
NGC2366,NFW-LCDM,0.31,0.05,0.0,0.0,3.42,0.16,75.1,4.0,49.9,2.39,5.58,0.54,12.25,1.31,-2.78,0.16,10.6,0.06,0.0,0.0,3.91,1659586.9074375613,False
NGC2403,Burkert-Flat,0.9,0.07,0.0,0.0,2.99,0.15,58.9,2.9,84.99,2.6,21.0,0.96,5.55,0.31,-1.4,0.08,11.29,0.04,0.0,0.0,11.63,39810717.05534974,False
NGC2403,NFW-Flat,0.39,0.05,0.0,0.0,2.79,0.16,54.1,3.1,93.69,3.87,19.22,1.25,6.68,0.51,-1.47,0.11,11.42,0.05,0.0,0.0,8.98,33884415.61392026,False
NGC2403,NFW-LCDM,0.39,0.04,0.0,0.0,2.83,0.16,57.0,2.9,91.68,3.23,17.99,1.04,6.98,0.47,-1.54,0.1,11.39,0.05,0.0,0.0,9.09,28840315.031266056,False
NGC2683,Burkert-Flat,0.5,0.1,0.67,0.17,9.77,0.48,80.2,4.8,90.62,4.32,31.56,8.78,3.93,1.11,-0.94,0.38,11.37,0.06,0.0,0.0,1.25,114815362.14968829,False
NGC2683,NFW-Flat,0.48,0.09,0.66,0.16,9.8,0.48,78.8,4.8,98.49,7.42,21.33,7.42,6.33,2.25,-1.35,0.48,11.48,0.1,0.0,0.0,1.5,44668359.2150963,False
NGC2683,NFW-LCDM,0.66,0.07,0.67,0.16,9.81,0.47,80.6,4.6,126.88,10.91,6.93,2.15,25.09,8.06,-2.56,0.44,11.81,0.11,0.0,0.0,2.66,2754228.703338166,False
NGC2841,Burkert-Flat,1.07,0.11,0.84,0.09,15.95,1.16,82.2,5.7,199.71,6.59,10.42,0.91,26.25,2.44,-2.17,0.13,12.4,0.04,0.0,0.0,1.81,6760829.753919818,False
NGC2841,NFW-Flat,0.94,0.1,0.83,0.09,15.49,1.2,82.1,6.2,229.93,11.74,5.47,0.9,57.58,9.88,-2.8,0.24,12.59,0.07,0.0,0.0,1.48,1584893.1924611141,False
NGC2841,NFW-LCDM,1.0,0.11,0.88,0.09,14.47,1.12,83.9,5.6,226.94,11.51,5.84,0.82,53.24,7.92,-2.74,0.21,12.57,0.07,0.0,0.0,1.47,1819700.8586099825,False
NGC2903,Burkert-Flat,0.47,0.1,0.0,0.0,5.16,1.03,65.6,3.0,95.65,5.6,39.0,7.98,3.36,0.71,-0.7,0.29,11.45,0.08,0.0,0.0,7.2,199526231.49688798,False
NGC2903,NFW-Flat,0.43,0.1,0.0,0.0,3.53,0.83,65.4,3.0,93.28,6.23,48.27,11.1,2.65,0.63,-0.42,0.33,11.41,0.09,0.0,0.0,6.34,380189396.32056123,False
NGC2903,NFW-LCDM,0.27,0.05,0.0,0.0,6.72,1.01,64.9,3.0,111.41,4.83,24.98,3.75,6.11,0.96,-1.17,0.21,11.64,0.06,0.0,0.0,6.54,67608297.53919819,False
NGC2915,Burkert-Flat,0.42,0.09,0.0,0.0,4.01,0.2,54.9,4.0,50.28,2.76,34.07,3.77,2.02,0.25,-0.85,0.18,10.61,0.07,0.0,0.0,0.56,141253754.46227545,False
NGC2915,NFW-Flat,0.4,0.09,0.0,0.0,4.03,0.2,54.4,4.1,60.85,4.99,16.7,2.8,4.99,0.93,-1.62,0.27,10.86,0.11,0.0,0.0,0.97,23988329.190194897,False
NGC2915,NFW-LCDM,0.44,0.09,0.0,0.0,4.09,0.2,58.4,3.4,59.08,2.78,15.19,1.96,5.33,0.73,-1.73,0.19,10.82,0.06,0.0,0.0,1.05,18620871.366628677,False
NGC2955,Burkert-Flat,0.33,0.06,0.96,0.15,95.64,9.46,50.9,5.4,158.84,13.96,19.86,2.94,10.96,1.89,-1.47,0.25,12.11,0.11,0.0,0.0,3.71,33884415.61392026,False
NGC2955,NFW-Flat,0.31,0.06,0.89,0.14,92.35,9.49,48.8,5.5,183.92,22.35,12.53,4.6,20.11,7.78,-1.94,0.53,12.3,0.16,0.0,0.0,4.03,11481536.21496883,False
NGC2955,NFW-LCDM,0.32,0.06,0.82,0.12,88.28,8.59,55.5,5.4,196.66,31.77,8.35,2.04,32.26,9.43,-2.37,0.44,12.38,0.21,0.0,0.0,4.27,4265795.188015926,False
NGC2976,Burkert-Flat,0.48,0.1,0.0,0.0,3.57,0.18,61.8,8.8,69.57,132.86,28.01,5.34,3.4,6.53,-1.08,3.53,11.03,2.49,0.0,0.0,0.34,83176377.11026709,False
NGC2976,NFW-Flat,0.73,0.08,0.0,0.0,3.7,0.17,73.0,6.9,10.22,46.29,1.22,1.55,11.44,53.82,-4.14,8.54,8.53,5.9,0.0,0.0,0.85,72443.59600749906,False
NGC2976,NFW-LCDM,0.6,0.09,0.0,0.0,3.62,0.18,68.4,7.2,74.78,4.35,4.49,0.75,22.81,4.05,-3.0,0.25,11.12,0.08,0.0,0.0,1.45,1000000.0,False
NGC2998,Burkert-Flat,0.73,0.09,0.0,0.0,77.99,8.72,58.6,1.9,144.99,9.12,8.06,1.47,24.63,4.74,-2.44,0.27,11.99,0.08,0.0,0.0,3.52,3630780.547701014,False
NGC2998,NFW-Flat,0.39,0.11,0.0,0.0,62.57,10.79,57.7,2.0,132.94,8.99,17.17,5.87,10.61,3.69,-1.59,0.47,11.87,0.09,0.0,0.0,3.05,25703957.82768863,False
NGC2998,NFW-LCDM,0.55,0.13,0.0,0.0,67.04,7.8,58.5,2.0,146.17,9.44,8.79,2.92,22.77,7.69,-2.31,0.46,12.0,0.08,0.0,0.0,3.53,4897788.193684461,False
NGC3109,Burkert-Flat,0.51,0.13,0.0,0.0,1.32,0.07,69.9,5.0,55.83,3.09,16.62,1.06,4.6,0.39,-1.66,0.13,10.74,0.07,0.0,0.0,0.2,21877616.23949553,False
NGC3109,NFW-Flat,0.42,0.09,0.0,0.0,1.37,0.07,72.0,4.7,277.58,29.18,1.0,0.12,380.0,61.69,-4.29,0.26,12.83,0.14,0.0,0.0,9.92,51286.13839913648,False
NGC3109,NFW-LCDM,0.92,0.17,0.0,0.0,1.49,0.07,80.5,3.4,71.19,3.19,3.65,0.29,26.72,2.43,-3.2,0.13,11.06,0.06,0.0,0.0,15.31,630957.344480193,False
NGC3198,Burkert-Flat,0.66,0.07,0.0,0.0,14.69,1.27,73.8,3.0,101.5,2.4,13.97,1.46,9.95,1.06,-1.85,0.14,11.52,0.03,0.0,0.0,1.47,14125375.44622754,False
NGC3198,NFW-Flat,0.47,0.05,0.0,0.0,13.49,1.3,72.8,3.0,110.43,2.67,10.43,1.23,14.5,1.74,-2.13,0.16,11.63,0.03,0.0,0.0,1.46,7413102.413009177,False
NGC3198,NFW-LCDM,0.46,0.05,0.0,0.0,13.97,1.22,72.9,2.9,111.11,2.58,9.96,1.06,15.29,1.67,-2.18,0.15,11.64,0.03,0.0,0.0,1.46,6606934.480075957,False
NGC3521,Burkert-Flat,0.52,0.09,0.0,0.0,8.64,1.46,75.1,4.8,163.26,78.63,13.69,2.98,16.34,8.64,-1.88,0.93,12.14,0.63,0.0,0.0,0.2,13182567.385564074,False
NGC3521,NFW-Flat,0.52,0.1,0.0,0.0,8.09,1.49,75.1,5.0,444.69,98.8,2.36,2.28,258.3,256.14,-3.6,1.39,13.45,0.29,0.0,0.0,0.25,251188.64315095794,False
NGC3521,NFW-LCDM,0.5,0.08,0.0,0.0,8.06,1.18,74.3,5.1,205.06,37.15,5.97,1.53,47.02,14.77,-2.71,0.48,12.44,0.24,0.0,0.0,0.29,1949844.5997580455,False
NGC3726,Burkert-Flat,0.61,0.08,0.0,0.0,18.66,2.16,53.4,1.9,201.16,106.83,6.4,1.53,43.08,25.08,-2.68,1.03,12.41,0.69,0.0,0.0,2.52,2089296.1308540385,False
NGC3726,NFW-Flat,0.54,0.08,0.0,0.0,18.01,2.09,53.2,1.9,344.58,78.76,1.07,1.33,439.79,555.17,-4.24,1.81,13.12,0.3,0.0,0.0,2.75,57543.993733715666,False
NGC3726,NFW-LCDM,0.49,0.08,0.0,0.0,16.07,1.84,52.6,2.0,139.04,16.43,5.69,1.48,33.49,9.56,-2.76,0.41,11.93,0.15,0.0,0.0,3.27,1737800.8287493763,False
NGC3741,Burkert-Flat,0.77,0.17,0.0,0.0,3.28,0.17,72.0,3.8,36.39,1.8,17.02,1.18,2.93,0.25,-1.64,0.13,10.19,0.06,0.0,0.0,0.93,22908676.527677733,False
NGC3741,NFW-Flat,0.5,0.12,0.0,0.0,3.21,0.17,70.2,4.0,74.01,32.96,3.87,1.1,26.17,13.81,-3.14,0.9,11.11,0.58,0.0,0.0,0.41,724435.9600749898,False
NGC3741,NFW-LCDM,0.55,0.11,0.0,0.0,3.22,0.17,73.0,3.6,42.69,1.91,7.38,0.66,7.92,0.79,-2.5,0.14,10.39,0.06,0.0,0.0,1.74,3162277.6601683795,False
NGC3769,Burkert-Flat,0.45,0.08,0.0,0.0,17.73,2.33,69.8,2.0,79.77,5.24,18.56,4.29,5.89,1.41,-1.54,0.33,11.21,0.09,0.0,0.0,0.77,28840315.031266056,False
NGC3769,NFW-Flat,0.39,0.08,0.0,0.0,16.84,2.43,69.7,2.0,89.42,7.69,11.15,3.42,10.99,3.5,-2.06,0.44,11.36,0.11,0.0,0.0,0.93,8709635.899560805,False
NGC3769,NFW-LCDM,0.41,0.07,0.0,0.0,17.72,2.03,69.9,2.0,93.79,5.28,9.26,1.85,13.87,2.88,-2.26,0.28,11.42,0.07,0.0,0.0,1.06,5495408.738576248,False
NGC3877,Burkert-Flat,0.31,0.07,0.0,0.0,13.63,2.59,76.0,1.0,77.46,4.3,47.18,9.22,2.25,0.46,-0.47,0.28,11.17,0.07,0.0,0.0,2.44,338844156.13920254,False
NGC3877,NFW-Flat,0.35,0.07,0.0,0.0,14.72,2.52,76.0,1.0,100.36,10.01,19.04,3.97,7.22,1.67,-1.48,0.33,11.51,0.13,0.0,0.0,5.95,33113112.148259114,False
NGC3877,NFW-LCDM,0.32,0.06,0.0,0.0,17.09,1.98,76.0,1.0,114.84,8.65,13.53,2.45,11.62,2.28,-1.85,0.28,11.68,0.1,0.0,0.0,6.44,14125375.44622754,False
NGC3893,Burkert-Flat,0.45,0.08,0.0,0.0,17.26,2.33,48.8,2.0,94.45,7.25,31.97,8.77,4.05,1.15,-0.92,0.39,11.43,0.1,0.0,0.0,0.31,120226443.46174128,False
NGC3893,NFW-Flat,0.41,0.08,0.0,0.0,16.76,2.44,48.7,2.0,113.3,16.09,17.87,6.66,8.69,3.46,-1.55,0.56,11.67,0.19,0.0,0.0,0.99,28183829.312644538,False
NGC3893,NFW-LCDM,0.46,0.07,0.0,0.0,18.95,1.99,49.3,1.9,140.33,17.52,9.12,2.31,21.08,5.96,-2.28,0.41,11.94,0.16,0.0,0.0,1.74,5248074.602497728,False
NGC3917,Burkert-Flat,0.44,0.1,0.0,0.0,17.12,2.47,79.0,2.0,80.76,3.12,24.83,3.87,4.45,0.72,-1.21,0.22,11.22,0.05,0.0,0.0,1.31,61659500.18614822,False
NGC3917,NFW-Flat,0.87,0.11,0.0,0.0,20.95,2.12,79.2,2.0,285.34,63.7,1.07,0.96,364.15,334.3,-4.24,1.32,12.87,0.29,0.0,0.0,3.33,57543.993733715666,False
NGC3917,NFW-LCDM,0.76,0.12,0.0,0.0,19.4,1.93,79.5,2.0,121.49,11.29,4.87,0.91,34.16,7.15,-2.92,0.3,11.76,0.12,0.0,0.0,4.0,1202264.434617413,False
NGC3949,Burkert-Flat,0.52,0.08,0.0,0.0,18.22,2.21,54.9,2.0,472.66,135.91,14.84,8.1,43.62,26.92,-1.79,0.89,13.53,0.37,0.0,0.0,0.84,16218100.9735893,False
NGC3949,NFW-Flat,0.47,0.08,0.0,0.0,17.33,2.34,54.8,2.0,459.7,121.78,2.57,6.14,245.3,590.36,-3.52,3.3,13.49,0.35,0.0,0.0,0.8,301995.1720402016,False
NGC3949,NFW-LCDM,0.46,0.07,0.0,0.0,18.06,2.0,54.9,2.0,116.31,15.87,8.31,2.05,19.17,5.41,-2.37,0.41,11.7,0.18,0.0,0.0,1.38,4265795.188015926,False
NGC3953,Burkert-Flat,0.45,0.14,0.0,0.0,17.85,2.6,61.9,1.0,91.3,74.98,37.68,257.77,3.32,22.87,-0.74,9.1,11.38,1.07,0.0,0.0,0.28,181970085.86099836,False
NGC3953,NFW-Flat,0.49,0.13,0.0,0.0,17.71,2.6,62.0,1.0,101.95,47.59,20.7,227.73,6.75,74.28,-1.39,14.5,11.53,0.61,0.0,0.0,0.52,40738027.78041128,False
NGC3953,NFW-LCDM,0.62,0.11,0.0,0.0,17.23,1.93,62.1,1.0,169.41,33.65,6.0,2.37,38.67,17.09,-2.71,0.64,12.19,0.26,0.0,0.0,2.96,1949844.5997580455,False
NGC3972,Burkert-Flat,0.45,0.11,0.0,0.0,17.41,2.46,76.9,1.0,73.77,5.78,28.02,5.09,3.61,0.71,-1.08,0.28,11.11,0.1,0.0,0.0,1.13,83176377.11026709,False
NGC3972,NFW-Flat,0.48,0.1,0.0,0.0,17.46,2.46,77.1,1.0,202.81,105.31,4.96,2.18,56.02,38.1,-2.9,1.12,12.42,0.68,0.0,0.0,1.81,1258925.4117941675,False
NGC3972,NFW-LCDM,0.55,0.1,0.0,0.0,19.53,2.03,77.1,1.0,105.53,9.21,8.24,1.52,17.53,3.58,-2.38,0.29,11.57,0.11,0.0,0.0,2.94,4168693.834703355,False
NGC3992,Burkert-Flat,0.43,0.1,0.0,0.0,23.39,2.3,56.0,2.0,140.38,5.28,30.99,5.15,6.21,1.06,-0.96,0.23,11.95,0.05,0.0,0.0,1.0,109647819.6143185,False
NGC3992,NFW-Flat,0.48,0.11,0.0,0.0,23.83,2.27,56.0,2.0,150.89,7.78,18.35,4.93,11.27,3.08,-1.52,0.37,12.04,0.07,0.0,0.0,0.72,30199517.20402016,False
NGC3992,NFW-LCDM,0.56,0.14,0.0,0.0,24.06,2.03,56.7,1.9,160.99,12.67,12.1,3.64,18.23,5.66,-1.97,0.42,12.12,0.1,0.0,0.0,1.58,10715193.052376065,False
NGC4010,Burkert-Flat,0.45,0.1,0.0,0.0,17.36,2.42,88.9,0.8,85.09,11.79,19.21,3.99,6.07,1.51,-1.5,0.37,11.29,0.18,0.0,0.0,1.98,31622776.60168379,False
NGC4010,NFW-Flat,0.45,0.08,0.0,0.0,17.72,2.34,89.0,0.8,406.02,102.42,1.72,1.45,323.64,284.49,-3.87,1.26,13.33,0.33,0.0,0.0,3.09,134896.28825916533,False
NGC4010,NFW-LCDM,0.46,0.08,0.0,0.0,18.59,2.06,89.1,0.8,107.15,9.2,7.04,1.29,20.85,4.23,-2.55,0.29,11.59,0.11,0.0,0.0,4.56,2818382.931264455,False
NGC4013,Burkert-Flat,0.58,0.08,0.82,0.18,19.58,2.03,89.0,0.8,158.53,14.23,8.59,1.06,25.27,3.86,-2.37,0.23,12.1,0.12,0.0,0.0,0.84,4265795.188015926,False
NGC4013,NFW-Flat,0.54,0.08,0.77,0.18,19.03,1.96,88.9,0.8,315.92,71.6,1.64,0.68,264.1,124.83,-3.91,0.71,13.0,0.3,0.0,0.0,0.81,123026.87708123811,False
NGC4013,NFW-LCDM,0.54,0.08,0.82,0.18,17.26,1.74,88.9,0.8,181.99,21.54,4.22,0.89,59.02,14.26,-3.06,0.36,12.28,0.15,0.0,0.0,0.95,870963.5899560805,False
NGC4051,Burkert-Flat,0.47,0.11,0.0,0.0,17.13,2.43,48.7,2.9,60.77,46.78,30.62,275.35,2.72,24.54,-0.97,11.89,10.85,1.0,0.0,0.0,1.26,107151930.52376065,False
NGC4051,NFW-Flat,0.47,0.1,0.0,0.0,17.08,2.39,48.7,2.9,73.08,51.24,16.08,291.02,6.23,112.76,-1.67,23.9,11.09,0.91,0.0,0.0,1.72,21379620.895022325,False
NGC4051,NFW-LCDM,0.47,0.09,0.0,0.0,16.3,1.98,47.9,2.9,135.73,22.18,6.84,1.89,27.2,8.73,-2.58,0.48,11.9,0.21,0.0,0.0,3.53,2630267.9918953814,False
NGC4068,Burkert-Flat,0.49,0.11,0.0,0.0,4.38,0.22,43.6,5.9,359.31,137.68,13.15,2.81,37.43,16.42,-1.92,0.76,13.17,0.5,0.0,0.0,0.84,12022644.346174132,False
NGC4068,NFW-Flat,0.46,0.11,0.0,0.0,4.4,0.22,45.2,6.2,161.8,67.53,1.04,1.61,212.97,341.26,-4.26,2.32,12.13,0.54,0.0,0.0,7.21,54954.08738576248,False
NGC4068,NFW-LCDM,0.44,0.11,0.0,0.0,4.32,0.22,37.5,3.8,48.73,2.92,6.63,1.38,10.07,2.18,-2.61,0.3,10.57,0.08,0.0,0.0,10.89,2454708.915685031,False
NGC4085,Burkert-Flat,0.35,0.07,0.0,0.0,15.35,2.48,82.0,2.0,82.55,112.46,29.07,7.6,3.89,5.4,-1.03,2.53,11.25,1.77,0.0,0.0,5.2,93325430.0796991,False
NGC4085,NFW-Flat,0.35,0.07,0.0,0.0,15.26,2.46,82.1,2.0,469.37,104.17,2.99,2.1,215.31,158.82,-3.38,1.04,13.52,0.29,0.0,0.0,9.76,416869.3834703355,False
NGC4085,NFW-LCDM,0.39,0.07,0.0,0.0,17.62,2.02,82.2,2.0,100.4,8.36,9.01,1.89,15.26,3.45,-2.29,0.32,11.51,0.11,0.0,0.0,15.12,5128613.839913648,False
NGC4088,Burkert-Flat,0.46,0.07,0.0,0.0,17.48,2.11,69.0,2.0,241.81,114.49,7.8,2.14,42.44,23.22,-2.47,0.95,12.65,0.62,0.0,0.0,0.63,3388441.5613920237,False
NGC4088,NFW-Flat,0.42,0.06,0.0,0.0,16.61,2.18,68.8,2.0,452.78,107.79,1.08,3.43,576.85,1846.35,-4.24,4.54,13.47,0.31,0.0,0.0,0.59,57543.993733715666,False
NGC4088,NFW-LCDM,0.39,0.06,0.0,0.0,15.59,1.85,68.9,2.0,138.89,18.69,6.4,1.67,29.74,8.73,-2.64,0.43,11.93,0.18,0.0,0.0,0.66,2290867.6527677723,False
NGC4100,Burkert-Flat,0.44,0.08,0.0,0.0,16.93,2.3,72.6,2.0,90.17,3.23,38.99,6.47,3.17,0.54,-0.7,0.23,11.37,0.05,0.0,0.0,0.59,199526231.49688798,False
NGC4100,NFW-Flat,0.51,0.08,0.0,0.0,17.81,2.22,73.2,2.0,100.44,4.53,19.31,4.19,7.13,1.58,-1.46,0.3,11.51,0.06,0.0,0.0,0.99,34673685.045253165,False
NGC4100,NFW-LCDM,0.57,0.1,0.0,0.0,19.26,1.96,73.1,2.0,113.52,7.37,11.43,2.86,13.6,3.52,-2.04,0.35,11.67,0.08,0.0,0.0,1.29,9120108.393559096,False
NGC4138,Burkert-Flat,0.48,0.11,0.69,0.16,17.82,2.4,52.4,3.0,74.16,8.55,44.71,27.19,2.27,1.41,-0.54,0.82,11.11,0.15,0.0,0.0,3.32,288403150.3126606,False
NGC4138,NFW-Flat,0.5,0.11,0.68,0.16,17.19,2.44,52.6,2.9,79.37,13.75,31.64,37.97,3.44,4.17,-0.91,1.61,11.2,0.23,0.0,0.0,4.5,123026877.08123815,False
NGC4138,NFW-LCDM,0.62,0.12,0.7,0.17,18.71,1.96,53.7,2.8,125.53,16.35,7.17,1.89,24.0,7.05,-2.53,0.42,11.8,0.17,0.0,0.0,7.83,2951209.2266663867,False
NGC4157,Burkert-Flat,0.52,0.08,0.64,0.15,17.99,2.1,82.4,2.9,146.01,63.77,10.55,2.84,18.96,9.72,-2.16,0.88,12.0,0.57,0.0,0.0,0.45,6918309.709189363,False
NGC4157,NFW-Flat,0.5,0.07,0.65,0.15,17.38,2.09,81.9,3.0,280.08,94.89,2.4,2.26,159.66,159.42,-3.58,1.43,12.85,0.44,0.0,0.0,0.49,263026.7991895381,False
NGC4157,NFW-LCDM,0.48,0.07,0.67,0.15,16.46,1.81,82.2,3.0,162.24,21.78,5.84,1.56,38.04,11.39,-2.74,0.43,12.13,0.17,0.0,0.0,0.57,1819700.8586099825,False
NGC4183,Burkert-Flat,0.49,0.12,0.0,0.0,17.63,2.44,82.0,2.0,63.81,2.15,25.89,4.31,3.38,0.57,-1.17,0.23,10.92,0.04,0.0,0.0,0.44,67608297.53919819,False
NGC4183,NFW-Flat,0.51,0.12,0.0,0.0,17.93,2.41,81.9,2.0,74.98,3.93,12.2,2.6,8.42,1.85,-1.97,0.3,11.13,0.07,0.0,0.0,0.2,10715193.052376065,False
NGC4183,NFW-LCDM,0.46,0.12,0.0,0.0,17.64,1.97,81.7,2.0,80.44,3.82,10.89,1.99,10.12,1.91,-2.09,0.26,11.22,0.06,0.0,0.0,0.33,8128305.161640994,False
NGC4214,Burkert-Flat,0.54,0.13,0.0,0.0,2.88,0.14,22.2,3.2,40.73,64.45,17.59,8.13,3.17,5.23,-1.6,2.98,10.33,2.06,0.0,0.0,1.07,25118864.315095793,False
NGC4214,NFW-Flat,0.49,0.13,0.0,0.0,2.88,0.14,5.4,3.8,93.74,73.39,83.96,76.08,1.53,1.83,0.23,1.87,11.42,1.02,0.0,0.0,0.64,1698243652.4617443,False
NGC4214,NFW-LCDM,0.54,0.12,0.0,0.0,2.88,0.14,18.7,1.9,62.61,3.94,8.98,2.29,9.55,2.51,-2.29,0.36,10.89,0.08,0.0,0.0,1.01,5128613.839913648,False
NGC4217,Burkert-Flat,0.52,0.14,0.33,0.09,9.69,2.59,86.2,1.9,90.34,7.84,50.21,19.12,2.46,0.96,-0.4,0.52,11.37,0.11,0.0,0.0,1.49,398107170.5534972,False
NGC4217,NFW-Flat,0.81,0.23,0.26,0.05,13.97,2.51,85.9,1.9,154.33,48.2,10.93,4.88,19.34,10.54,-2.08,0.82,12.07,0.41,0.0,0.0,3.74,8317637.711026709,False
NGC4217,NFW-LCDM,0.98,0.2,0.22,0.03,16.56,1.79,85.6,1.9,166.35,22.82,7.93,1.93,28.75,8.03,-2.42,0.41,12.17,0.18,0.0,0.0,3.27,3801893.9632056127,False
NGC4389,Burkert-Flat,0.31,0.06,0.0,0.0,13.55,2.58,43.8,4.1,490.71,115.96,19.14,4.73,35.12,12.01,-1.51,0.54,13.58,0.31,0.0,0.0,6.53,30902954.325135905,False
NGC4389,NFW-Flat,0.31,0.07,0.0,0.0,14.1,2.55,45.5,4.1,448.16,123.23,1.33,1.92,460.41,674.12,-4.07,2.08,13.46,0.36,0.0,0.0,22.5,85113.80382023759,False
NGC4389,NFW-LCDM,0.32,0.07,0.0,0.0,13.59,2.23,46.0,4.0,83.98,6.66,7.09,1.64,16.23,3.96,-2.54,0.34,11.28,0.1,0.0,0.0,26.19,2884031.5031266054,False
NGC4559,Burkert-Flat,0.52,0.11,0.0,0.0,9.52,1.77,67.0,1.0,81.63,5.35,13.47,4.16,8.3,2.62,-1.89,0.43,11.24,0.09,0.0,0.0,0.26,12882495.516931342,False
NGC4559,NFW-Flat,0.44,0.11,0.0,0.0,6.19,2.16,66.9,1.0,88.17,10.91,12.87,9.12,9.39,6.75,-1.91,0.96,11.34,0.16,0.0,0.0,0.24,12302687.708123818,False
NGC4559,NFW-LCDM,0.43,0.08,0.0,0.0,8.12,1.33,67.0,1.0,94.26,5.37,8.78,2.11,14.71,3.63,-2.32,0.34,11.43,0.07,0.0,0.0,0.3,4786300.923226385,False
NGC5005,Burkert-Flat,0.49,0.09,0.58,0.09,16.64,1.36,67.7,2.0,117.63,124.12,26.75,12.42,6.02,6.94,-1.13,2.04,11.71,1.37,0.0,0.0,0.1,74131024.13009177,False
NGC5005,NFW-Flat,0.51,0.09,0.57,0.08,15.97,1.35,67.7,2.0,387.85,113.22,4.56,6.78,116.57,176.8,-2.98,2.07,13.27,0.38,0.0,0.0,0.09,1047128.5480508996,False
NGC5005,NFW-LCDM,0.5,0.08,0.55,0.08,16.37,1.26,67.3,2.0,297.89,66.76,5.71,1.61,71.51,25.74,-2.76,0.56,12.93,0.29,0.0,0.0,0.09,1737800.8287493763,False
NGC5033,Burkert-Flat,0.47,0.09,0.52,0.1,15.18,2.42,66.1,1.0,122.27,4.23,26.4,4.16,6.35,1.02,-1.14,0.22,11.77,0.05,0.0,0.0,2.54,72443596.00749902,False
NGC5033,NFW-Flat,0.39,0.09,0.52,0.12,12.08,2.5,66.0,1.0,123.72,6.17,26.36,6.8,6.43,1.69,-1.11,0.35,11.78,0.06,0.0,0.0,3.53,77624711.66286916,False
NGC5033,NFW-LCDM,0.35,0.07,0.39,0.07,16.81,2.31,66.1,1.0,133.17,3.84,18.05,2.79,10.1,1.59,-1.54,0.21,11.88,0.04,0.0,0.0,3.44,28840315.031266056,False
NGC5055,Burkert-Flat,0.38,0.04,0.0,0.0,9.97,0.3,60.8,4.9,114.11,4.86,14.51,0.85,10.77,0.78,-1.81,0.11,11.68,0.06,0.0,0.0,2.1,15488166.189124811,False
NGC5055,NFW-Flat,0.27,0.03,0.0,0.0,10.01,0.3,60.6,4.8,119.51,5.1,12.59,1.08,13.01,1.24,-1.93,0.14,11.74,0.06,0.0,0.0,2.58,11748975.549395297,False
NGC5055,NFW-LCDM,0.26,0.02,0.0,0.0,10.06,0.3,62.0,4.7,118.4,4.81,12.2,1.03,13.29,1.25,-1.97,0.13,11.72,0.05,0.0,0.0,2.54,10715193.052376065,False
NGC5371,Burkert-Flat,0.87,0.15,0.0,0.0,30.04,4.91,53.3,2.0,499.4,56.52,4.35,0.74,157.3,32.03,-3.05,0.31,13.6,0.15,0.0,0.0,9.5,891250.9381337459,False
NGC5371,NFW-Flat,0.37,0.09,0.0,0.0,27.33,6.19,52.7,2.0,111.16,6.17,35.52,7.04,4.29,0.88,-0.77,0.28,11.64,0.07,0.0,0.0,5.06,169824365.24617442,False
NGC5371,NFW-LCDM,0.26,0.05,0.0,0.0,37.08,5.56,52.4,1.9,120.81,4.97,28.09,3.35,5.89,0.74,-1.04,0.17,11.75,0.05,0.0,0.0,5.03,91201083.93559097,False
NGC5585,Burkert-Flat,0.54,0.1,0.0,0.0,7.97,1.36,51.4,2.0,65.66,2.99,15.2,2.35,5.92,0.95,-1.76,0.22,10.96,0.06,0.0,0.0,4.98,17378008.287493754,False
NGC5585,NFW-Flat,0.39,0.1,0.0,0.0,4.18,1.35,50.6,2.0,90.71,10.86,10.15,4.75,12.24,5.91,-2.16,0.66,11.38,0.16,0.0,0.0,6.65,6918309.709189363,False
