domain,concept_id,lane,architecture_id,driver_ids,lay_mechanism,planned_cells,valid_cells,invalid_cells,best_cell_id,best_strongest_worst_fractional_improvement,strict_domain_survivors,rar_conditional_cells,rar_robust_cells,baryon_robust_cells,dominant_category
CLUSTERS,TW2-A07-D03,CORE,A07_BOUNDARY,D03_RAD,The outer_boundary_accumulation template lets source-side source_radius alter an effective matter field.,2,2,0,TW2-A07-D03-C002,-47.1431363721,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A07-D04,CORE,A07_BOUNDARY,D04_RHO,The outer_boundary_accumulation template lets source-side volume_mass_density alter an effective matter field.,2,2,0,TW2-A07-D04-C002,-53.8133082778,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A07-D05,CORE,A07_BOUNDARY,D05_SIG,The outer_boundary_accumulation template lets source-side surface_mass_density alter an effective matter field.,2,2,0,TW2-A07-D05-C002,-53.5437432582,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A07-D06,CORE,A07_BOUNDARY,D06_SLOPE,The outer_boundary_accumulation template lets source-side source_log_slope alter an effective matter field.,2,2,0,TW2-A07-D06-C002,-50.0923260157,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A07-D07,CORE,A07_BOUNDARY,D07_TIDE,The outer_boundary_accumulation template lets source-side baryonic_tidal_invariant alter an effective matter field.,2,2,0,TW2-A07-D07-C002,-53.8148939153,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A07-D13,CORE,A07_BOUNDARY,D13_GASF,The outer_boundary_accumulation template lets source-side baryonic_gas_fraction alter an effective matter field.,2,2,0,TW2-A07-D13-C002,-48.9013454775,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A08-D01,RIVALS_CONTROLS,A08_PERMITTIVITY,D01_ACC,The source_permittivity template lets source-side baryonic_acceleration alter an effective matter field.,2,2,0,TW2-A08-D01-C002,-52.5587262001,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A08-D02,RIVALS_CONTROLS,A08_PERMITTIVITY,D02_POT,The source_permittivity template lets source-side baryonic_potential_depth alter an effective matter field.,2,2,0,TW2-A08-D02-C002,-50.7600400583,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A08-D03,RIVALS_CONTROLS,A08_PERMITTIVITY,D03_RAD,The source_permittivity template lets source-side source_radius alter an effective matter field.,2,2,0,TW2-A08-D03-C002,-43.9361767994,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A08-D04,RIVALS_CONTROLS,A08_PERMITTIVITY,D04_RHO,The source_permittivity template lets source-side volume_mass_density alter an effective matter field.,2,2,0,TW2-A08-D04-C002,-53.7750908902,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A08-D05,RIVALS_CONTROLS,A08_PERMITTIVITY,D05_SIG,The source_permittivity template lets source-side surface_mass_density alter an effective matter field.,2,2,0,TW2-A08-D05-C002,-53.2107534626,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A08-D06,RIVALS_CONTROLS,A08_PERMITTIVITY,D06_SLOPE,The source_permittivity template lets source-side source_log_slope alter an effective matter field.,2,2,0,TW2-A08-D06-C002,-50.6807492536,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A08-D07,RIVALS_CONTROLS,A08_PERMITTIVITY,D07_TIDE,The source_permittivity template lets source-side baryonic_tidal_invariant alter an effective matter field.,2,2,0,TW2-A08-D07-C002,-53.7909607765,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A08-D13,RIVALS_CONTROLS,A08_PERMITTIVITY,D13_GASF,The source_permittivity template lets source-side baryonic_gas_fraction alter an effective matter field.,2,2,0,TW2-A08-D13-C002,-46.8007430506,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A09-D01,RIVALS_CONTROLS,A09_ENTROPIC,D01_ACC,The entropic_response template lets source-side baryonic_acceleration alter an effective matter field.,2,2,0,TW2-A09-D01-C002,-52.7405024354,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A09-D02,RIVALS_CONTROLS,A09_ENTROPIC,D02_POT,The entropic_response template lets source-side baryonic_potential_depth alter an effective matter field.,2,2,0,TW2-A09-D02-C002,-51.6356319867,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A09-D03,RIVALS_CONTROLS,A09_ENTROPIC,D03_RAD,The entropic_response template lets source-side source_radius alter an effective matter field.,2,2,0,TW2-A09-D03-C002,-49.1020682143,0,0,0,1,NO_BASELINE_ADVANCE
CLUSTERS,TW2-A09-D04,RIVALS_CONTROLS,A09_ENTROPIC,D04_RHO,The entropic_response template lets source-side volume_mass_density alter an effective matter field.,2,2,0,TW2-A09-D04-C002,-53.7767116226,0,0,0,1,NO_BASELINE_ADVANCE
