component,radius_kpc,coverage,signed_mean,accepted,conditional_fill
atomic_helium,33.25,0.4986774726649971,0.5473580318860582,True,0.5473580318860582
atomic_helium,33.75,0.5072332769536599,0.8178112811295452,True,0.8178112811295452
co21,0.25,1.042982889535782,38.95355799988135,True,38.95355799988135
co21,0.75,0.9850393907384069,20.202997847077718,True,20.202997847077718
co21,1.25,0.9859447469331228,8.80454340935651,True,8.80454340935651
co21,1.75,1.0088375835549124,7.12434449001325,True,7.12434449001325
co21,2.25,1.001077272606183,6.662484431013475,True,6.662484431013475
co21,2.75,0.9955744951195129,5.88073750919774,True,5.88073750919774
co21,3.25,1.0126635027778133,5.1008301456675,True,5.1008301456675
co21,3.75,0.9990527484054496,4.323685392303931,True,4.323685392303931
co21,4.25,0.9962452499725478,2.9966036950789965,True,2.9966036950789965
co21,4.75,0.9984385807781513,2.108771897571922,True,2.108771897571922
co21,5.25,0.9982277197848641,1.4161868761601661,True,1.4161868761601661
co21,5.75,1.0051932869549902,0.9296348388665131,True,0.9296348388665131
co21,6.25,0.9949074651366882,0.5963085341349075,True,0.5963085341349075
co21,6.75,0.9916001437408484,0.3727265307127304,True,0.3727265307127304
co21,7.25,1.0074919107589844,0.2479883507886279,True,0.2479883507886279
co21,7.75,1.007425980103125,0.1270338797586491,True,0.1270338797586491
co21,8.25,0.9944118551972594,0.0945912711122489,True,0.0945912711122489
co21,8.75,1.0035113534587448,0.08174528695395018,True,0.08174528695395018
co21,9.25,0.9959343435191756,0.09455890322357705,True,0.09455890322357705
co21,9.75,0.9984895045094692,0.04897332915642599,True,0.04897332915642599
co21,10.25,1.0029459574766801,0.05015082081876541,True,0.05015082081876541
co21,10.75,0.9929108681185175,0.05026213922808786,True,0.05026213922808786
co21,11.25,1.0001582794750505,0.027128316183216625,True,0.027128316183216625
co21,11.75,1.0035147305313752,0.01958934850170165,True,0.01958934850170165
co21,12.25,0.9985359251993018,0.007923945020261032,True,0.007923945020261032
co21,12.75,0.95646093805163,0.022541686585853222,True,0.022541686585853222
co21,13.25,0.848216720920261,0.018138649425705734,True,0.018138649425705734
co21,13.75,0.7595131668864508,0.010791473302802276,True,0.010791473302802276
co21,14.25,0.7077893454314494,-0.018016072283138597,True,0.0
co21,14.75,0.6657544824341517,-0.025330703126610093,True,0.0
co21,15.25,0.6314705606948687,-0.017572486908386205,True,0.0
co21,15.75,0.5402553540772257,-0.00842703892255421,True,0.0
co21,16.25,0.39556893859370623,0.008546023436492745,True,0.008546023436492745
co21,16.75,0.3205515242550582,-0.010309656483647959,True,0.0
co21,17.25,0.25053122676858103,-0.0343472135437638,True,0.0
co21,17.75,0.2009162939148444,-0.018647565159886085,True,0.0
co21,18.25,0.14694509230036587,0.019129075404993763,False,0.0
co21,18.75,0.10707174103323734,0.04200339004534035,False,0.0
co21,19.25,0.0723993771244356,-0.00986665506044999,False,0.0
co21,19.75,0.054455915424478474,-0.025946990854203985,False,0.0
co21,20.25,0.027608244744726982,-0.10989276416667891,False,0.0
co21,20.75,0.021561564057569007,-0.12314940354286508,False,0.0
co21,21.25,0.0055324008420031935,-0.08799939220995942,False,0.0
co21,21.75,0.0,,False,0.0
co21,22.25,0.0,,False,0.0
co21,22.75,0.0,,False,0.0
co21,23.25,0.0,,False,0.0
co21,23.75,0.0,,False,0.0
co21,24.25,0.0,,False,0.0
co21,24.75,0.0,,False,0.0
co21,25.25,0.0,,False,0.0
co21,25.75,0.0,,False,0.0
co21,26.25,0.0,,False,0.0
co21,26.75,0.0,,False,0.0
co21,27.25,0.0,,False,0.0
co21,27.75,0.0,,False,0.0
co21,28.25,0.0,,False,0.0
co21,28.75,0.0,,False,0.0
co21,29.25,0.0,,False,0.0
co21,29.75,0.0,,False,0.0
co21,30.25,0.0,,False,0.0
co21,30.75,0.0,,False,0.0
co21,31.25,0.0,,False,0.0
co21,31.75,0.0,,False,0.0
co21,32.25,0.0,,False,0.0
co21,32.75,0.0,,False,0.0
co21,33.25,0.0,,False,0.0
co21,33.75,0.0,,False,0.0
