plateifu	stellar_sigma_1re	stellar_rchi2_1re	stellar_vel_lo_clip	stellar_vel_hi_clip	ha_gvel_lo_clip	ha_gvel_hi_clip
8988-3701	49.57928	0.8896788	-52.5933	34.36736	-77.90171	73.73686
8988-6102	191.2753	0.9575179	-94.463	175.5833	-212.4332	258.9664
8988-6103	237.0085	0.9038854	-98.71082	112.1818	-234.6915	433.7869
8989-3701	118.6242	1.167901	-97.32913	143.7977	-125.7725	156.8187
8989-9101	165.7105	0.9485412	-95.10867	119.3748	-149.9344	164.9032
8991-3703	44.97809	0.8892922	-36.77741	39.68593	-54.08403	87.72173
8993-1901	76.37042	1.263432	-62.126	77.45079	-315.6421	776.4548
8994-12703	63.38272	0.8850896	-125.3673	112.6708	-135.3053	135.0443
8997-9102	69.15107	0.9292167	-89.91447	92.55804	-83.1461	106.5839
8998-9102	47.34203	0.881589	-55.09838	70.80921	-71.02848	101.6024
8999-12701	53.90619	0.9091588	-59.39768	63.89223	-69.72723	74.67798
8999-3704	53.90424	0.9931813	-38.34679	49.30896	-82.18921	70.43084
9001-1901	95.07913	1.070836	-8.753992	16.13208	-25.88015	123.9144
9001-1902	81.72397	0.9812347	-20.71027	32.4696	-123.7774	170.6024
9002-9101	236.9032	1.069008	-69.21554	98.76609	-172.6182	729.9094
9024-9101	103.8682	0.8745538	-135.3624	144.9993	-154.5794	169.0621
9024-9102	150.7605	0.9210674	-241.166	215.1952	-306.4456	302.2658
9027-1902	82.48281	1.185784	-13.15614	17.19803	-90.28072	89.78495
9027-6102	65.76636	0.9555953	-63.24025	65.93676	-72.78575	141.5363
9027-9101	75.81528	0.9163386	-102.7962	114.3423	-115.0916	137.6465
9028-12702	89.00664	0.8708267	-138.6508	160.9496	-155.4306	170.4818
9031-3702	58.60727	0.9588453	-77.98997	87.74292	-72.31196	82.87466
9032-1901	53.94493	0.9818048	-40.60802	-11.89608	-56.65629	28.17168
9032-6104	48.96261	0.9638437	-62.33836	86.61639	-45.6577	61.60101
9033-6102	171.727	1.096425	-172.4043	212.6995	-207.0943	265.021
9034-12703	84.27297	0.9277123	-168.5708	176.7411	-168.8895	191.0399
9037-12705	202.939	1.034812	-161.1305	642.3855	-354.3432	657.6971
9038-3701	67.58035	0.9232879	-59.70995	58.65308	-58.63691	52.3786
9040-12703	49.44188	0.8890861	-109.7666	81.66602	-165.5831	182.7351
9044-9101	150.4685	1.009783	-125.063	162.1828	-175.4397	212.2511
9045-1901	86.02477	1.094544	-75.55431	85.09505	-91.12238	114.7892
9046-3703	53.35363	1.066952	-37.23267	42.59355	-63.45071	83.48351
9047-1901	185.0867	1.041747	-77.191	59.71148	-106.789	144.5601
9049-6103	51.01575	0.9232219	-52.43005	91.75449	-20.93969	137.1107
9085-3702	88.76371	1.034432	-90.28493	112.3461	-107.0701	127.0809
9092-1902	86.8736	1.322636	-28.26866	32.14515	-23.19406	40.24058
9093-6102	89.67804	1.001124	-160.326	199.6428	-164.6259	208.3323
9182-12702	76.27145	0.9151542	-158.1064	164.6622	-168.2551	176.6181
9182-1901	233.8586	1.032793	-4.535336	48.22824	-223.8015	402.4604
9182-3703	159.2218	1.140232	-113.7285	106.1258	-134.5977	149.2599
9183-6101	108.4698	1.213905	-75.51424	64.72756	-64.00592	65.90538
9183-6104	173.6907	0.9340743	-85.60837	66.99517	-236.3468	169.946
9184-3701	153.7742	1.201034	-162.9822	177.8194	-202.8362	199.4979
9185-1901	60.18946	1.052148	-19.89171	-0.9255565	-37.46972	197.6844
9186-6102	87.62634	0.914408	-97.98256	96.34028	-132.3443	131.8044
9187-6104	78.59933	0.9951139	-88.27383	106.286	-109.487	181.1188
9188-9102	77.85236	1.05866	-118.5011	150.8418	-128.0959	159.889
9189-9101	75.88581	0.8498074	-131.164	138.3047	-136.6113	165.8196
9190-6102	74.3071	0.8992323	-63.34459	87.61863	-65.7524	98.73886
9193-1902	182.2707	1.245736	-106.3511	147.2818	-217.7943	284.7806
9193-6102	98.15451	0.9234608	-89.24325	118.6065	-127.2716	171.0965
9193-6103	123.0345	1.277022	-105.1151	144.7141	-31.70079	116.0243
9194-12703	91.23293	0.8834221	-171.0212	176.807	-178.7884	199.0967
9194-3704	219.4659	1.167519	-26.28702	28.1541	-115.6904	140.5084
9196-1902	74.38095	1.092623	-73.83067	62.48784	-71.56333	62.2563
9485-3703	80.18747	0.9861384	-14.55422	42.3728	-85.23872	124.8307
9486-3701	62.90364	0.9325381	-23.37948	-1.214872	-65.0515	43.37911
9486-3704	35.47655	0.942752	-66.36282	79.13924	-275.8509	388.9877
9489-1902	61.57927	1.014781	-53.17763	67.08207	-389.9535	257.8997
9492-3702	120.3866	1.177463	-128.5479	173.187	-95.91949	172.6572
9492-6101	62.9425	0.9424208	-53.77608	58.90246	-60.75795	74.5336
9492-6102	106.4158	0.9702134	-109.8574	96.16577	-130.4022	127.795
9492-9101	293.0744	0.8543237	-4.508552	65.81665	-318.4967	637.4404
9493-12704	48.36206	0.8687094	-64.92889	57.53744	-129.6547	100.0064
9493-1901	111.4684	1.352621	-92.23953	102.6753	-541.4638	299.6265
9493-3703	115.4727	1.00814	-71.47086	93.84367	-266.5513	350.645
9493-6104	79.72292	0.973651	-99.62794	61.92919	-94.2781	187.8524
9494-1901	105.648	1.210192	-76.76135	105.163	-101.455	163.5062
9496-1901	62.01271	0.9340812	-56.51944	46.44364	-56.00194	58.98793
9496-6101	39.40049	0.9576845	-43.57347	34.57487	-43.92236	41.05166
9496-6103	35.0122	0.8657088	-41.75583	51.44872	-80.49589	82.543
9497-1901	53.95137	0.9571074	-39.30895	18.23829	-30.07623	22.56306
9498-6103	76.59804	0.9480925	-61.946	63.28173	-73.43214	81.89936
9499-1902	68.20129	1.129395	-28.64087	61.59694	-33.2488	61.26923
9499-3702	106.6529	1.010298	-52.46181	75.91223	-503.8966	536.9234
9500-6101	102.5439	1.141607	-177.4374	84.49168	-225.4203	265.8875
9501-3704	99.54505	0.9253196	-48.48031	6.808278	-397.962	-4.430792
9502-12705	85.71625	0.9063357	-184.3946	168.491	-196.626	184.9816
9502-6103	197.9299	0.9348285	-87.51201	89.87183	-201.3038	195.5818
9503-12704	73.48226	0.9242498	-135.9483	142.7595	-197.9275	199.2389
9503-1902	76.59462	1.167381	-3.743595	51.00181	-72.89205	96.53373
9506-12704	79.57314	0.8859843	-105.3223	110.807	-142.5313	152.553
9506-3702	64.90627	0.905973	-75.15346	67.50285	-60.54927	90.8455
9507-12704	136.7612	0.9581328	17.70527	132.5497	-10.98883	173.4427
9507-1902	264.9146	1.237936	-141.8047	163.6677	-426.5815	545.8251
9507-3704	71.47482	0.9970443	-74.15707	72.78315	-96.96974	92.60607
9507-6101	169.6797	1.159446	-6.628226	35.8915	-349.1411	208.7228
9509-1901	61.94951	0.9916189	-78.16295	49.96566	-74.32157	72.64603
9509-1902	85.04191	1.249878	-59.05936	52.17756	-137.0956	145.9813
9510-3703	79.22718	0.9782697	-81.95602	52.53395	-402.9173	309.9964
9510-6102	137.043	1.020075	-182.4682	167.2589	-212.5514	196.7164
9511-6103	82.05978	0.917298	-18.61444	71.83092	-19.65959	83.00179
9511-9101	156.7518	0.9859707	-223.89	237.5746	-266.9849	302.9141
9512-6104	72.49828	0.9739344	-36.35637	57.40728	-418.5132	721.8864
9513-12702	63.06014	0.86668	-123.1401	134.2822	-134.1997	155.6297
9864-3704	100.5808	1.014921	-56.35225	69.53251	-116.1138	145.0529
9865-1901	50.73427	0.9951581	-29.83254	36.36826	-46.20744	44.44003
9865-6101	39.70429	0.9522126	-58.30462	69.08934	-82.58395	104.0882
9866-3704	161.5887	1.142223	-75.11766	96.03111	-112.8041	160.8497
9868-6103	152.946	1.013571	-60.43245	77.21149	-110.9831	90.65646
9870-3702	101.1381	0.8396668	-72.25946	62.54593	-89.46219	87.65437
9871-6103	47.02389	0.9146127	-82.12193	80.20563	-74.13466	92.27014
9872-12702	51.32028	0.83821	-114.9088	78.02074	-249.035	178.8883
9872-1902	71.48141	1.047531	-79.6979	86.81681	-145.9629	142.3354
9875-6101	90.19362	1.126336	-132.0741	118.1882	-134.0111	149.5322
9877-6104	31.51396	0.982618	-31.09767	34.50655	-217.321	149.4808
9878-12703	61.6345	0.8909018	-92.20266	68.15816	-185.2559	145.995
9878-3704	57.01783	0.988393	-88.88951	74.62307	-88.47595	73.35336
9881-1902	130.087	0.979302	-23.67779	48.62126	-73.02824	104.1775
9881-9101	202.3161	0.862336	-82.03173	99.19067	-331.7826	374.817
9882-1901	83.33778	1.052499	-16.42631	78.53959	-404.3817	280.1051
9886-12705	73.53781	0.8886504	-125.1418	85.45144	-142.291	106.9655
9887-6102	199.7879	0.9758866	-48.8925	5.85677	-342.2821	510.3706
9889-1901	81.66805	1.126121	-66.14006	47.55024	-100.5164	84.2363
9889-6101	44.05067	0.942451	-65.88684	93.11837	-92.08047	149.5448
9890-1902	43.72733	0.8792297	-65.5151	65.45421	-54.49342	67.92812
9890-3704	245.2276	1.207803	-250.3077	244.9294	-227.7911	313.0087
9890-9101	119.0368	0.9079522	-152.2465	160.397	-206.9522	271.6953
9894-12703	87.82381	0.9864765	-113.2414	125.4074	-85.45415	127.8345
