theory,radius_kpc,height_kpc,angle_deg,gx_kms2_per_kpc,gy_kms2_per_kpc,gz_kms2_per_kpc,inward_kms2_per_kpc,tangential_kms2_per_kpc,downward_kms2_per_kpc
newton,3.0,0.25,300.0,-3450.226234959792,6065.675488405003,-4838.872488772981,6978.142181551211,44.85417592378508,4838.872488772981
newton,3.0,0.25,305.0,-3998.68432590271,5687.697564079783,-4669.014410721877,6952.6401926575345,-13.2011401821469,4669.014410721877
newton,3.0,0.25,310.0,-4933.643208122615,4934.187392941294,-4112.504315916972,6951.0915584657605,-607.7554438598258,4112.504315916972
newton,3.0,0.25,315.0,-4799.432773369137,5397.632248948063,-3643.782845944093,7210.413825480646,422.9909056840929,3643.782845944093
newton,3.0,0.25,320.0,-4885.003897280178,5925.5408283228735,-3779.1812494304486,7550.994315263688,1399.2076455692068,3779.1812494304486
newton,3.0,0.25,325.0,-5271.8718329424355,6372.063281094432,-4207.797074759735,7973.32993815785,2195.867204208741,4207.797074759735
newton,3.0,0.25,330.0,-5877.032468252706,6207.0976978474455,-4902.772954147356,8193.20826529653,2436.9880559814364,4902.772954147356
newton,3.0,0.25,335.0,-6092.534792650941,5383.4681534138135,-5711.887360629425,7796.863678503429,2304.2626450378825,5711.887360629425
newton,3.0,0.25,340.0,-6680.324318697704,3538.1504817764608,-6306.112983280034,7487.570201621853,1039.9684180125087,6306.112983280034
newton,3.0,0.25,345.0,-8058.537469489779,2431.7633127925596,-5598.083403497504,8413.336122430645,263.20001447236746,5598.083403497504
newton,3.0,0.25,350.0,-8886.077741919693,3143.6035019584006,-5678.914238650752,9296.959273534185,1552.7938946339343,5678.914238650752
newton,3.0,0.25,355.0,-9640.705155238204,3815.955468514878,-6242.454731732718,9936.60179466446,2961.1917874727596,6242.454731732718
newton,4.0,0.25,0.0,-8931.154024458403,-324.69255554967094,-2684.306080217415,8931.154024458403,-324.69255554967094,2684.306080217415
newton,4.0,0.25,5.0,-8406.13221613766,-725.1124952581323,-2829.9017962451026,8437.342063274382,10.289473636268099,2829.9017962451026
newton,4.0,0.25,10.0,-8478.209570113211,-1884.5577912852168,-2885.1196160414474,8676.656542474482,-383.7014821287562,2885.1196160414474
newton,4.0,0.25,15.0,-8183.699269390963,-3132.986590420508,-3170.4948204761695,8715.723076539349,-908.1354307945344,3170.4948204761695
newton,4.0,0.25,20.0,-7593.975920043713,-4115.760892829013,-2613.992832104337,8543.676264950518,-1270.2574073256178,2613.992832104337
newton,4.0,0.25,25.0,-7056.829198669648,-3889.651679430675,-2413.789938413472,8039.497086079688,-542.8767165854247,2413.789938413472
newton,4.0,0.25,30.0,-6316.855834112555,-3966.5398650421466,-2455.2090874537926,7453.827556906486,-276.69637119392064,2455.2090874537926
newton,4.0,0.25,35.0,-5226.691746805232,-4643.228727287946,-2545.1766464545185,6944.70181582453,-805.6030780213259,2545.1766464545185
newton,4.0,0.25,40.0,-5083.481188532043,-4365.086111390745,-2143.4994955046564,6699.995783791597,-76.25123730370888,2143.4994955046564
newton,4.0,0.25,45.0,-5339.299517737524,-4193.334070821933,-2644.660164599336,6740.589853037045,810.3199385194871,2644.660164599336
newton,4.0,0.25,50.0,-4426.583318285378,-4679.253427681044,-2926.205921242754,6429.868996459461,383.1934270790357,2926.205921242754
newton,4.0,0.25,55.0,-3707.3331564119085,-5185.116178935514,-3058.721364093244,6373.83745807177,62.80907395519034,3058.721364093244
newton,4.0,0.25,60.0,-3189.344046969719,-5156.181274602937,-2941.1419122231414,6060.05599380863,183.96232878297724,2941.1419122231414
newton,4.0,0.25,65.0,-2573.9129260917894,-5801.721476701908,-2750.4980296880776,6345.9279592495395,-119.15611751616643,2750.4980296880776
newton,4.0,0.25,70.0,-2397.95341513051,-5505.342747882574,-2534.832289670877,5993.478325813685,370.40101349877864,2534.832289670877
