band,mode,ky,kx,q,q_pass
high,329,13,17,0.9144468763157495,True
high,330,13,18,0.9565641887041106,True
high,331,13,19,0.9136942491937956,True
high,332,13,20,0.9520046308457402,True
high,333,13,21,0.9152772345580137,True
high,334,13,22,0.9497736011945105,True
high,335,13,23,0.9158548748621388,True
high,336,14,0,0.9880259253380843,True
high,337,14,1,1.0049201770240717,True
high,338,14,2,0.9514232935736926,True
high,339,14,3,1.0479167134846463,True
high,340,14,4,1.039198489801804,True
high,341,14,5,1.0726120845869278,True
high,342,14,6,1.0747941014224136,True
high,343,14,7,0.9490683311658598,True
high,344,14,8,1.0459574793446595,True
high,345,14,9,0.8750955410440303,True
high,346,14,10,1.0599482398475053,True
high,347,14,11,1.0986815755597097,True
high,348,14,12,1.1146602638920888,True
high,349,14,13,1.006729901206501,True
high,350,14,14,0.987639937159729,True
high,351,14,15,1.0116069982533826,True
high,352,14,16,0.9220375833930441,True
high,353,14,17,1.044933796783173,True
high,354,14,18,0.9806547069565549,True
high,355,14,19,1.0525075029480875,True
high,356,14,20,0.9686633535930402,True
high,357,14,21,1.0559438719004888,True
high,358,14,22,0.966203656589523,True
high,359,14,23,1.0573466985711264,True
high,360,15,0,1.0029939813744264,True
high,361,15,1,1.061769311854167,True
high,362,15,2,1.0669788242480067,True
high,363,15,3,1.0228183161112154,True
high,364,15,4,0.9413108101290584,True
high,365,15,5,1.0824026152943471,True
high,366,15,6,1.007570423571644,True
high,367,15,7,1.0061315788188356,True
high,368,15,8,0.9909000718497525,True
high,369,15,9,1.0508297309074601,True
high,370,15,10,0.8304617113650885,True
high,371,15,11,0.9893789211292879,True
high,372,15,12,0.9621124378513731,True
high,373,15,13,1.0694856070954497,True
high,374,15,14,1.0718652817533025,True
high,375,15,15,0.9758620012948505,True
high,376,15,16,1.0916920257105092,True
high,377,15,17,1.000646784457676,True
high,378,15,18,1.1062084826632312,True
high,379,15,19,0.9594787768474721,True
high,380,15,20,1.1014967164640947,True
high,381,15,21,0.9514343336200382,True
high,382,15,22,1.099607870883034,True
high,383,15,23,0.949070220216434,True
high,384,16,0,0.9773696587201697,True
high,385,16,1,1.0274375821011144,True
high,386,16,2,0.9103094982760096,True
high,387,16,3,0.8945772601560241,True
high,388,16,4,0.9905790300213069,True
high,389,16,5,0.880385449750005,True
high,390,16,6,1.0402104772365217,True
high,391,16,7,1.0089038379855764,True
high,392,16,8,1.0051687678447028,True
high,393,16,9,0.9606036973185391,True
high,394,16,10,0.9286265775476108,True
high,395,16,11,0.9130113047584949,True
high,396,16,12,1.0281015602521049,True
high,397,16,13,0.965721218826528,True
high,398,16,14,1.0729152692903114,True
high,399,16,15,0.9403399026866788,True
high,400,16,16,0.9544282650156805,True
high,401,16,17,1.0161287097880463,True
high,402,16,18,0.9872667389417363,True
high,403,16,19,0.9741803969077194,True
high,404,16,20,0.993986056769337,True
high,405,16,21,0.9682139293976658,True
high,406,16,22,0.99605133482178,True
high,407,16,23,0.9662135915651197,True
high,408,17,0,1.043773944731294,True
high,409,17,1,1.1347525361197,True
high,410,17,2,1.0891405740076887,True
high,411,17,3,1.030597927607195,True
high,412,17,4,0.9825413732678779,True
high,413,17,5,0.9509528280489652,True
high,414,17,6,0.9134499291981714,True
high,415,17,7,0.8907009050234971,True
high,416,17,8,0.9884440722267294,True
high,417,17,9,1.0036099122106947,True
high,418,17,10,0.8891916040541493,True
high,419,17,11,1.1461320218227282,True
high,420,17,12,0.9435358464947319,True
high,421,17,13,1.0474185169904118,True
high,422,17,14,0.9786964887273677,True
high,423,17,15,0.9953738144636126,True
high,424,17,16,1.0580905010423456,True
high,425,17,17,1.0846007218749236,True
high,426,17,18,1.0238229128135434,True
high,427,17,19,1.0926636113881776,True
high,428,17,20,1.0276484353248787,True
high,429,17,21,1.0886667866715218,True
high,430,17,22,1.0283187947607528,True
high,431,17,23,1.0875919841588964,True
high,432,18,0,1.1353802908224757,True
high,433,18,1,1.02874510479372,True
high,434,18,2,0.9585799591961652,True
high,435,18,3,0.8413708262556874,True
high,436,18,4,1.0879216896721486,True
high,437,18,5,0.9544437019664018,True
high,438,18,6,0.950155560521205,True
high,439,18,7,1.0399108634865732,True
high,440,18,8,0.9953767183886496,True
high,441,18,9,0.9863908846497692,True
high,442,18,10,0.9244849219957749,True
high,443,18,11,0.9819421980978851,True
high,444,18,12,0.9954265310147072,True
high,445,18,13,1.005600134864164,True
high,446,18,14,1.080348993005106,True
high,447,18,15,0.9812991131378642,True
high,448,18,16,0.9322764799452982,True
high,449,18,17,1.0365540021347277,True
high,450,18,18,0.9709202959358727,True
high,451,18,19,1.0316396691202783,True
high,452,18,20,0.969810868744635,True
high,453,18,21,1.0324516891824862,True
high,454,18,22,0.969417745751615,True
high,455,18,23,1.0325323431708022,True
high,456,19,0,0.9689878978137821,True
high,457,19,1,1.0930226325991639,True
high,458,19,2,1.1004459552380887,True
high,459,19,3,1.0065795970572484,True
high,460,19,4,0.9916150183273137,True
high,461,19,5,0.9638706233202046,True
high,462,19,6,0.9763230000891726,True
high,463,19,7,0.9529561530794245,True
high,464,19,8,0.9887512688216298,True
high,465,19,9,0.9546395924547193,True
high,466,19,10,0.8926323131993215,True
high,467,19,11,1.1589431193704847,True
high,468,19,12,0.9356885905291263,True
high,469,19,13,1.073857783576906,True
high,470,19,14,0.9877235133652372,True
high,471,19,15,1.006782104485245,True
high,472,19,16,1.0743314428369297,True
high,473,19,17,1.0824726475767834,True
