detector,group,branch,center,shift,amplitude,kind,mean_true_full_retention_difference
native_core,gaussian,boxcar_hanning_decimated,61,4,10,streaming,-0.011643297210697678
native_core,noiseless,boxcar_independent,10,0,5,warp,-0.007312231265278857
native_core,noiseless,boxcar_independent,10,0,10,warp,0.000693553929055124
native_core,noiseless,boxcar_independent,10,-4,5,warp,-0.01041613074806208
native_core,noiseless,boxcar_independent,10,-4,10,warp,-0.0027478911262304173
native_core,noiseless,boxcar_independent,10,4,5,warp,-0.010460182286564534
native_core,noiseless,boxcar_independent,10,4,10,warp,-0.0007128195632793988
native_core,noiseless,boxcar_independent,10,0,5,streaming,-0.011596471561829691
native_core,noiseless,boxcar_independent,10,0,10,streaming,-0.00852245797620732
native_core,noiseless,boxcar_independent,10,-4,5,streaming,-0.019056465133591827
native_core,noiseless,boxcar_independent,10,-4,10,streaming,-0.01064559286581701
native_core,noiseless,boxcar_independent,10,4,5,streaming,-0.022694710506959426
native_core,noiseless,boxcar_independent,10,4,10,streaming,-0.011067638275007452
native_core,noiseless,boxcar_independent,36,0,5,warp,-0.010548008692422783
native_core,noiseless,boxcar_independent,36,0,10,warp,-0.003989864105806595
native_core,noiseless,boxcar_independent,36,-4,5,warp,-0.012978403000162175
native_core,noiseless,boxcar_independent,36,-4,10,warp,-0.002060524863787272
native_core,noiseless,boxcar_independent,36,4,5,warp,-0.012604571679428689
native_core,noiseless,boxcar_independent,36,4,10,warp,-0.001040638529724025
native_core,noiseless,boxcar_independent,36,0,5,streaming,-0.00985380547284087
native_core,noiseless,boxcar_independent,36,0,10,streaming,-0.017030047509438928
native_core,noiseless,boxcar_independent,36,-4,5,streaming,-0.021356522045203385
native_core,noiseless,boxcar_independent,36,-4,10,streaming,-0.013602220757530148
native_core,noiseless,boxcar_independent,36,4,5,streaming,-0.020626943967305855
native_core,noiseless,boxcar_independent,36,4,10,streaming,-0.012722926822432923
native_core,noiseless,boxcar_independent,61,0,5,warp,-0.005975622805002134
native_core,noiseless,boxcar_independent,61,0,10,warp,-0.005508176878538884
native_core,noiseless,boxcar_independent,61,-4,5,warp,-0.011424232390478628
native_core,noiseless,boxcar_independent,61,-4,10,warp,-0.0036330814237625075
native_core,noiseless,boxcar_independent,61,4,5,warp,-0.014018351376201776
native_core,noiseless,boxcar_independent,61,4,10,warp,-0.004439706765606122
native_core,noiseless,boxcar_independent,61,0,5,streaming,-0.014179312362316676
native_core,noiseless,boxcar_independent,61,0,10,streaming,-0.017326186293344592
native_core,noiseless,boxcar_independent,61,-4,5,streaming,-0.02400811912863854
native_core,noiseless,boxcar_independent,61,-4,10,streaming,-0.013704318288341732
native_core,noiseless,boxcar_independent,61,4,5,streaming,-0.02610309210979672
native_core,noiseless,boxcar_independent,61,4,10,streaming,-0.013910261071988894
native_core,noiseless,boxcar_hanning_full,10,0,5,warp,-0.006911414834297636
native_core,noiseless,boxcar_hanning_full,10,0,10,warp,-0.0016332807475605282
native_core,noiseless,boxcar_hanning_full,10,-4,5,warp,-0.0021453929691524487
native_core,noiseless,boxcar_hanning_full,10,-4,10,warp,-0.00023460038416556195
native_core,noiseless,boxcar_hanning_full,10,4,5,warp,-0.0009631221490872255
native_core,noiseless,boxcar_hanning_full,10,4,10,warp,-0.0017557118105721026
native_core,noiseless,boxcar_hanning_full,10,0,5,streaming,-0.008690202700227911
native_core,noiseless,boxcar_hanning_full,10,0,10,streaming,-0.011446608611570097
native_core,noiseless,boxcar_hanning_full,10,-4,5,streaming,-0.015498007840089423
native_core,noiseless,boxcar_hanning_full,10,-4,10,streaming,-0.011364064214455571
native_core,noiseless,boxcar_hanning_full,10,4,5,streaming,-0.011691863716567996
native_core,noiseless,boxcar_hanning_full,10,4,10,streaming,-0.015198241583704086
native_core,noiseless,boxcar_hanning_full,36,0,5,warp,-0.0019464899857939977
native_core,noiseless,boxcar_hanning_full,36,0,10,warp,-0.002391551546090276
native_core,noiseless,boxcar_hanning_full,36,-4,5,warp,-0.004371537891131372
native_core,noiseless,boxcar_hanning_full,36,-4,10,warp,7.428108022156099e-05
native_core,noiseless,boxcar_hanning_full,36,4,5,warp,-0.0022892144189866626
native_core,noiseless,boxcar_hanning_full,36,4,10,warp,0.0019393876038557023
native_core,noiseless,boxcar_hanning_full,36,0,5,streaming,-0.01173930980169946
native_core,noiseless,boxcar_hanning_full,36,0,10,streaming,-0.01487519162468276
native_core,noiseless,boxcar_hanning_full,36,-4,5,streaming,-0.02317490862242333
