kind,branch,coarse_nr,fine_nr,aperture,profile_L1,centroid_km_s,passed
streaming,boxcar_hanning_full,64,128,6,6.767215332529637e-05,2.956053180014351e-07,True
streaming,boxcar_hanning_full,64,128,7,6.763407401500477e-05,2.6264902075467944e-07,True
streaming,boxcar_hanning_full,64,128,8,6.771534012424e-05,2.4963761546814567e-07,True
streaming,boxcar_hanning_full,64,128,9,6.492056488908094e-05,8.889446081461472e-06,True
streaming,boxcar_hanning_full,64,128,10,6.771709288183596e-05,6.740121065718085e-07,True
streaming,boxcar_hanning_full,64,128,11,6.671445681103987e-05,9.583974502902493e-08,True
streaming,boxcar_hanning_full,64,128,12,0.004955936561127829,0.000270974524234191,True
streaming,boxcar_hanning_full,64,128,13,0.00046656137885889537,0.0033623988360567125,True
streaming,boxcar_hanning_full,64,128,14,0.0005990824023578727,0.0008602777389512539,True
streaming,boxcar_hanning_decimated,64,128,0,0.008306850991309145,0.01559872022729536,True
streaming,boxcar_hanning_decimated,64,128,1,0.012465241799082703,0.06808179789997837,False
streaming,boxcar_hanning_decimated,64,128,2,7.947238449519172e-05,0.0005166633085806893,True
streaming,boxcar_hanning_decimated,64,128,3,0.0009311524351949885,0.002368835498952393,True
streaming,boxcar_hanning_decimated,64,128,4,0.0025742724097419316,8.281333953163994e-05,True
streaming,boxcar_hanning_decimated,64,128,5,6.767692920598448e-05,1.922992964864534e-08,True
streaming,boxcar_hanning_decimated,64,128,6,6.76721533253773e-05,2.956053188896135e-07,True
streaming,boxcar_hanning_decimated,64,128,7,6.763407401498224e-05,2.6264902075467944e-07,True
streaming,boxcar_hanning_decimated,64,128,8,6.771534012425244e-05,2.496376083627183e-07,True
streaming,boxcar_hanning_decimated,64,128,9,6.49205648927056e-05,8.889446081461472e-06,True
streaming,boxcar_hanning_decimated,64,128,10,6.771709288192908e-05,6.740121065718085e-07,True
streaming,boxcar_hanning_decimated,64,128,11,6.671445681088904e-05,9.583974502902493e-08,True
streaming,boxcar_hanning_decimated,64,128,12,0.004956393131710006,0.0002709745244757755,True
streaming,boxcar_hanning_decimated,64,128,13,0.0005500335453018024,0.0033623988360851342,True
streaming,boxcar_hanning_decimated,64,128,14,0.000618637108573095,0.0008602777389512539,True
asymmetric,boxcar_independent,32,64,0,0.15865608441424028,0.7418813395941299,False
asymmetric,boxcar_independent,32,64,1,0.11220423341103218,0.19229796987575654,False
asymmetric,boxcar_independent,32,64,2,0.010013049264029912,0.07837012452266023,False
asymmetric,boxcar_independent,32,64,3,0.02287173252270596,0.08979801591272896,False
asymmetric,boxcar_independent,32,64,4,0.12040534092814151,0.043447588820153094,False
asymmetric,boxcar_independent,32,64,5,0.0002807955220807754,0.0014356187901469752,True
asymmetric,boxcar_independent,32,64,6,0.0005320512353089501,0.004102423088728102,True
asymmetric,boxcar_independent,32,64,7,0.0015089239853436315,0.008845717372693684,True
asymmetric,boxcar_independent,32,64,8,0.0032154769395536837,0.004321029538147059,True
asymmetric,boxcar_independent,32,64,9,0.0062729738350613025,0.01680708593642244,True
asymmetric,boxcar_independent,32,64,10,0.001896374008214623,0.014949415186539028,True
asymmetric,boxcar_independent,32,64,11,0.0012446256045208321,0.002251957229081114,True
asymmetric,boxcar_independent,32,64,12,0.1033254856932273,0.12485298179568494,False
asymmetric,boxcar_independent,32,64,13,0.030691272313602774,0.1658878059289428,False
asymmetric,boxcar_independent,32,64,14,0.017787833623296757,0.08854154997581176,False
asymmetric,boxcar_hanning_full,32,64,0,0.15535358563077106,0.7418813395941282,False
asymmetric,boxcar_hanning_full,32,64,1,0.11080613108809845,0.19229796987575565,False
asymmetric,boxcar_hanning_full,32,64,2,0.00867694501519829,0.07837012452266023,True
asymmetric,boxcar_hanning_full,32,64,3,0.022818075891020716,0.08979801591273073,False
asymmetric,boxcar_hanning_full,32,64,4,0.12040533992192103,0.043447588820153094,False
asymmetric,boxcar_hanning_full,32,64,5,0.0002807949759577837,0.0014356187901469752,True
asymmetric,boxcar_hanning_full,32,64,6,0.00046639661069678123,0.004102423088724549,True
asymmetric,boxcar_hanning_full,32,64,7,0.001416965839504344,0.00884571737270079,True
asymmetric,boxcar_hanning_full,32,64,8,0.003215137320769949,0.004321029538125742,True
asymmetric,boxcar_hanning_full,32,64,9,0.006232482204604059,0.016807085936424215,True
asymmetric,boxcar_hanning_full,32,64,10,0.0016436550496983107,0.014949415186535475,True
asymmetric,boxcar_hanning_full,32,64,11,0.0012446253692701631,0.002251957229081114,True
asymmetric,boxcar_hanning_full,32,64,12,0.1033254856932272,0.12485298179568538,False
asymmetric,boxcar_hanning_full,32,64,13,0.027472225639252765,0.16588780592893926,False
asymmetric,boxcar_hanning_full,32,64,14,0.01721452657573532,0.0885415499758011,False
asymmetric,boxcar_hanning_decimated,32,64,0,0.15840421013606262,0.7418813395917212,False
