hrs	radius_kpc	radius_error_kpc	velocity_km_s	velocity_error_km_s	bins	side
80	1.230000000000e+00	2.000000000000e-02	-8.000000000000e+00	1.100000000000e+01	2	a
80	1.890000000000e+00	2.100000000000e-01	4.200000000000e+01	2.000000000000e+00	22	a
80	2.530000000000e+00	1.200000000000e-01	5.900000000000e+01	2.000000000000e+00	22	a
80	2.810000000000e+00	7.000000000000e-02	6.300000000000e+01	4.000000000000e+00	22	a
80	3.000000000000e+00	4.000000000000e-02	6.300000000000e+01	2.000000000000e+00	22	a
80	3.150000000000e+00	4.000000000000e-02	7.200000000000e+01	4.000000000000e+00	22	a
80	3.310000000000e+00	6.000000000000e-02	7.100000000000e+01	3.000000000000e+00	22	a
80	3.480000000000e+00	6.000000000000e-02	7.200000000000e+01	4.000000000000e+00	22	a
80	3.650000000000e+00	5.000000000000e-02	7.800000000000e+01	3.000000000000e+00	22	a
80	3.980000000000e+00	1.500000000000e-01	7.500000000000e+01	4.000000000000e+00	22	a
80	4.520000000000e+00	1.300000000000e-01	8.000000000000e+01	3.000000000000e+00	22	a
80	5.120000000000e+00	2.900000000000e-01	8.300000000000e+01	6.000000000000e+00	22	a
80	7.000000000000e-02	0.000000000000e+00	1.700000000000e+01	1.000000000000e+00	2	r
80	1.300000000000e-01	1.000000000000e-02	1.700000000000e+01	6.000000000000e+00	2	r
80	2.100000000000e-01	2.000000000000e-02	1.200000000000e+01	1.000000000000e+01	5	r
80	3.000000000000e-01	2.000000000000e-02	2.200000000000e+01	1.000000000000e+00	2	r
80	4.800000000000e-01	1.000000000000e-02	1.900000000000e+01	7.000000000000e+00	2	r
80	6.400000000000e-01	1.000000000000e-02	7.000000000000e+00	1.900000000000e+01	2	r
80	7.600000000000e-01	0.000000000000e+00	3.500000000000e+01	1.900000000000e+01	1	r
80	8.200000000000e-01	3.000000000000e-02	1.000000000000e+01	4.000000000000e+00	3	r
80	9.200000000000e-01	0.000000000000e+00	0.000000000000e+00	1.900000000000e+01	1	r
80	1.010000000000e+00	1.000000000000e-02	-1.900000000000e+01	6.000000000000e+00	3	r
80	1.050000000000e+00	0.000000000000e+00	-3.000000000000e+00	1.200000000000e+01	2	r
