domain_id,target,common_inverse_square_scale,per_target_inverse_square_scale,dark_magnitude_min_m_s2,dark_magnitude_median_m_s2,dark_magnitude_max_m_s2,common_scale_residual_max_m_s2,per_target_scale_residual_max_m_s2,dark_radial_absolute_max_m_s2,common_scale_radial_residual_max_m_s2,per_target_scale_radial_residual_max_m_s2,published_outer_bound_m_s2,raw_to_outer_bound,common_residual_to_outer_bound,per_target_residual_to_outer_bound
D04_SUN_THROUGH_SATURN,URANUS,3.902238545249e-01,7.768401646172e-01,7.357533291453e-06,1.254240647487e-05,1.787929265110e-05,1.089834619920e-05,4.693028137154e-06,1.787876970634e-05,1.089802896707e-05,4.692934319433e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D04_SUN_THROUGH_SATURN,NEPTUNE,3.902238545249e-01,7.742577928836e-01,3.212376755906e-06,5.283228497949e-06,6.794676524819e-06,4.140568392514e-06,1.888912260742e-06,6.793006267831e-06,4.139517343894e-06,1.888785615214e-06,2.187500000000e-10,3.105374293866e+04,1.892350785780e+04,8.634448526693e+03
D05_SUN_EIGHT_PLANETS,MERCURY,2.150747090547e-01,1.927927376658e-01,5.422569680517e-03,8.088290325894e-03,1.326471916822e-02,6.341043078847e-03,4.945948407766e-03,1.326471916821e-02,6.341043078847e-03,4.945948407766e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D05_SUN_EIGHT_PLANETS,VENUS,2.150747090547e-01,4.177808591830e-01,3.495191508715e-03,4.635778224475e-03,6.574452060774e-03,4.106029689933e-03,1.804289367554e-03,6.574452060698e-03,4.106029689894e-03,1.804289367414e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D05_SUN_EIGHT_PLANETS,EARTH,2.150747090547e-01,5.262969160787e-01,2.307708240281e-03,3.073752691966e-03,4.404543215575e-03,3.085548327750e-03,1.180277243299e-03,4.404543215278e-03,3.085548327509e-03,1.180277243209e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D05_SUN_EIGHT_PLANETS,MARS,2.150747090547e-01,6.196293453748e-01,1.034691046922e-03,1.561117992306e-03,2.540787749626e-03,1.873293165973e-03,6.295257300952e-04,2.540787748105e-03,1.873293164669e-03,6.295257298084e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D05_SUN_EIGHT_PLANETS,JUPITER,2.150747090547e-01,6.602652496316e-01,1.036793155344e-04,1.410497016339e-04,2.160370574043e-04,1.649203766430e-04,5.935562493926e-05,2.160370573894e-04,1.649203766242e-04,5.935562486430e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D05_SUN_EIGHT_PLANETS,SATURN,2.150747090547e-01,6.654043102390e-01,2.956481002047e-05,4.092289723407e-05,6.170182876019e-05,4.612673151052e-05,1.627981998517e-05,6.170179383665e-05,4.612668976653e-05,1.627980460192e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D05_SUN_EIGHT_PLANETS,URANUS,2.150747090547e-01,6.595804188620e-01,7.435361421210e-06,1.033048462565e-05,1.399492584776e-05,1.037447959447e-05,3.755290178729e-06,1.399414160412e-05,1.037430914449e-05,3.755226507501e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D05_SUN_EIGHT_PLANETS,NEPTUNE,2.150747090547e-01,6.616423250317e-01,3.294941978603e-06,4.297351013545e-06,6.193421313081e-06,4.732043870558e-06,1.701122583643e-06,6.193414349883e-06,4.732035803877e-06,1.701115079481e-06,2.187500000000e-10,2.831275131375e+04,2.163216367487e+04,7.776526077626e+03
D06_MOON_SPLIT,MERCURY,2.150746332456e-01,1.927927376653e-01,5.422569680510e-03,8.088290325889e-03,1.326471916816e-02,6.341038332377e-03,4.945948407745e-03,1.326471916814e-02,6.341038332377e-03,4.945948407745e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D06_MOON_SPLIT,VENUS,2.150746332456e-01,4.177808591825e-01,3.495191508713e-03,4.635778224459e-03,6.574452060764e-03,4.106030557446e-03,1.804289367534e-03,6.574452060688e-03,4.106030557407e-03,1.804289367395e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D06_MOON_SPLIT,EARTH,2.150746332456e-01,5.263364180554e-01,2.307707915794e-03,3.073752615191e-03,4.404543940555e-03,3.079638554503e-03,1.169885310952e-03,4.404543940252e-03,3.079636013636e-03,1.169799609698e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D06_MOON_SPLIT,MARS,2.150746332456e-01,6.196293453736e-01,1.034691046922e-03,1.561117992301e-03,2.540787749619e-03,1.873293401244e-03,6.295257300969e-04,2.540787748098e-03,1.873293399939e-03,6.295257298101e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D06_MOON_SPLIT,JUPITER,2.150746332456e-01,6.602652496309e-01,1.036793155349e-04,1.410497016349e-04,2.160370574031e-04,1.649203946470e-04,5.935562493950e-05,2.160370573882e-04,1.649203946282e-04,5.935562486454e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D06_MOON_SPLIT,SATURN,2.150746332456e-01,6.654043102378e-01,2.956481002109e-05,4.092289723306e-05,6.170182875885e-05,4.612673654002e-05,1.627981998545e-05,6.170179383531e-05,4.612669479602e-05,1.627980460220e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D06_MOON_SPLIT,URANUS,2.150746332456e-01,6.595804188614e-01,7.435361421326e-06,1.033048462626e-05,1.399492584676e-05,1.037448072252e-05,3.755290178549e-06,1.399414160311e-05,1.037431027252e-05,3.755226507319e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D06_MOON_SPLIT,NEPTUNE,2.150746332456e-01,6.616423250334e-01,3.294941979193e-06,4.297351013481e-06,6.193421311773e-06,4.732044384891e-06,1.701122583668e-06,6.193414348575e-06,4.732036318212e-06,1.701115079507e-06,2.187500000000e-10,2.831275130777e+04,2.163216602611e+04,7.776526077745e+03
D07_ASTEROID_RING,MERCURY,2.150746138837e-01,1.927927194211e-01,5.422569402614e-03,8.088289692647e-03,1.326471751117e-02,6.341037569711e-03,4.945947715058e-03,1.326471751115e-02,6.341037569711e-03,4.945947715058e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D07_ASTEROID_RING,VENUS,2.150746138837e-01,4.177808284030e-01,3.495191380921e-03,4.635777889842e-03,6.574451407417e-03,4.106030126374e-03,1.804289070209e-03,6.574451407341e-03,4.106030126334e-03,1.804289070069e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D07_ASTEROID_RING,EARTH,2.150746138837e-01,5.263363857266e-01,2.307707856032e-03,3.073752427139e-03,4.404543555073e-03,3.079638288337e-03,1.169885127305e-03,4.404543554770e-03,3.079635747470e-03,1.169799426048e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D07_ASTEROID_RING,MARS,2.150746138837e-01,6.196293159674e-01,1.034691037013e-03,1.561117907021e-03,2.540787561072e-03,1.873293272857e-03,6.295256350823e-04,2.540787559551e-03,1.873293271553e-03,6.295256347954e-04,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D07_ASTEROID_RING,JUPITER,2.150746138837e-01,6.602652256810e-01,1.036793156367e-04,1.410496962646e-04,2.160370444203e-04,1.649203861507e-04,5.935561733781e-05,2.160370444054e-04,1.649203861319e-04,5.935561726285e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D07_ASTEROID_RING,SATURN,2.150746138837e-01,6.654042856149e-01,2.956481005848e-05,4.092289580189e-05,6.170182532197e-05,4.612673414875e-05,1.627981789736e-05,6.170179039843e-05,4.612669240475e-05,1.627980251411e-05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D07_ASTEROID_RING,URANUS,2.150746138837e-01,6.595803949975e-01,7.435361430710e-06,1.033048436938e-05,1.399492511408e-05,1.037448018245e-05,3.755289697787e-06,1.399414087048e-05,1.037430973246e-05,3.755226026563e-06,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
D07_ASTEROID_RING,NEPTUNE,2.150746138837e-01,6.616423009114e-01,3.294941983535e-06,4.297350864833e-06,6.193420935559e-06,4.732044138406e-06,1.701122366306e-06,6.193413972361e-06,4.732036071726e-06,1.701114862145e-06,2.187500000000e-10,2.831274958794e+04,2.163216489932e+04,7.776525084092e+03
