id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
	227.626624	5.602236	0.076249	0.000097	T13		10.677	0.9376
	227.648635	5.615647	0.079535	0.000187	T13		9.263	0.8134
	227.677171	5.606128	0.075292	0.000110	MMT		8.975	0.7882
	227.701603	5.594896	0.076540	0.000090	MMT		9.192	0.8072
	227.729610	5.558798	0.079195	0.000133	T13		11.158	0.9798
	227.804755	5.605045	0.073558	0.000097	T13		9.392	0.8247
	227.806493	5.596623	0.078821	0.000103	T13		9.890	0.8685
	227.813364	5.621901	0.072574	0.000090	T13		8.769	0.7700
	227.819034	5.575433	0.081530	0.000087	T13		11.362	0.9977
	227.857863	5.630805	0.082464	0.000067	T13		10.081	0.8852
	227.853232	5.633006	0.071626	0.000100	MMT		9.789	0.8596
	227.840671	5.626003	0.075315	0.000113	T13		9.565	0.8399
	227.849207	5.636170	0.082917	0.000073	T13		9.483	0.8328
	227.883330	5.718595	0.074008	0.000070	T13		9.066	0.7961
	227.753103	5.595902	0.077350	0.000127	MMT		9.004	0.7906
	227.757109	5.577167	0.073691	0.000020	MMT		10.149	0.8912
	227.802383	5.579439	0.081636	0.000067	MMT		10.730	0.9422
	227.843320	5.596477	0.074361	0.000083	T13		11.041	0.9696
	227.815722	5.565933	0.075416	0.000133	T13		11.791	1.0354
	227.923065	5.703750	0.080172	0.000097	T13		11.566	1.0157
	227.920228	5.658655	0.078091	0.000070	T13		12.273	1.0777
	227.931186	5.675103	0.076410	0.000043	MMT		12.506	1.0981
	227.899213	5.636867	0.078935	0.000130	T13		11.810	1.0370
	227.906441	5.632432	0.078751	0.000163	T13		12.316	1.0815
	227.910235	5.635249	0.076049	0.000077	T13		12.416	1.0903
	227.692258	5.960358	0.073684	0.000163	MMT		13.173	1.1568
	227.705485	5.947634	0.079782	0.000103	T13		12.291	1.0793
	227.709671	5.958480	0.080746	0.000250	T13		12.906	1.1333
	227.759514	5.957161	0.075722	0.000060	T13		12.839	1.1274
	227.831529	5.937097	0.079015	0.000083	T13		12.934	1.1358
	227.618709	5.835962	0.085402	0.000140	MMT		8.782	0.7712
	227.624504	5.844233	0.074728	0.000153	MMT		8.842	0.7764
	227.551836	5.798311	0.080309	0.000063	MMT		11.326	0.9945
	227.555346	5.801159	0.074578	0.000137	T13		11.175	0.9813
	227.556629	5.782739	0.076016	0.000027	T13		10.817	0.9498
	227.579882	5.844905	0.079158	0.000063	T13		10.977	0.9639
	227.585798	5.855017	0.081223	0.000087	T13		11.036	0.9691
	227.581581	5.786523	0.078601	0.000100	T13		9.424	0.8275
	227.594016	5.747454	0.076526	0.000120	T13		8.344	0.7327
	227.606046	5.841118	0.074472	0.000070	T13		9.569	0.8403
	227.599755	5.875949	0.081436	0.000080	T13		11.224	0.9856
	227.579177	5.875335	0.072914	0.000150	T13		12.106	1.0630
	227.600255	5.833363	0.073764	0.000030	MMT		9.581	0.8413
	227.610073	5.875226	0.083438	0.000117	MMT		10.762	0.9450
	227.901980	5.828036	0.074745	0.000077	T13		11.218	0.9851
	227.774432	5.903820	0.078594	0.000060	T13		9.850	0.8650
	227.786661	5.929369	0.081076	0.000067	T13		11.520	1.0116
	227.832311	5.877826	0.073441	0.000063	T13		9.919	0.8710
	227.848733	5.882248	0.076600	0.000020	SDSS		10.733	0.9425
	227.880229	5.860209	0.082547	0.000117	T13		11.157	0.9797
	227.881237	5.854176	0.073711	0.000023	SDSS		10.984	0.9645
	227.893098	5.884672	0.079195	0.000223	MMT		12.688	1.1142
	227.897203	5.867139	0.082357	0.000073	T13		12.213	1.0724
	227.890406	5.763153	0.084732	0.000100	T13		9.417	0.8269
	227.907211	5.806792	0.071953	0.000057	T13		11.004	0.9663
	227.892639	5.792839	0.082063	0.000077	MMT		9.915	0.8706
	227.884639	5.876510	0.075963	0.000097	T13		11.985	1.0525
	227.949341	5.756063	0.077384	0.000187	T13		12.888	1.1318
	227.924461	5.828605	0.080336	0.000057	MMT		12.447	1.0930
	227.913290	5.757572	0.083348	0.000083	T13		10.746	0.9436
	227.935432	5.732961	0.081700	0.000157	T13		12.061	1.0591
	227.543165	5.571147	0.076380	0.000067	T13		15.426	1.3546
	227.540399	5.575625	0.076740	0.000073	T13		15.369	1.3496
	227.539187	5.572411	0.076470	0.000050	T13		15.551	1.3656
	227.556717	5.668535	0.084358	0.000033	MMT		11.515	1.0112
	227.468860	5.679732	0.080799	0.000080	T13		16.288	1.4303
	227.499771	5.678734	0.073187	0.000073	T13		14.519	1.2750
	227.528480	5.728524	0.075772	0.000023	MMT		12.293	1.0795
	227.531852	5.663041	0.084178	0.000017	T13		13.012	1.1426
	227.554164	5.603926	0.079148	0.000070	T13		13.650	1.1987
	227.554267	5.595652	0.083578	0.000060	T13		13.958	1.2257
	227.563557	5.634793	0.082977	0.000090	T13		12.114	1.0638
	227.572439	5.558620	0.079792	0.000073	T13		14.746	1.2949
	227.500652	5.688085	0.073864	0.000067	T13		14.325	1.2579
	227.526967	5.715155	0.076073	0.000123	MMT		12.472	1.0952
	227.460565	5.698490	0.083007	0.000017	T13		16.544	1.4527
	227.524374	5.574242	0.077087	0.000170	MMT		16.153	1.4184
	227.532287	5.643878	0.073968	0.000110	T13		13.464	1.1823
	227.542915	5.664413	0.078911	0.000130	T13		12.370	1.0863
	227.554902	5.563902	0.076456	0.000130	T13		15.223	1.3368
	227.562621	5.605335	0.077687	0.000083	T13		13.204	1.1594
	227.572158	5.595495	0.082190	0.000207	MMT		13.162	1.1558
	227.606759	5.579057	0.080249	0.000073	T13		12.502	1.0978
	227.595463	5.609126	0.079415	0.000073	T13		11.591	1.0179
	227.623117	5.564746	0.082937	0.000063	T13		12.659	1.1116
	227.610065	5.586578	0.082590	0.000203	MMT		12.024	1.0558
	227.679875	5.558521	0.074635	0.000017	T13		11.626	1.0209
	227.692305	5.559853	0.082003	0.000163	MMT		11.365	0.9980
	227.721365	5.529971	0.083688	0.000127	T13		12.906	1.1333
	227.778112	5.554517	0.079231	0.000103	MMT		11.716	1.0288
	227.788469	5.519667	0.083391	0.000113	T13		13.893	1.2200
	227.845552	5.518841	0.074959	0.000083	T13		15.108	1.3266
	227.850998	5.569547	0.083438	0.000017	T13		12.628	1.1089
	227.793676	5.552904	0.078424	0.000110	T13		12.052	1.0583
	227.800154	5.558175	0.080085	0.000117	T13		11.874	1.0427
	227.836584	5.547064	0.074935	0.000277	T13		13.355	1.1727
	227.853563	5.525721	0.077774	0.000210	MMT		14.961	1.3138
	227.887877	5.563713	0.073534	0.000047	T13		14.235	1.2500
	227.899724	5.564534	0.083091	0.000013	SDSS		14.666	1.2878
	227.930822	5.602578	0.079922	0.000020	MMT		14.532	1.2761
	227.937383	5.657770	0.078057	0.000113	T13		13.230	1.1617
	227.938133	5.586223	0.084365	0.000083	T13		15.471	1.3585
	227.943856	5.604311	0.072293	0.000103	T13		15.111	1.3269
	227.946497	5.605634	0.074095	0.000097	MMT		15.198	1.3346
	227.954688	5.640496	0.077717	0.000070	T13		14.598	1.2819
	227.963605	5.675673	0.075282	0.000070	MMT		14.335	1.2587
	227.993556	5.676312	0.075782	0.000020	MMT		16.045	1.4089
	227.936469	5.616190	0.073628	0.000077	MMT		14.351	1.2602
	227.577113	5.974726	0.075652	0.000110	T13		16.669	1.4637
	227.604309	6.000893	0.080619	0.000107	T13		17.203	1.5106
	227.610607	6.006674	0.077103	0.000060	T13		17.351	1.5236
	227.559737	5.969935	0.074485	0.000027	MMT		17.043	1.4966
	227.586545	5.993774	0.077937	0.000223	T13		17.335	1.5222
	227.677631	6.008815	0.079365	0.000080	T13		16.196	1.4222
	227.623201	6.021286	0.076750	0.000047	T13		17.858	1.5681
	227.630046	6.025497	0.073337	0.000060	T13		17.948	1.5760
	227.632298	6.001953	0.080015	0.000063	T13		16.579	1.4559
	227.631931	5.999191	0.080145	0.000020	SDSS		16.433	1.4430
	227.632636	5.977851	0.073354	0.000070	T13		15.234	1.3378
	227.637457	6.028900	0.083214	0.000100	T13		17.993	1.5800
	227.648448	5.990620	0.084275	0.000097	T13		15.608	1.3706
	227.651981	6.025550	0.081159	0.000067	T13		17.542	1.5404
	227.657697	6.025097	0.080766	0.000153	MMT		17.424	1.5301
	227.646214	5.960126	0.076126	0.000090	T13		13.940	1.2241
	227.673488	6.038557	0.080282	0.000077	T13		17.993	1.5800
	227.668335	5.956030	0.078027	0.000070	T13		13.266	1.1649
	227.677617	5.990902	0.080476	0.000137	T13		15.146	1.3300
	227.682258	5.970624	0.080019	0.000097	T13		13.898	1.2204
	227.719989	5.988982	0.082133	0.000087	T13		14.679	1.2890
	227.733003	5.970587	0.074048	0.000047	T13		13.552	1.1900
	227.744545	6.048295	0.077424	0.000060	T13		18.226	1.6005
	227.753673	5.971661	0.074535	0.000020	SDSS		13.668	1.2002
	227.762765	6.040409	0.077737	0.000023	SDSS		17.826	1.5653
	227.739767	5.981383	0.078548	0.000030	SDSS		14.204	1.2473
	227.748840	6.012028	0.079872	0.000063	MMT		16.064	1.4106
	227.625305	5.989315	0.076740	0.000080	T13		16.040	1.4085
	227.625334	5.988847	0.076890	0.000120	MMT		16.013	1.4062
	227.684747	6.024267	0.079201	0.000023	T13		17.026	1.4951
	227.653911	6.006769	0.077637	0.000107	MMT		16.429	1.4427
	227.671582	5.964767	0.080642	0.000120	T13		13.714	1.2043
	227.709268	6.001311	0.082737	0.000160	T13		15.465	1.3580
	227.730947	6.020081	0.080953	0.000160	MMT		16.523	1.4509
	227.731615	6.006283	0.078608	0.000187	T13		15.694	1.3782
	227.827956	5.962355	0.075496	0.000060	T13		14.217	1.2484
	227.840156	6.019290	0.078918	0.000060	T13		17.656	1.5504
	227.883536	5.979386	0.077674	0.000073	T13		16.678	1.4646
	227.851743	5.992142	0.077177	0.000143	T13		16.431	1.4428
	227.855452	6.000040	0.078424	0.000103	MMT		16.954	1.4888
	227.875801	5.951907	0.075382	0.000100	T13		15.047	1.3213
	227.923014	5.937547	0.079292	0.000117	T13		16.170	1.4199
	227.942990	5.960422	0.078311	0.000087	T13		17.985	1.5793
	227.941174	5.928877	0.078855	0.000023	T13		16.594	1.4572
	227.935562	5.957947	0.075476	0.000147	MMT		17.572	1.5430
	227.969026	5.937690	0.074168	0.000077	T13		18.201	1.5982
	227.703815	5.524450	0.076796	0.000063	T13		13.337	1.1711
	227.626370	5.501862	0.073397	0.000050	T13		15.920	1.3979
	227.649159	5.512932	0.080092	0.000053	T13		14.796	1.2993
	227.652481	5.511606	0.078985	0.000070	T13		14.805	1.3000
	227.658406	5.495388	0.079909	0.000137	T13		15.622	1.3718
	227.681392	5.480890	0.073711	0.000097	T13		16.136	1.4169
	227.703304	5.480357	0.076460	0.000070	T13		15.966	1.4020
	227.730084	5.499864	0.075739	0.000073	T13		14.693	1.2902
	227.683971	5.518528	0.079492	0.000127	T13		13.893	1.2200
	227.710775	5.499655	0.073948	0.000083	MMT		14.768	1.2968
	227.712234	5.490748	0.073948	0.000190	T13		15.292	1.3429
	227.792357	5.501912	0.074482	0.000117	T13		14.983	1.3157
	227.810201	5.492149	0.079445	0.000127	T13		15.827	1.3898
	227.738737	5.502615	0.082360	0.000137	MMT		14.529	1.2759
	227.750601	5.499363	0.083411	0.000143	MMT		14.756	1.2957
	227.861532	5.498511	0.076543	0.000284	MMT		16.627	1.4600
	227.563018	5.866543	0.083138	0.000200	MMT		12.542	1.1013
	227.479506	5.868152	0.078224	0.000180	T13		16.887	1.4829
	227.526126	5.843643	0.077767	0.000087	T13		13.742	1.2067
	227.565539	5.893275	0.084055	0.000130	T13		13.426	1.1790
	227.479729	5.860154	0.080499	0.000020	MMT		16.670	1.4638
	227.585150	5.941856	0.077734	0.000080	MMT		14.784	1.2982
	227.901511	5.910752	0.073698	0.000087	T13		14.125	1.2403
	227.916808	5.922023	0.077790	0.000070	MMT		15.250	1.3391
	227.899432	5.905807	0.080863	0.000087	MMT		13.828	1.2143
	227.928863	5.888635	0.084068	0.000023	T13		14.498	1.2731
	227.967715	5.816071	0.079405	0.000073	T13		14.608	1.2828
	227.995658	5.888684	0.079812	0.000087	T13		17.861	1.5684
	228.016950	5.859114	0.077790	0.000070	T13		18.245	1.6021
	228.022508	5.769559	0.075202	0.000080	T13		17.302	1.5194
	227.979524	5.794006	0.074972	0.000103	T13		14.967	1.3143
	227.977348	5.794058	0.079148	0.000137	T13		14.840	1.3031
	227.963739	5.902979	0.079008	0.000073	MMT		16.692	1.4658
	227.976764	5.775827	0.081436	0.000183	MMT		14.627	1.2844
	227.993457	5.730058	0.079198	0.000030	MMT		15.529	1.3637
	228.008291	5.857262	0.079121	0.000073	T13		17.725	1.5564
	227.347278	5.727425	0.082784	0.000110	T13		23.096	2.0281
	227.406525	5.761728	0.077247	0.000053	MMT		19.561	1.7177
	227.410688	5.622285	0.079645	0.000090	T13		20.640	1.8124
	227.430882	5.670016	0.083828	0.000063	T13		18.629	1.6359
	227.352615	5.661211	0.076843	0.000063	MMT		23.300	2.0460
	227.361569	5.729793	0.084065	0.000023	MMT		22.237	1.9527
	227.341408	5.714548	0.083264	0.000030	MMT		23.493	2.0630
	227.351417	5.714347	0.082063	0.000187	MMT		22.898	2.0107
	227.359217	5.707293	0.082507	0.000040	MMT		22.472	1.9733
	227.379248	5.684378	0.083124	0.000117	MMT		21.472	1.8855
	227.379963	5.665157	0.079635	0.000100	MMT		21.655	1.9016
	227.384378	5.697451	0.083171	0.000107	MMT		21.050	1.8484
	227.400441	5.720519	0.083081	0.000167	MMT		19.951	1.7520
	227.447245	5.624657	0.078314	0.000090	MMT		18.561	1.6299
	227.445000	5.660495	0.083484	0.000097	T13		17.965	1.5775
	227.459086	5.692788	0.073768	0.000023	MMT		16.691	1.4657
	227.957501	5.538383	0.074421	0.000117	MMT		18.214	1.5994
	227.972826	5.505136	0.079592	0.000140	T13		20.259	1.7790
	227.980302	5.553819	0.074788	0.000087	T13		18.652	1.6379
	228.016630	5.511696	0.081350	0.000003	SDSS		21.927	1.9254
	227.953748	5.519164	0.079415	0.000087	MMT		18.860	1.6562
	227.964907	5.560883	0.079622	0.000023	MMT		17.668	1.5515
	228.039140	5.503498	0.076746	0.000013	SDSS		23.281	2.0443
	228.095603	5.565988	0.078364	0.000027	MMT		24.121	2.1181
	228.103117	5.658669	0.075079	0.000110	T13		22.649	1.9888
	228.057753	5.663118	0.077700	0.000100	MMT		19.954	1.7522
	227.460915	5.995063	0.072480	0.000030	MMT		22.154	1.9454
	227.490436	6.008564	0.084352	0.000043	MMT		21.483	1.8864
	227.595972	6.079738	0.074105	0.000063	T13		21.718	1.9071
	227.473792	5.969956	0.076740	0.000060	T13		20.576	1.8068
