id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
J041558.6-241432	63.994331	-24.242475	0.647100		3		10.766	3.4496
J041515.1-241425	63.812840	-24.240555	0.420100		3		16.121	5.1651
J041627.5-241432	64.114769	-24.242309	0.466400		2		11.295	3.6188
J041700.2-241431	64.250812	-24.242063	0.435600		3		15.660	5.0175
J041558.6-241425	63.994295	-24.240348	0.718100		3		10.642	3.4099
J041634.7-241426	64.144728	-24.240677	0.386400		3		11.916	3.8178
J041617.6-241429	64.073185	-24.241618	0.485800		2		10.620	3.4026
J041639.0-241432	64.162658	-24.242278	0.307500		2		12.506	4.0070
J041630.2-241433	64.125966	-24.242739	0.536700		3		11.560	3.7038
J041635.2-241435	64.146593	-24.243088	0.349500		3		12.092	3.8742
J041533.8-241406	63.890788	-24.235255	0.391400		3		12.897	4.1322
J041656.0-241426	64.233169	-24.240787	0.307300		3		14.902	4.7748
J041613.4-241432	64.055846	-24.242303	0.384900		3		10.531	3.3740
J041619.1-241433	64.079587	-24.242768	0.392100		3		10.756	3.4463
J041641.4-241413	64.172526	-24.236996	0.432400		3		12.551	4.0213
J041557.8-241430	63.990730	-24.241817	0.569900		3		10.774	3.4519
J041619.7-241428	64.081926	-24.241226	0.484900		2		10.694	3.4263
J041601.7-241429	64.007133	-24.241550	0.305900		3		10.578	3.3891
J041539.5-241429	63.914474	-24.241593	0.397000		2		12.445	3.9875
J041556.8-241406	63.986494	-24.235132	0.000000		3		10.445	3.3467
J041515.2-241418	63.813172	-24.238453	0.155100		3		16.026	5.1347
J041611.9-241424	64.049552	-24.240204	0.299700		3		10.379	3.3254
J041625.1-241427	64.104608	-24.241036	0.389200		3		11.028	3.5334
J041556.2-241321	63.984046	-24.222686	0.233800		3		9.768	3.1298
J041627.5-241426	64.114565	-24.240831	0.466700		3		11.208	3.5911
J041606.8-241421	64.028535	-24.239402	0.405200		3		10.325	3.3082
J041602.2-241424	64.008994	-24.240060	0.315500		3		10.473	3.3557
J041632.9-241419	64.136888	-24.238838	0.276400		3		11.614	3.7210
J041526.9-241423	63.861998	-24.239928	0.300200		3		14.141	4.5307
J041542.0-241426	63.924973	-24.240677	0.762100		3		12.095	3.8753
J041614.3-241427	64.059423	-24.241055	0.388400		3		10.476	3.3566
J041644.1-241408	64.183928	-24.235641	0.553400		3		12.863	4.1213
J041542.1-241424	63.925517	-24.240112	0.430700		3		12.051	3.8610
J041513.0-241423	63.804188	-24.239932	0.339800		3		16.462	5.2746
J041618.0-241419	64.075155	-24.238867	0.388100		3		10.478	3.3571
J041520.7-241421	63.836071	-24.239187	0.431100		3		15.114	4.8425
J041654.4-241423	64.226717	-24.239978	0.303400		3		14.617	4.6833
J041624.0-241407	64.099827	-24.235489	0.304800		3		10.628	3.4053
