recno	MACSg	RAJ2000	DEJ2000	z	e_z	EmLT	Inst	CXO	MACS	Simbad
     174	J071712.90+373829.0	109.303749	+37.641392	 0.4925	 0.0003	A  	D	   	J0717.5+3745	Simbad
     175	J071712.97+373828.9	109.304039	+37.641361	 0.4924	 0.0003	A  	D	   	J0717.5+3745	Simbad
     176	J071713.20+373809.1	109.305000	+37.635860	 0.3894	 0.0003	A  	D	   	J0717.5+3745	Simbad
     177	J071713.21+374031.1	109.305038	+37.675301	 0.4962	 0.0003	E  	D	   	J0717.5+3745	Simbad
     178	J071713.32+374725.9	109.305496	+37.790531	 0.5416	 0.0003	A  	D	   	J0717.5+3745	Simbad
     179	J071713.35+373640.8	109.305626	+37.611328	 0.7154	 0.0003	E  	D	   	J0717.5+3745	Simbad
     180	J071713.39+374144.6	109.305794	+37.695721	 0.6602	 0.0003	E  	D	   	J0717.5+3745	Simbad
     181	J071713.55+373836.4	109.306458	+37.643440	 0.3881	 0.0003	A  	D	   	J0717.5+3745	Simbad
     182	J071713.56+374840.3	109.306503	+37.811199	 0.6002	 0.0003	E  	D	   	J0717.5+3745	Simbad
     183	J071713.59+374443.2	109.306625	+37.745331	 0.4544	 0.0003	E  	D	   	J0717.5+3745	Simbad
     184	J071713.96+373709.5	109.308151	+37.619301	 0.2850	 0.0003	E  	D	   	J0717.5+3745	Simbad
     185	J071714.03+373615.6	109.308456	+37.604328	 0.3472	 0.0003	E  	D	   	J0717.5+3745	Simbad
     186	J071714.38+374434.8	109.309914	+37.743000	 1.0119	 0.0010	E  	D	   	J0717.5+3745	Simbad
     187	J071714.63+374115.9	109.310959	+37.687752	 0.6590	 0.0003	E  	D	   	J0717.5+3745	Simbad
     188	J071714.78+374512.3	109.311584	+37.753422	 0.3192	 0.0003	A  	D	   	J0717.5+3745	Simbad
     189	J071714.90+373546.8	109.312080	+37.596329	 0.4612	 0.0003	E  	D	   	J0717.5+3745	Simbad
     190	J071715.00+373816.7	109.312500	+37.637970	 0.4928	 0.0003	A  	D	   	J0717.5+3745	Simbad
     191	J071715.06+374509.5	109.312752	+37.752640	 0.5476	 0.0005	E  	D	   	J0717.5+3745	Simbad
     192	J071715.15+373342.3	109.313126	+37.561749	 0.4782	 0.0003	E  	D	   	J0717.5+3745	Simbad
     193	J071715.38+374941.3	109.314087	+37.828140	 0.5568	 0.0003	E  	D	   	J0717.5+3745	Simbad
     194	J071715.48+373950.4	109.314499	+37.664001	 0.3859	 0.0003	A  	D	   	J0717.5+3745	Simbad
     195	J071715.51+374246.7	109.314629	+37.712971	 0.5499	 0.0003	A  	D	   	J0717.5+3745	Simbad
     196	J071715.55+374947.8	109.314789	+37.829941	 0.4945	 0.0003	E  	D	   	J0717.5+3745	Simbad
     197	J071715.56+374212.9	109.314835	+37.703579	 0.3541	 0.0003	A  	D	   	J0717.5+3745	Simbad
     198	J071715.69+374839.5	109.315392	+37.810970	 0.3643	 0.0005	E  	D	   	J0717.5+3745	Simbad
     199	J071715.70+374008.7	109.315414	+37.669079	 0.3875	 0.0003	E  	D	   	J0717.5+3745	Simbad
     200	J071715.73+374801.5	109.315544	+37.800419	 0.4175	 0.0003	A  	D	   	J0717.5+3745	Simbad
     201	J071715.81+373702.1	109.315872	+37.617249	 0.5915	 0.0003	E  	D	   	J0717.5+3745	Simbad
     202	J071716.18+373457.7	109.317413	+37.582699	 0.3778	 0.0003	A  	D	   	J0717.5+3745	Simbad
     203	J071716.51+374011.0	109.318794	+37.669720	 0.3842	 0.0003	A  	D	   	J0717.5+3745	Simbad
     204	J071716.55+373842.4	109.318962	+37.645111	 0.6659	 0.0003	E+A	D	   	J0717.5+3745	Simbad
     205	J071716.60+374014.7	109.319168	+37.670750	 1.0503	 0.0010	E  	D	   	J0717.5+3745	Simbad
     206	J071716.79+374652.9	109.319946	+37.781368	 0.5474	 0.0003	E  	D	   	J0717.5+3745	Simbad
     207	J071716.98+375225.5	109.320747	+37.873749	 0.6582	 0.0003	E  	D	   	J0717.5+3745	Simbad
     208	J071717.00+374915.4	109.320831	+37.820950	 0.5484	 0.0003	A  	D	   	J0717.5+3745	Simbad
     209	J071717.03+374624.6	109.320953	+37.773510	 0.5474	 0.0010	A  	D	   	J0717.5+3745	Simbad
     210	J071717.03+373722.3	109.320961	+37.622860	 0.4833	 0.0003	E  	D	   	J0717.5+3745	Simbad
     211	J071717.05+373615.8	109.321045	+37.604389	 0.7494	 0.0003	E  	D	   	J0717.5+3745	Simbad
     212	J071717.09+374621.9	109.321220	+37.772758	 0.5348	 0.0010	E+A	D	   	J0717.5+3745	Simbad
     213	J071717.15+374550.9	109.321457	+37.764141	 0.5447	 0.0005	A  	D	   	J0717.5+3745	Simbad
     214	J071717.23+373633.0	109.321793	+37.609169	 0.3892	 0.0003	E  	D	   	J0717.5+3745	Simbad
     215	J071717.38+373710.3	109.322418	+37.619530	 0.4856	 0.0003	A  	D	   	J0717.5+3745	Simbad
     216	J071717.56+373547.3	109.323166	+37.596470	 0.3478	 0.0003	A  	D	   	J0717.5+3745	Simbad
     217	J071717.56+374134.3	109.323166	+37.692860	 0.4947	 0.0003	A  	D	   	J0717.5+3745	Simbad
     218	J071717.58+374936.9	109.323250	+37.826920	 0.5443	 0.0005	E  	D	   	J0717.5+3745	Simbad
     219	J071717.69+374124.4	109.323708	+37.690109	 0.5756	 0.0003	E  	D	   	J0717.5+3745	Simbad
     220	J071717.70+374550.7	109.323738	+37.764091	 0.5479	 0.0010	A  	D	   	J0717.5+3745	Simbad
     221	J071717.72+374911.9	109.323822	+37.819981	 0.2277	 0.0003	E  	D	   	J0717.5+3745	Simbad
     222	J071717.87+374408.0	109.324455	+37.735550	 0.6604	 0.0005	A  	D	   	J0717.5+3745	Simbad
     223	J071717.95+374351.3	109.324791	+37.730919	 0.5323	 0.0003	E  	D	   	J0717.5+3745	Simbad
     224	J071718.16+373836.7	109.325668	+37.643532	 0.4208	 0.0003	E  	D	   	J0717.5+3745	Simbad
     225	J071718.25+374841.3	109.326042	+37.811470	 0.6827	 0.0003	E  	D	   	J0717.5+3745	Simbad
     226	J071718.29+373918.4	109.326210	+37.655109	 0.3863	 0.0003	E  	D	   	J0717.5+3745	Simbad
     227	J071718.39+374730.8	109.326622	+37.791889	 0.5532	 0.0005	A  	D	   	J0717.5+3745	Simbad
     228	J071718.48+374605.2	109.327003	+37.768101	 0.6656	 0.0003	E  	D	   	J0717.5+3745	Simbad
     229	J071718.52+373931.6	109.327164	+37.658779	 0.5463	 0.0003	E  	D	   	J0717.5+3745	Simbad
     230	J071718.53+374517.9	109.327209	+37.754971	 0.5568	 0.0003	A  	D	   	J0717.5+3745	Simbad
     231	J071718.54+375145.7	109.327248	+37.862690	 0.9668	 0.0010	E  	D	   	J0717.5+3745	Simbad
     232	J071718.58+374618.5	109.327423	+37.771809	 0.6582	 0.0003	E  	D	   	J0717.5+3745	Simbad
     233	J071718.60+373933.8	109.327499	+37.659389	 0.5463	 0.0003	E  	D	   	J0717.5+3745	Simbad
     234	J071718.69+374004.0	109.327873	+37.667782	 0.3855	 0.0003	A  	D	   	J0717.5+3745	Simbad
     235	J071718.82+374138.3	109.328430	+37.693981	 0.3001	 0.0003	E  	D	   	J0717.5+3745	Simbad
     236	J071718.86+375013.5	109.328583	+37.837078	 0.4564	 0.0003	E  	D	   	J0717.5+3745	Simbad
     237	J071718.89+373930.6	109.328705	+37.658501	 0.5455	 0.0003	E  	D	   	J0717.5+3745	Simbad
     238	J071718.93+373723.0	109.328873	+37.623051	 0.4295	 0.0005	E  	D	   	J0717.5+3745	Simbad
     239	J071718.94+373757.3	109.328918	+37.632580	 0.3926	 0.0010	E  	D	   	J0717.5+3745	Simbad
     240	J071718.98+373536.2	109.329086	+37.593391	 0.3850	 0.0003	A  	D	   	J0717.5+3745	Simbad
     241	J071719.06+374650.0	109.329437	+37.780560	 0.6604	 0.0010	A  	D	   	J0717.5+3745	Simbad
     242	J071719.08+374403.3	109.329491	+37.734241	 0.6591	 0.0010	A  	D	   	J0717.5+3745	Simbad
     243	J071719.08+373755.0	109.329498	+37.631939	 0.4857	 0.0003	A  	D	   	J0717.5+3745	Simbad
     244	J071719.10+373803.9	109.329582	+37.634418	 0.4848	 0.0003	A  	D	   	J0717.5+3745	Simbad
     245	J071719.22+374622.4	109.330086	+37.772888	 0.4998	 0.0003	E  	D	   	J0717.5+3745	Simbad
     246	J071719.30+373908.9	109.330414	+37.652470	 0.6671	 0.0003	E  	D	   	J0717.5+3745	Simbad
     247	J071719.37+373751.5	109.330711	+37.630970	 0.4883	 0.0003	A  	D	   	J0717.5+3745	Simbad
     248	J071719.46+373723.0	109.331085	+37.623051	 0.4876	 0.0005	E  	D	   	J0717.5+3745	Simbad
     249	J071719.60+374541.2	109.331665	+37.761440	 0.5444	 0.0003	E  	D	   	J0717.5+3745	Simbad
     250	J071719.70+373548.9	109.332085	+37.596920	 0.4413	 0.0003	E  	D	   	J0717.5+3745	Simbad
     251	J071719.72+373852.7	109.332169	+37.647968	 0.4892	 0.0003	A  	D	   	J0717.5+3745	Simbad
     252	J071719.74+373907.6	109.332253	+37.652111	 0.2543	 0.0010	E  	D	   	J0717.5+3745	Simbad
     253	J071719.74+374442.1	109.332253	+37.745029	 0.5394	 0.0003	A  	D	   	J0717.5+3745	Simbad
     254	J071719.75+373822.5	109.332291	+37.639580	 0.4913	 0.0003	A  	D	   	J0717.5+3745	Simbad
     255	J071719.75+373828.5	109.332291	+37.641251	 0.4903	 0.0003	A  	D	   	J0717.5+3745	Simbad
     256	J071719.75+374628.3	109.332291	+37.774529	 0.5549	 0.0003	E+A	D	   	J0717.5+3745	Simbad
     257	J071719.77+373623.1	109.332375	+37.606411	 0.4048	 0.0003	E  	D	   	J0717.5+3745	Simbad
     258	J071719.79+374605.4	109.332458	+37.768169	 0.5346	 0.0005	E  	D	   	J0717.5+3745	Simbad
