id	ra_deg	dec_deg	z	z_err	q_flag	member_flag	sep_arcmin	R_proj_Mpc
	3.428708	-30.207472	0.273221	0.000080	5		13.591	3.6989
	3.429458	-30.549278	0.000347	0.000940	6		12.597	3.4281
	3.429708	-30.456056	0.305509	0.000080	4		9.054	2.4640
	3.429958	-30.494417	0.000827	0.001290	6		10.279	2.7975
	3.430333	-30.244361	0.000180	0.000367	6		11.837	3.2215
	3.430417	-30.343945	0.610695	0.000921	3		8.501	2.3134
	3.431250	-30.302472	1.422630	0.001200	5		9.546	2.5979
	3.431500	-30.355611	0.306117	0.000300	3		8.252	2.2457
	3.431625	-30.406722	0.391900	0.000360	4		8.076	2.1977
	3.431750	-30.195139	0.302735	0.000080	5		14.100	3.8374
	3.431833	-30.554528	0.436046	0.000090	4		12.762	3.4731
	3.432792	-30.581278	0.499590	0.000240	4		14.021	3.8158
	3.433750	-30.287083	0.307495	0.000921	3		9.973	2.7142
	3.433875	-30.528667	0.106303	0.000070	5		11.521	3.1353
	3.434583	-30.311861	0.705395	0.000921	3		9.103	2.4775
	3.434917	-30.414028	0.311912	0.000080	5		7.979	2.1713
	3.435250	-30.446306	0.564269	0.000280	4		8.546	2.3256
	3.436167	-30.526861	0.000759	0.001000	6		11.361	3.0917
	3.436250	-30.430111	0.265695	0.000921	3		8.152	2.2184
	3.437083	-30.448250	0.160995	0.000921	3		8.507	2.3152
	3.437458	-30.232500	0.310414	0.000240	4		12.130	3.3011
	3.438083	-30.380167	0.000347	0.000720	6		7.686	2.0916
	3.438125	-30.359500	0.000082	0.000970	6		7.864	2.1402
	3.438958	-30.318222	0.000397	0.000680	6		8.717	2.3724
	3.440000	-30.298222	0.306448	0.000480	4		9.315	2.5349
	3.441000	-30.239944	0.449276	0.000090	4		11.669	3.1757
	3.441125	-30.294750	0.000051	0.000220	6		9.391	2.5557
	3.441125	-30.520222	0.105914	0.000070	5		10.895	2.9650
	3.441250	-30.319010	0.684795	0.000921	3		8.591	2.3379
	3.441375	-30.334667	0.306620	0.000400	4		8.169	2.2231
	3.441375	-30.230083	0.411874	0.000570	3		12.116	3.2972
	3.441583	-30.423972	0.000490	0.000630	6		7.781	2.1176
	3.442042	-30.253778	0.245742	0.000080	5		11.011	2.9965
	3.442500	-30.469694	0.109995	0.000921	3		8.887	2.4185
	3.442625	-30.411833	0.000037	0.001000	6		7.562	2.0580
	3.443750	-30.282444	0.144095	0.000921	3		9.748	2.6530
	3.443958	-30.510111	0.304657	0.000080	5		10.359	2.8192
	3.443958	-30.453056	0.309858	0.000230	4		8.316	2.2631
	3.445417	-30.457417	0.313694	0.000080	4		8.375	2.2792
	3.446042	-30.326750	0.000561	0.000870	6		8.153	2.2188
	3.446250	-30.257917	0.358995	0.000921	3		10.680	2.9065
	3.446667	-30.416927	0.479295	0.000921	3		7.420	2.0194
	3.446917	-30.343278	0.000240	0.000760	6		7.709	2.0979
	3.447125	-30.552889	0.000999	0.000730	6		12.203	3.3210
	3.447458	-30.603167	0.624299	0.000250	4		14.738	4.0109
	3.448208	-30.404000	0.358283	0.000320	4		7.203	1.9604
	3.448542	-30.601333	0.425987	0.000370	3		14.615	3.9773
	3.448583	-30.334667	0.310168	0.000410	3		7.828	2.1303
	3.448708	-30.248528	0.000537	0.000460	6		11.018	2.9984
	3.448792	-30.508333	0.000289	0.000890	6		10.107	2.7506
	3.448875	-30.342861	0.000140	0.000550	6		7.623	2.0746
	3.449625	-30.454917	0.438676	0.000090	5		8.112	2.2075
	3.450417	-30.262251	0.600995	0.000921	3		10.343	2.8147
	3.450458	-30.480139	0.000017	0.000270	6		8.917	2.4266
	3.450750	-30.561167	0.303438	0.000080	5		12.502	3.4022
	3.450833	-30.351917	0.486495	0.000921	3		7.348	1.9996
	3.451042	-30.383778	0.290788	0.000080	5		7.004	1.9061
	3.451250	-30.445555	0.605595	0.000921	3		7.776	2.1162
	3.451792	-30.528889	0.000250	0.000210	6		10.918	2.9713
	3.452125	-30.610722	0.000539	0.000590	6		15.023	4.0884
	3.452542	-30.320444	0.001017	0.001230	6		8.041	2.1882
	3.452833	-30.276000	0.307837	0.000080	4		9.664	2.6300
	3.454000	-30.597917	0.001687	0.001350	6		14.299	3.8914
	3.454333	-30.373556	0.451710	0.000090	4		6.888	1.8744
	3.454625	-30.559028	0.303418	0.000080	5		12.283	3.3429
	3.455000	-30.383528	0.449455	0.000090	4		6.800	1.8506
	3.455083	-30.258139	0.413128	0.000090	5		10.365	2.8208
	3.455167	-30.302250	0.308699	0.000230	4		8.539	2.3239
	3.455875	-30.598694	0.409539	0.000090	5		14.294	3.8901
	3.456208	-30.487278	0.001960	0.000940	6		8.961	2.4387
	3.456333	-30.307972	0.000312	0.000920	6		8.286	2.2550
	3.456375	-30.338083	0.000740	0.000220	6		7.376	2.0072
	3.456458	-30.440417	0.498160	0.000370	4		7.400	2.0140
	3.456667	-30.357000	0.477123	0.000090	5		6.971	1.8971
	3.456917	-30.567556	0.000637	0.000200	6		12.649	3.4424
	3.456917	-30.582056	0.000960	0.000190	6		13.395	3.6455
	3.457000	-30.405444	0.285536	0.000080	5		6.765	1.8410
	3.457583	-30.591500	0.265193	0.000080	5		13.873	3.7753
