group,branch,kind,amplitude,center,continuum,threshold,mean_retention,sd,minimum,maximum,mean_paired_flux
empirical,boxcar_hanning_full,streaming,5,20,actual,fixed_global,0.5397005619346177,0.22902814817550252,0.16670772090607391,0.8585504867124715,0.6925423799656266
empirical,boxcar_hanning_full,streaming,5,20,source_disabled,per_channel,0.3736705183911146,0.2541819193650239,0.002266599548380118,0.825301108350898,0.46838105078723863
empirical,boxcar_hanning_full,streaming,5,20,source_disabled,fixed_global,0.5397005619346177,0.22902814817550252,0.16670772090607391,0.8585504867124715,0.6925423799656266
empirical,boxcar_hanning_full,streaming,5,30,actual,per_channel,0.7110703897736749,0.09018581309256209,0.5752585930760473,0.8196629958522385,0.8736376643134157
empirical,boxcar_hanning_full,streaming,5,30,actual,fixed_global,0.714730702980168,0.09232140239231156,0.5651601667505423,0.8205930565326686,0.8849478326076331
empirical,boxcar_hanning_full,streaming,5,30,source_disabled,per_channel,0.7110703897736749,0.09018581309256209,0.5752585930760473,0.8196629958522385,0.8736376643135774
empirical,boxcar_hanning_full,streaming,5,30,source_disabled,fixed_global,0.714730702980168,0.09232140239231156,0.5651601667505423,0.8205930565326686,0.8849478326078111
empirical,boxcar_hanning_full,streaming,10,10,actual,per_channel,0.9006783459752312,0.029921322640627104,0.8532723163544481,0.9479030967686327,1.007833568916458
empirical,boxcar_hanning_full,streaming,10,10,actual,fixed_global,0.8982666135526234,0.029778898881309076,0.851852271566319,0.941864995256178,1.005561282487933
empirical,boxcar_hanning_full,streaming,10,10,source_disabled,per_channel,0.9006783459752312,0.029921322640627104,0.8532723163544481,0.9479030967686327,1.00783356942433
empirical,boxcar_hanning_full,streaming,10,10,source_disabled,fixed_global,0.8982666135526234,0.029778898881309076,0.851852271566319,0.941864995256178,1.00556128299405
empirical,boxcar_hanning_full,streaming,10,20,actual,per_channel,0.8663707500269354,0.059565638844221294,0.7438872857038726,0.9645729200538481,0.9457663593078726
empirical,boxcar_hanning_full,streaming,10,20,actual,fixed_global,0.8988728733222368,0.03575351779486136,0.8215258218990662,0.9655945604596591,0.998541997857746
empirical,boxcar_hanning_full,streaming,10,20,source_disabled,per_channel,0.8663707500269354,0.059565638844221294,0.7438872857038726,0.9645729200538481,0.9457663593078726
empirical,boxcar_hanning_full,streaming,10,20,source_disabled,fixed_global,0.8988728733222368,0.03575351779486136,0.8215258218990662,0.9655945604596591,0.998541997857746
empirical,boxcar_hanning_full,streaming,10,30,actual,per_channel,0.9292885858698064,0.022500865012495076,0.8733137330655152,0.9576879542210206,1.0740183754405797
empirical,boxcar_hanning_full,streaming,10,30,actual,fixed_global,0.9288138971615298,0.023128038024853016,0.8691717705946425,0.9561905956230891,1.0693500692670244
empirical,boxcar_hanning_full,streaming,10,30,source_disabled,per_channel,0.9292885858698064,0.022500865012495076,0.8733137330655152,0.9576879542210206,1.0740183754412786
empirical,boxcar_hanning_full,streaming,10,30,source_disabled,fixed_global,0.9288138971615298,0.023128038024853016,0.8691717705946425,0.9561905956230891,1.0693500692677416
empirical,boxcar_hanning_decimated,rotation,5,10,actual,per_channel,0.7666742703935919,0.10461333992245615,0.5966820467450035,0.9325218708727002,0.9345084118156545
empirical,boxcar_hanning_decimated,rotation,5,10,actual,fixed_global,0.7645882313169,0.10187275257678287,0.5995889917302334,0.9169922717459655,0.9344674471312033
empirical,boxcar_hanning_decimated,rotation,5,10,source_disabled,per_channel,0.7666742703935919,0.10461333992245615,0.5966820467450035,0.9325218708727002,0.9345084118157132
empirical,boxcar_hanning_decimated,rotation,5,10,source_disabled,fixed_global,0.7645882313169,0.10187275257678287,0.5995889917302334,0.9169922717459655,0.934467447131269
empirical,boxcar_hanning_decimated,rotation,5,20,actual,per_channel,0.4489282346490211,0.26183423417496876,0.06978225745289872,0.853947542216465,0.545107061938826
empirical,boxcar_hanning_decimated,rotation,5,20,actual,fixed_global,0.627087149552135,0.21559480924928404,0.23104244033862056,0.8836967280925561,0.7679233913001055
empirical,boxcar_hanning_decimated,rotation,5,20,source_disabled,per_channel,0.4489282346490211,0.26183423417496876,0.06978225745289872,0.853947542216465,0.545107061938826
empirical,boxcar_hanning_decimated,rotation,5,20,source_disabled,fixed_global,0.627087149552135,0.21559480924928404,0.23104244033862056,0.8836967280925561,0.7679233913001055
empirical,boxcar_hanning_decimated,rotation,5,30,actual,per_channel,0.7849081142336317,0.08769412381403768,0.6156836536890642,0.8903003687174014,0.9545885703748715
empirical,boxcar_hanning_decimated,rotation,5,30,actual,fixed_global,0.7929902451948719,0.08478298847282487,0.6045813745191378,0.8904480524321818,0.9674576642394328
empirical,boxcar_hanning_decimated,rotation,5,30,source_disabled,per_channel,0.7849081142336317,0.08769412381403768,0.6156836536890642,0.8903003687174014,0.9545885703748715
empirical,boxcar_hanning_decimated,rotation,5,30,source_disabled,fixed_global,0.7929902451948719,0.08478298847282487,0.6045813745191378,0.8904480524321818,0.9674576642394328
empirical,boxcar_hanning_decimated,rotation,10,10,actual,per_channel,0.9334011482079726,0.028966432098991645,0.88042311688214,0.9688718474995911,1.0417214580309397
empirical,boxcar_hanning_decimated,rotation,10,10,actual,fixed_global,0.9327691434620009,0.027494429749048647,0.8817480404492776,0.9682216388128708,1.0407149955409685
empirical,boxcar_hanning_decimated,rotation,10,10,source_disabled,per_channel,0.9334011482079726,0.028966432098991645,0.88042311688214,0.9688718474995911,1.041721458031132
empirical,boxcar_hanning_decimated,rotation,10,10,source_disabled,fixed_global,0.9327691434620009,0.027494429749048647,0.8817480404492776,0.9682216388128708,1.0407149955411643
empirical,boxcar_hanning_decimated,rotation,10,20,actual,per_channel,0.8996051276549272,0.05391284432822309,0.7924082292954967,0.9657074693702348,0.9649626327360542
empirical,boxcar_hanning_decimated,rotation,10,20,actual,fixed_global,0.9207426116897602,0.039521701621844874,0.8468350273384696,0.969083984838218,1.0032852007814903
empirical,boxcar_hanning_decimated,rotation,10,20,source_disabled,per_channel,0.8996051276549272,0.05391284432822309,0.7924082292954967,0.9657074693702348,0.9649626327360542
empirical,boxcar_hanning_decimated,rotation,10,20,source_disabled,fixed_global,0.9207426116897602,0.039521701621844874,0.8468350273384696,0.969083984838218,1.0032852007814903
empirical,boxcar_hanning_decimated,rotation,10,30,actual,per_channel,0.9473907060840442,0.02567208636078617,0.8808253507743335,0.9673415299997147,1.0905526061769795
empirical,boxcar_hanning_decimated,rotation,10,30,actual,fixed_global,0.947311007873049,0.02559635573393241,0.8799231136606903,0.9671330648294213,1.089242323344796
empirical,boxcar_hanning_decimated,rotation,10,30,source_disabled,per_channel,0.9473907060840442,0.02567208636078617,0.8808253507743335,0.9673415299997147,1.0905526061769795
empirical,boxcar_hanning_decimated,rotation,10,30,source_disabled,fixed_global,0.947311007873049,0.02559635573393241,0.8799231136606903,0.9671330648294213,1.089242323344796
empirical,boxcar_hanning_decimated,warp,5,10,actual,per_channel,0.7528223153378845,0.10771560871287042,0.5819691826975398,0.9247243402566164,0.9190555875670033
empirical,boxcar_hanning_decimated,warp,5,10,actual,fixed_global,0.7485357062941107,0.1060118299616467,0.5794721811886219,0.9053459023048416,0.9180594351853691
empirical,boxcar_hanning_decimated,warp,5,10,source_disabled,per_channel,0.7528223153378845,0.10771560871287042,0.5819691826975398,0.9247243402566164,0.9190555875670747
empirical,boxcar_hanning_decimated,warp,5,10,source_disabled,fixed_global,0.7485357062941107,0.1060118299616467,0.5794721811886219,0.9053459023048416,0.9180594351854484
empirical,boxcar_hanning_decimated,warp,5,20,actual,per_channel,0.43372831208256796,0.2682915731998761,0.0448367356487353,0.8509186299694013,0.527936047623491
empirical,boxcar_hanning_decimated,warp,5,20,actual,fixed_global,0.6099829611367046,0.22567503829298594,0.19698653067758454,0.8801987809419779,0.7530112127654456
empirical,boxcar_hanning_decimated,warp,5,20,source_disabled,per_channel,0.43372831208256796,0.2682915731998761,0.0448367356487353,0.8509186299694013,0.527936047623491
empirical,boxcar_hanning_decimated,warp,5,20,source_disabled,fixed_global,0.6099829611367046,0.22567503829298594,0.19698653067758454,0.8801987809419779,0.7530112127654456
empirical,boxcar_hanning_decimated,warp,5,30,actual,per_channel,0.7736842746652872,0.0868123653850822,0.6099028160084092,0.879184969513632,0.9353774012223032
empirical,boxcar_hanning_decimated,warp,5,30,actual,fixed_global,0.781128676608143,0.08268061598868019,0.6006962489508683,0.8792427486427777,0.9495426850922796
empirical,boxcar_hanning_decimated,warp,5,30,source_disabled,per_channel,0.7736842746652872,0.0868123653850822,0.6099028160084092,0.879184969513632,0.9353774012223032
empirical,boxcar_hanning_decimated,warp,5,30,source_disabled,fixed_global,0.781128676608143,0.08268061598868019,0.6006962489508683,0.8792427486427777,0.9495426850922796
