galaxy,target,median_log10_gbar,spread_log10_gbar,quality,inclination_deg,hubble_type,gas_mass_fraction_proxy,log10_effective_stellar_surface_brightness,log10_disk_scale_length
NGC2903,-0.0014323243426865697,-10.114538183419208,2.2750753760179077,1.0,66.0,4.0,0.07657325350598278,2.800827012337371,0.367355921026019
NGC2915,0.10705663317339542,-11.479590691797561,1.7499567451863225,2.0,56.0,11.0,0.6782580761740318,2.54082981411108,-0.2596373105057561
NGC2955,-0.028384405132749126,-9.681581023378946,1.5343453381280803,1.0,56.0,3.0,0.19424627536101663,2.988830863152949,1.2732328340430457
NGC2976,-0.040395768378723905,-10.327324438509656,0.5539539222441867,2.0,61.0,5.0,0.1195030978028063,2.4888326343824003,0.004321373782642578
NGC2998,-0.006080453430183279,-10.21054516756765,1.2528590916922457,1.0,58.0,5.0,0.29247549929984606,2.6808338953273694,0.7923916894982539
NGC3109,0.026768634470852412,-11.549759668299064,0.8233047254706491,1.0,70.0,9.0,0.8673794451812253,1.0569048513364727,0.1931245983544616
NGC3198,-0.013527645807592189,-10.35291797612667,1.8186092373174372,1.0,73.0,5.0,0.430291823819246,2.2528287680405925,0.49692964807321494
NGC3521,-0.0027767904252902578,-9.486012097604753,1.721162272489238,1.0,75.0,4.0,0.1152376935691309,3.348830372378482,0.38021124171160603
NGC3726,-0.0680238095340106,-10.426979755263385,1.137024681343071,2.0,53.0,5.0,0.19688680144966084,2.296840627340024,0.5314789170422551
NGC3741,0.020170285466240213,-11.761405364944647,1.0776325006744116,1.0,70.0,10.0,0.9453253143794422,1.6328620401002298,-0.6989700043360187
NGC3769,-0.050290773803193155,-10.844645690766649,1.918378425610241,2.0,70.0,3.0,0.4405163340236398,2.7968309490076453,0.5289167002776547
NGC3877,-0.053007352728864324,-10.084763630741545,0.5536316447526168,2.0,76.0,5.0,0.051579384773334874,2.7768318884097063,0.40312052117581787
NGC3893,0.005986426523688696,-10.274207347208318,1.3975390192483719,1.0,49.0,5.0,0.2085905216933418,3.196830865066194,0.37657695705651195
NGC3917,-0.0013792494806562743,-10.643941111012516,0.44503377392046417,1.0,79.0,6.0,0.18608511609569853,2.0528477834008605,0.41995574848975786
NGC3949,-0.030672513044867556,-9.856117926733223,0.566249038152348,2.0,55.0,4.0,0.19064690841874343,3.024830339364429,0.5550944485783191
NGC3953,-0.006273732467455204,-9.98602918930597,0.5663116206236776,1.0,62.0,4.0,0.050614200561000404,2.768830420780154,0.6893088591236202
NGC3972,0.026974453825290207,-10.47822449913241,0.3520539136286729,1.0,77.0,4.0,0.18366488001528816,2.2168254232660476,0.33845649360460484
NGC3992,0.021479556738952913,-10.546073075669916,0.9475110999229148,1.0,56.0,4.0,0.1628761629086988,2.5568329810176795,0.6954816764901974
NGC4051,-0.05771006894988511,-10.129220284934743,0.8011586479050496,2.0,49.0,4.0,0.07003005212119012,2.5048241352520484,0.667452952889954
NGC4068,-0.1657235659294521,-11.048189143637632,0.42309451016138233,2.0,44.0,10.0,0.6344712223530141,1.480868923687168,-0.22914798835785583
NGC4088,-0.10381862458018457,-10.097288990658553,0.9292724084987878,1.0,69.0,4.0,0.1694018820263603,2.6608275466983815,0.41161970596323016
NGC4100,0.009156905828169352,-10.482902979154684,1.0181319397950457,1.0,73.0,4.0,0.12197917017762648,2.5888317255942073,0.33243845991560533
NGC4138,-0.013564201377958562,-10.483434276162397,1.5290252630346899,2.0,53.0,0.0,0.08208752412300874,3.280830952498799,0.17897694729316943
NGC4559,-0.06633833084496685,-10.741041279954183,1.05482129250489,1.0,67.0,6.0,0.4437372862233905,2.324837832312843,0.3222192947339193
NGC5005,-0.011502995994597656,-9.405832548421218,1.4147724233368635,1.0,68.0,4.0,0.018694872966229754,3.252831194395521,0.9754318085092629
NGC5033,0.0018805677270912523,-10.604563946846831,2.640340726565416,1.0,66.0,5.0,0.21404219389116572,3.3088289644961937,0.7126497016272114
NGC5055,-0.06361841114881298,-10.275829691044164,2.299832460757923,1.0,55.0,4.0,0.16936498207629097,3.1408284605336303,0.505149978319906
NGC5371,-0.08325684182832584,-10.134892699162616,1.6959361360234482,1.0,53.0,4.0,0.08034651440378807,2.7488312369236176,0.8715729355458788
NGC5585,-0.029307225496948787,-10.739468014638923,0.9826624519131943,1.0,51.0,7.0,0.6033575119477936,1.9568404901592336,0.1846914308175988
NGC5985,0.09687875536444247,-10.251709020872072,0.89393566173929,1.0,60.0,3.0,0.12865446395517935,2.460822698802402,0.8457180179666587
NGC6015,0.012469368551737883,-10.611226353431597,1.3802420785233238,2.0,60.0,6.0,0.3256930487765975,2.5208240223559613,0.36172783601759284
NGC6195,-0.06258373647871193,-9.88152874367151,1.5664609478466147,1.0,62.0,3.0,0.12449974660200655,2.836830286488879,1.1442627737619906
NGC6503,-0.0027273943420915254,-11.076923794293487,1.8080655878291623,1.0,74.0,6.0,0.26532998094261967,2.8888307280420182,0.3344537511509309
