branch,family,galaxy,mean_mse_mond,mean_mse_candidate,difference,leave_this_galaxy_out_gain_percent
return,finite_flat_bridge,DDO064,0.005470658706332556,0.00390043874444844,0.0015702199618841156,4.386366862105386
return,finite_flat_bridge,DDO161,0.014947647404736772,0.024485023904813996,-0.009537376500077225,5.473563522979033
return,finite_flat_bridge,DDO168,0.0066640774750213886,0.0030284575248665214,0.003635619950154867,4.197912748867278
return,finite_flat_bridge,DDO170,0.002973553831608716,0.0008301220515867847,0.002143431780021931,4.3226710918805225
return,finite_flat_bridge,ESO079-G014,0.003693815916097584,0.005725904337914127,-0.0020320884218165427,4.715389718035075
return,finite_flat_bridge,ESO116-G012,0.0052599913026141415,0.004983675082814994,0.0002763162197991472,4.506474143145983
return,finite_flat_bridge,F565-V2,0.008764845953689043,0.015058735749076818,-0.006293889795387775,5.137578640124817
return,finite_flat_bridge,F568-3,0.007797433065271526,0.00997088554451479,-0.0021734524792432633,4.746771827797578
return,finite_flat_bridge,F568-V1,0.029200336980782976,0.03195389806014403,-0.002753561079361054,4.8994086035009685
return,finite_flat_bridge,F571-V1,0.0012646907986729684,0.0020140545610761985,-0.00074936376240323,4.585240850749858
return,finite_flat_bridge,F583-1,0.016260458993871643,0.009650891536238,0.006609567457633643,3.9550344398197983
return,finite_flat_bridge,F583-4,0.0002912729923615967,0.004161790017169621,-0.0038705170248080245,4.871544565205593
return,finite_flat_bridge,KK98-251,0.02673954330949324,0.004141875445302901,0.02259766786419034,2.469164829866008
return,finite_flat_bridge,NGC0024,0.01985119410630907,0.022686454812850535,-0.002835260706541467,4.863735499598837
return,finite_flat_bridge,NGC0055,0.004754207844882503,0.004084439420516123,0.00066976842436638,4.467576435031248
return,finite_flat_bridge,NGC0247,0.0015191950619163784,0.0067079029410397435,-0.005188707879123365,4.9999300987714665
return,finite_flat_bridge,NGC0289,0.001053786639949545,0.002217736720562649,-0.001163950080613104,4.6229494454937825
